condition,group,increment/A/RAC1P,increment/A/SEX,increment/AB/RAC1P,increment/AB/SEX,residence_gain_vs_H,source_allowance_all_anchors,weight
N_J_g100_L1_b300,"Track N, J init",0.008275474010902192,0.007565858911514771,0.011086617699284393,0.009595741950076916,0.015343437139531457,True,person_weighted
N_J_g100_L2_b100,"Track N, J init",0.005354944844017773,0.006166882237002384,0.0099248672850194,0.011701724666092131,0.016321661270881305,True,person_weighted
N_J_g100_L2_b300,"Track N, J init",0.011515255848884834,0.005325580657879654,0.014589888490153117,0.010575903379129503,0.015849999072251486,True,person_weighted
N_J_g100_C1_b100,"Track N, J init",0.015284551497757093,0.007636651547527795,0.015051383777411775,0.00956392311688766,0.017322763633545585,True,person_weighted
N_J_g100_C1_b300,"Track N, J init",0.0045829039965068485,0.010457729007326813,0.013448608079573043,0.009571871676963828,0.01506594854167396,True,person_weighted
N_J_g100_none,"Track N, J init",0.0421511604154059,0.025524355667196613,0.03821881261071369,0.023596838668166198,0.027643379143442375,True,person_weighted
E_A0_L_k1,Track E local L / LX,0.043195163839083284,0.01749725254556615,0.03965724740028579,0.025412360513720717,0.026661780443132832,True,person_weighted
E_A0_L_k2,Track E local L / LX,0.04213914916288782,0.014320963110000529,0.039955614005070306,0.017741135388925855,0.025175378552152072,True,person_weighted
E_A0_L_k4,Track E local L / LX,0.016820966050729618,0.009191981170453686,0.012529719176613089,0.011728049511121644,0.02358195931745914,True,person_weighted
E_A0_L_k6,Track E local L / LX,0.013445156715953996,0.004098933698467995,0.021464906648440845,0.007841730627417887,0.020279958754261473,True,person_weighted
E_A0_L_k8,Track E local L / LX,0.005601746221493305,0.001133258745697326,0.010225572558549759,0.005153485157942228,0.016215218502750095,True,person_weighted
E_A0_C_k1,Track E coalition C,0.044610374421553946,0.015030904947600584,0.041075356040201294,0.015440066442307443,0.028172859891562523,True,person_weighted
E_A0_C_k2,Track E coalition C,0.022380848969037137,0.01445639051832981,0.01701722783379515,0.016987433330744522,0.029508322589020603,True,person_weighted
E_A0_C_k4,Track E coalition C,0.01412729900294063,0.00782361834166164,0.013650040800992894,0.008775391284945791,0.02318586185585821,True,person_weighted
E_A0_C_k6,Track E coalition C,0.010272982094030603,0.0014072428370125085,0.019427810166170827,0.005774324346140632,0.021154828663950537,True,person_weighted
E_A0_C_k8,Track E coalition C,0.005490207557570829,0.00349695895383569,0.005835004172771645,0.002288546930781954,0.01645410750015362,True,person_weighted
E_A0_LX_k1,Track E local L / LX,0.04331391766623286,0.016520817979939578,0.04253781007838294,0.024915835798684394,0.027269675637478914,True,person_weighted
E_A0_LX_k2,Track E local L / LX,0.04006087387089593,0.012192777793438933,0.03844151387729822,0.01844282828662584,0.026092530016113464,True,person_weighted
E_A0_LX_k4,Track E local L / LX,0.017295753967256466,0.008078204582957863,0.01196568845579038,0.00874383604907288,0.023579324282283803,True,person_weighted
E_A0_LX_k6,Track E local L / LX,0.012039018510400382,0.004740016277391623,0.02092079359424111,0.007840111856472523,0.020783933213302113,True,person_weighted
E_A0_LX_k8,Track E local L / LX,0.005804001088311361,-0.0007530973406462879,0.01033837013846813,0.0042419007457427105,0.017529464825261482,True,person_weighted
E_A0_marginal_k1,Controls: marginal / PCA / random,0.05227443554252679,0.015718879663642382,0.04173170219388441,0.01983942433579311,0.029084623375997154,True,person_weighted
E_A0_marginal_k2,Controls: marginal / PCA / random,0.04113773328322664,0.016892305790580948,0.03455566768965516,0.013508169856594051,0.028064127287089274,True,person_weighted
E_A0_marginal_k4,Controls: marginal / PCA / random,0.01666193627817436,0.012867568959937533,0.014345534058479123,0.010390309516007501,0.0272030753482229,True,person_weighted
E_A0_marginal_k6,Controls: marginal / PCA / random,0.015468566844553036,0.008824063093308595,0.012871113687387878,0.0054340888832152085,0.02233501472889519,True,person_weighted
E_A0_marginal_k8,Controls: marginal / PCA / random,0.01606881664482729,0.00808287635605942,0.017234445039009467,0.00808023903875891,0.022790097676189208,True,person_weighted
E_A0_pca_k1,Controls: marginal / PCA / random,0.05036565294801706,0.024467510184818225,0.04267640071585762,0.026502574392426426,0.02866382323601328,True,person_weighted
E_A0_pca_k2,Controls: marginal / PCA / random,0.049102468251879326,0.02698182369444931,0.044399983382118036,0.025713596755809975,0.02870816212345939,True,person_weighted
E_A0_pca_k4,Controls: marginal / PCA / random,0.04675879241879932,0.027000660396522675,0.03882309965629142,0.028140061139063866,0.028997020200489238,True,person_weighted
E_A0_pca_k6,Controls: marginal / PCA / random,0.04133452622492192,0.02672303076400388,0.037328288491267125,0.02880478670523227,0.024671642472024396,True,person_weighted
E_A0_pca_k8,Controls: marginal / PCA / random,0.04042170451764996,0.021738592066368412,0.03699342414313408,0.026143504396663835,0.019593997646745093,True,person_weighted
E_A0_rand_k1,Controls: marginal / PCA / random,0.046146184101641875,0.028318693941569162,0.040155886668421736,0.026787596374208727,0.028276050105012458,True,person_weighted
E_A0_rand_k2,Controls: marginal / PCA / random,0.04729922376330542,0.026109372694868387,0.04050316542334964,0.023506508213623212,0.02726720566595764,True,person_weighted
E_A0_rand_k4,Controls: marginal / PCA / random,0.0406875868646955,0.019324084456105044,0.03420800825120359,0.021942137281131518,0.024170460795950588,True,person_weighted
E_A0_rand_k6,Controls: marginal / PCA / random,0.03507193494687252,0.027499429445294637,0.029307580333254018,0.026968389674144982,0.017943348973412414,True,person_weighted
E_A0_rand_k8,Controls: marginal / PCA / random,0.032838322072370696,0.019557418892599394,0.02820637849906989,0.019150488255474014,0.020639531483224966,True,person_weighted
E_A0_L_full,Track E local L / LX,-0.0010353871797423124,0.0,0.0003315966760125318,0.002675063365976745,-0.0008491667265306072,True,person_weighted
E_A0_C_full,Track E coalition C,-0.0010353871797423124,0.0,0.0003315966760125318,0.002675063365976745,-0.0008491667265306072,True,person_weighted
E_A0_LX_full,Track E local L / LX,-0.0010353871797423124,0.0,0.0003315966760125318,0.002675063365976745,-0.0008491667265306072,True,person_weighted
E_J_L_k1,Track E local L / LX,-0.00039327221458029804,0.002159279578536344,-0.00028777920095561055,0.005022407442512478,0.019899731978153073,True,person_weighted
E_J_L_k2,Track E local L / LX,-0.0008527605825209653,-0.0002792737064455005,0.0,0.004894774850832635,0.01949511912286156,True,person_weighted
E_J_L_k4,Track E local L / LX,-0.0017654935226207868,0.0009251245041567898,-0.0019043984025350902,0.004317100866449319,0.015781366303851036,True,person_weighted
E_J_L_k6,Track E local L / LX,0.00092969746815282,-0.0010341106195715932,0.0,0.002893369180903993,0.01360510199073306,True,person_weighted
E_J_L_k8,Track E local L / LX,0.0,0.00023102483214794875,0.0,-0.0002642987298749159,0.013674335392696765,True,person_weighted
E_J_C_k1,Track E coalition C,-0.001451825334671586,-0.00126395758535236,0.0,0.004226759822825092,0.01918494920440522,True,person_weighted
E_J_C_k2,Track E coalition C,-0.0009179094347542271,-0.0009107165324721,0.0,0.004058354369461707,0.019805907381340988,True,person_weighted
E_J_C_k4,Track E coalition C,-0.0004840848594088361,0.0010611684213910344,-0.0010159649325572524,-0.00030393752129546464,0.015863717812029627,True,person_weighted
E_J_C_k6,Track E coalition C,-0.002361018786512107,-0.00036486184918764025,-0.0035936044999795116,0.001684071616712468,0.014969521738635083,True,person_weighted
E_J_C_k8,Track E coalition C,-0.0013611147107099875,-0.0007078286748476067,0.00031298098147621484,-0.0019738419874148296,0.011030433364309497,False,person_weighted
E_J_LX_k1,Track E local L / LX,0.0003171029914768771,0.003016280626135052,-0.00042115245881875946,0.004721102659178467,0.019897504873452487,True,person_weighted
E_J_LX_k2,Track E local L / LX,-0.0010751967784034349,-0.0024075323855089112,0.0,0.0017956909165760537,0.01950517472500905,True,person_weighted
E_J_LX_k4,Track E local L / LX,-0.000676934839365891,0.0007329835956058813,-0.0019858805989006654,0.004258129603051608,0.016079012046767687,True,person_weighted
E_J_LX_k6,Track E local L / LX,0.0,-0.0009938521342871172,0.0,0.0027840244709286996,0.014229879374496657,True,person_weighted
E_J_LX_k8,Track E local L / LX,0.0,0.0008663176465133852,0.0,0.0008648947233364698,0.01230489178696531,True,person_weighted
E_J_marginal_k1,Controls: marginal / PCA / random,-0.0002085070906064542,0.0011567319093192714,0.00149747423586577,0.0015104057267589788,0.022573565025224767,True,person_weighted
E_J_marginal_k2,Controls: marginal / PCA / random,-0.0022690046324759607,0.0021764535826123885,0.00031095337482452595,0.0018876441797354149,0.023619320988816472,True,person_weighted
E_J_marginal_k4,Controls: marginal / PCA / random,-0.00319270265863536,0.001348345867109783,-0.0008814884170034917,0.0019374623232713735,0.02253337336853432,False,person_weighted
E_J_marginal_k6,Controls: marginal / PCA / random,-0.0018325684821488923,-0.00508725997652711,0.00030982967360534036,-0.005264697135392423,0.018995544571092038,True,person_weighted
E_J_marginal_k8,Controls: marginal / PCA / random,-0.001235384543704976,-0.0003993378066421416,-0.0008816905305989812,0.004167955403174088,0.013811672583334877,True,person_weighted
E_J_pca_k1,Controls: marginal / PCA / random,-0.0007532039004584471,0.0017348556117718905,0.0009180426401334726,0.006801973924464244,0.019890660798552784,True,person_weighted
E_J_pca_k2,Controls: marginal / PCA / random,-0.0014141958217233814,0.0015437384299645436,0.0,0.005509176853107478,0.019394315302221965,True,person_weighted
E_J_pca_k4,Controls: marginal / PCA / random,4.221047212567738e-05,0.0022581558590392494,0.0,0.004956023891013424,0.018187907228976247,True,person_weighted
E_J_pca_k6,Controls: marginal / PCA / random,0.0,0.0016500693152877721,0.0,0.004656907893216229,0.017599830028817116,True,person_weighted
E_J_pca_k8,Controls: marginal / PCA / random,0.0,0.0013542886379540968,0.0,0.004326075402788583,0.015258850864640997,True,person_weighted
