comparison,left,right,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean,signed_gain_difference_observed_mean
J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_catchup,validation_person_weighted,3,3,True,-0.0009630606249403003,0.0016410893772633398,-0.0009630606249403003,0.0016410893772633398,3,True,False,0.0009630606249403003,0.0009630606249403003
J_minus_I,F_J,F_I,audit,A,commute_over20,360,expanded_catchup,development_evaluation_person_weighted,3,3,True,6.804421555125136e-05,0.0028965615491835547,6.804421555125136e-05,0.0028965615491835547,3,True,False,-6.804421555125136e-05,-6.804421555125136e-05
J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,validation,3,3,True,-0.0005207773387979989,0.00032919104148261514,-0.0005207773387979989,0.00032919104148261514,3,True,False,0.0005207773387979989,0.0005207773387979989
J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,development_evaluation,3,3,True,0.00017908285888290632,0.0018968657575047859,0.00017908285888290632,0.0018968657575047859,3,True,False,-0.00017908285888290632,-0.00017908285888290632
J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,validation_person_weighted,3,3,True,0.0010553401591430294,0.0004851706630223069,0.0010553401591430294,0.0004851706630223069,3,True,False,-0.0010553401591430294,-0.0010553401591430294
J_minus_I,F_J,F_I,audit,A,SEX,120,standard_independent,development_evaluation_person_weighted,3,3,True,0.00025976900384194757,0.00278374720089582,0.00025976900384194757,0.00278374720089582,3,True,False,-0.00025976900384194757,-0.00025976900384194757
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,validation,3,3,True,-0.0005207773387979989,0.00032919104148261514,-0.0005207773387979989,0.00032919104148261514,3,True,False,0.0005207773387979989,0.0005207773387979989
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,development_evaluation,3,3,True,0.00017908285888290632,0.0018968657575047859,0.00017908285888290632,0.0018968657575047859,3,True,False,-0.00017908285888290632,-0.00017908285888290632
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,validation_person_weighted,3,3,True,0.0010553401591430294,0.0004851706630223069,0.0010553401591430294,0.0004851706630223069,3,True,False,-0.0010553401591430294,-0.0010553401591430294
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,development_evaluation_person_weighted,3,3,True,0.00025976900384194757,0.00278374720089582,0.00025976900384194757,0.00278374720089582,3,True,False,-0.00025976900384194757,-0.00025976900384194757
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,validation,3,3,True,6.447352180549704e-05,0.0024399137213068868,6.447352180549704e-05,0.0024399137213068868,3,True,False,-6.447352180549704e-05,-6.447352180549704e-05
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,development_evaluation,3,3,True,0.005665655629079798,0.005303595981675424,0.005665655629079798,0.005303595981675424,3,True,False,-0.005665655629079798,-0.005665655629079798
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,validation_person_weighted,3,3,True,-0.001220516423100874,0.0033230971699506518,-0.001220516423100874,0.0033230971699506518,3,True,False,0.001220516423100874,0.001220516423100874
J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.005487357822997622,0.0032462688969085614,0.005487357822997622,0.0032462688969085614,3,True,False,-0.005487357822997622,-0.005487357822997622
J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,validation,3,3,True,-0.0005207773387979989,0.00032919104148261514,-0.0005207773387979989,0.00032919104148261514,3,True,False,0.0005207773387979989,0.0005207773387979989
J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,development_evaluation,3,3,True,0.00017908285888290632,0.0018968657575047859,0.00017908285888290632,0.0018968657575047859,3,True,False,-0.00017908285888290632,-0.00017908285888290632
J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,validation_person_weighted,3,3,True,0.0010553401591430294,0.0004851706630223069,0.0010553401591430294,0.0004851706630223069,3,True,False,-0.0010553401591430294,-0.0010553401591430294
J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,development_evaluation_person_weighted,3,3,True,0.00025976900384194757,0.00278374720089582,0.00025976900384194757,0.00278374720089582,3,True,False,-0.00025976900384194757,-0.00025976900384194757
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,validation,3,3,True,-0.0005207773387979989,0.00032919104148261514,-0.0005207773387979989,0.00032919104148261514,3,True,False,0.0005207773387979989,0.0005207773387979989
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,development_evaluation,3,3,True,0.00017908285888290632,0.0018968657575047859,0.00017908285888290632,0.0018968657575047859,3,True,False,-0.00017908285888290632,-0.00017908285888290632
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,validation_person_weighted,3,3,True,0.0010553401591430294,0.0004851706630223069,0.0010553401591430294,0.0004851706630223069,3,True,False,-0.0010553401591430294,-0.0010553401591430294
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,development_evaluation_person_weighted,3,3,True,0.00025976900384194757,0.00278374720089582,0.00025976900384194757,0.00278374720089582,3,True,False,-0.00025976900384194757,-0.00025976900384194757
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,validation,3,3,True,6.447352180549704e-05,0.0024399137213068868,6.447352180549704e-05,0.0024399137213068868,3,True,False,-6.447352180549704e-05,-6.447352180549704e-05
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,development_evaluation,3,3,True,0.005665655629079798,0.005303595981675424,0.005665655629079798,0.005303595981675424,3,True,False,-0.005665655629079798,-0.005665655629079798
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,validation_person_weighted,3,3,True,-0.001220516423100874,0.0033230971699506518,-0.001220516423100874,0.0033230971699506518,3,True,False,0.001220516423100874,0.001220516423100874
J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,development_evaluation_person_weighted,3,3,True,0.005487357822997622,0.0032462688969085614,0.005487357822997622,0.0032462688969085614,3,True,False,-0.005487357822997622,-0.005487357822997622
J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,validation,3,3,True,0.0011737777374366172,0.004485384068578428,0.0011737777374366172,0.004485384068578428,3,True,False,-0.0011737777374366172,-0.0011737777374366172
J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,development_evaluation,3,3,True,0.00045527278100587765,0.0018244314625101205,0.00045527278100587765,0.0018244314625101205,3,True,False,-0.00045527278100587765,-0.00045527278100587765
J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,validation_person_weighted,3,3,True,0.0028715404215490605,0.003967300589052043,0.0028715404215490605,0.003967300589052043,3,True,False,-0.0028715404215490605,-0.0028715404215490605
J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,development_evaluation_person_weighted,3,3,True,0.0041680558439395705,0.0017953719815705458,0.0041680558439395705,0.0017953719815705458,3,True,False,-0.0041680558439395705,-0.0041680558439395705
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,validation,3,3,True,0.002020907099624806,0.0018836616010352793,0.002020907099624806,0.0018836616010352793,3,True,False,-0.002020907099624806,-0.002020907099624806
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,development_evaluation,3,3,True,0.0014875810665364586,0.0030488373140463453,0.0014875810665364586,0.0030488373140463453,3,True,False,-0.0014875810665364586,-0.0014875810665364586
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,validation_person_weighted,3,3,True,0.003430892567238756,0.0036371380224401004,0.003430892567238756,0.0036371380224401004,3,True,False,-0.003430892567238756,-0.003430892567238756
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,development_evaluation_person_weighted,3,3,True,0.00419397332163185,0.003476736401542168,0.00419397332163185,0.003476736401542168,3,True,False,-0.00419397332163185,-0.00419397332163185
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,validation,3,3,True,0.004744370022556972,0.007797413708492593,0.004744370022556972,0.007797413708492593,3,True,False,-0.004744370022556972,-0.004744370022556972
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,development_evaluation,3,3,True,0.0035033137769779157,0.010170117517880356,0.0035033137769779157,0.010170117517880356,3,True,False,-0.0035033137769779157,-0.0035033137769779157
J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,validation_person_weighted,3,3,True,0.0016514285746718205,0.005236039801223894,0.0016514285746718205,0.005236039801223894,3,True,False,-0.0016514285746718205,-0.0016514285746718205
