seed,condition,view,target,split,log_loss
1,P_Iplus,A,income_binary,development_evaluation_person_weighted,0.2940062396111879
1,P_Iplus,A,civilian_at_work,source_validation,0.34702891080692005
1,P_Iplus,A,civilian_at_work,source_validation_person_weighted,0.3480370407454507
1,P_Iplus,A,civilian_at_work,development_evaluation,0.3094959568166084
1,P_Iplus,A,civilian_at_work,development_evaluation_person_weighted,0.30677832518434917
1,P_Iplus,B,public_coverage,source_validation,0.541780820208195
1,P_Iplus,B,public_coverage,source_validation_person_weighted,0.5362089019878813
1,P_Iplus,B,public_coverage,development_evaluation,0.5623059121830343
1,P_Iplus,B,public_coverage,development_evaluation_person_weighted,0.5676119858253589
1,P_J,A,income_binary,source_validation,0.3024108565472427
1,P_J,A,income_binary,source_validation_person_weighted,0.30348246695232184
1,P_J,A,income_binary,development_evaluation,0.2826715037974704
1,P_J,A,income_binary,development_evaluation_person_weighted,0.29296005207564035
1,P_J,A,civilian_at_work,source_validation,0.34752351127547887
1,P_J,A,civilian_at_work,source_validation_person_weighted,0.34753806787848546
1,P_J,A,civilian_at_work,development_evaluation,0.3102912735697866
1,P_J,A,civilian_at_work,development_evaluation_person_weighted,0.3071427680480682
1,P_J,B,public_coverage,source_validation,0.5411922653346548
1,P_J,B,public_coverage,source_validation_person_weighted,0.5350363507269583
1,P_J,B,public_coverage,development_evaluation,0.5616557563958073
1,P_J,B,public_coverage,development_evaluation_person_weighted,0.5676387316693048
2,I,A,income_binary,source_validation,0.7137217201541841
2,I,A,income_binary,source_validation_person_weighted,0.7206108642638246
2,I,A,income_binary,development_evaluation,0.713428795668224
2,I,A,income_binary,development_evaluation_person_weighted,0.7191736953408399
2,I,A,civilian_at_work,source_validation,0.7125829976257497
2,I,A,civilian_at_work,source_validation_person_weighted,0.7236369139750861
2,I,A,civilian_at_work,development_evaluation,0.7091800891643061
2,I,A,civilian_at_work,development_evaluation_person_weighted,0.7151538961441023
2,I,B,public_coverage,source_validation,0.7130672025486294
2,I,B,public_coverage,source_validation_person_weighted,0.7081745034934235
2,I,B,public_coverage,development_evaluation,0.7126347295965496
2,I,B,public_coverage,development_evaluation_person_weighted,0.7094332904725033
2,W,A,income_binary,source_validation,0.3065906105774806
2,W,A,income_binary,source_validation_person_weighted,0.29718384293326816
2,W,A,income_binary,development_evaluation,0.29290530860925756
2,W,A,income_binary,development_evaluation_person_weighted,0.31073148041257076
2,W,A,civilian_at_work,source_validation,0.28460908775615273
2,W,A,civilian_at_work,source_validation_person_weighted,0.29088439700206453
2,W,A,civilian_at_work,development_evaluation,0.28542012545750606
2,W,A,civilian_at_work,development_evaluation_person_weighted,0.2802027619229571
2,W,B,public_coverage,source_validation,0.5003301562672622
2,W,B,public_coverage,source_validation_person_weighted,0.5229008711643659
2,W,B,public_coverage,development_evaluation,0.4970306810598285
2,W,B,public_coverage,development_evaluation_person_weighted,0.5097896872471877
2,F_I,A,income_binary,source_validation,0.31247809643334334
2,F_I,A,income_binary,source_validation_person_weighted,0.30198746135627985
2,F_I,A,income_binary,development_evaluation,0.30343311032189335
2,F_I,A,income_binary,development_evaluation_person_weighted,0.3219889248359123
2,F_I,A,civilian_at_work,source_validation,0.3035872162429848
2,F_I,A,civilian_at_work,source_validation_person_weighted,0.31060537273610256
2,F_I,A,civilian_at_work,development_evaluation,0.3041882256578856
2,F_I,A,civilian_at_work,development_evaluation_person_weighted,0.29571335401271487
2,F_I,B,public_coverage,source_validation,0.5407729098185837
2,F_I,B,public_coverage,source_validation_person_weighted,0.5636885694193292
2,F_I,B,public_coverage,development_evaluation,0.5410297266041348
2,F_I,B,public_coverage,development_evaluation_person_weighted,0.5549714034447615
2,F_Iplus,A,income_binary,source_validation,0.3111691621477603
2,F_Iplus,A,income_binary,source_validation_person_weighted,0.3010962003341189
2,F_Iplus,A,income_binary,development_evaluation,0.30357247941744786
2,F_Iplus,A,income_binary,development_evaluation_person_weighted,0.3230904356627301
2,F_Iplus,A,civilian_at_work,source_validation,0.30444395298848836
