seed,diagnostic_path,group,source_record,interface,condition,coefficients,losses,state_unchanged,rng_unchanged,source_raw_l2,individual_raw_l2,extra_local_raw_l2,coalition_raw_l2,source_individual_raw_dot,source_individual_raw_cosine,source_coalition_raw_dot,source_coalition_raw_cosine,source_extra_local_raw_dot,source_extra_local_raw_cosine,individual_extra_local_raw_dot,individual_extra_local_raw_cosine,extra_local_coalition_raw_dot,extra_local_coalition_raw_cosine,individual_coalition_raw_dot,individual_coalition_raw_cosine,source_applied_l2,individual_applied_l2,extra_local_applied_l2,coalition_applied_l2,source_individual_applied_dot,source_individual_applied_cosine,source_coalition_applied_dot,source_coalition_applied_cosine,source_extra_local_applied_dot,source_extra_local_applied_cosine,individual_extra_local_applied_dot,individual_extra_local_applied_cosine,extra_local_coalition_applied_dot,extra_local_coalition_applied_cosine,individual_coalition_applied_dot,individual_coalition_applied_cosine,combined_protection_l2,objective_l2
0,diagnostics/F_fork,A_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.8265097141265869,""extra_local"":1.870192050933838,""coalition"":0.9213253259658813}",True,True,0.10149084776639938,0.13422918319702148,0.3122413158416748,0.19352421164512634,0.00040420121513307095,0.029670426358090134,-0.00034462797339074314,-0.01754641265929902,0.00030809827148914337,0.009722367051597154,0.03682047128677368,0.8785207568858204,0.040881261229515076,0.6765479934786138,0.014845098368823528,0.5714797226899728,0.10149084776639938,0.013422917574644089,0.0,0.019352421164512634,-4.042012369609438e-05,-0.02967042960726624,3.446280607022345e-05,0.01754641710468238,0.0,,0.0,,0.0,,0.0001484509848523885,0.5714797588923112,0.029182065278291702,0.10554652661085129
0,diagnostics/F_fork,B_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.8265097141265869,""extra_local"":1.870192050933838,""coalition"":0.9213253259658813}",True,True,0.17017880082130432,0.197823166847229,0.3881152868270874,0.1721191108226776,0.0005398899083957076,0.01603698048470438,0.0031122711952775717,0.10625341088163351,0.005645449738949537,0.08547366718455054,0.0374639555811882,0.487950459266738,0.025170661509037018,0.3767947012112586,0.007170339580625296,0.21058793217147506,0.17017880082130432,0.01978231966495514,0.0,0.01721191219985485,-5.398900611908175e-05,-0.016036982607363283,-0.000311227107886225,-0.10625340000805421,0.0,,0.0,,0.0,,7.170339813455939e-05,0.21058789361051464,0.028827017173171043,0.17047399282455444
0,diagnostics/F_fork,A_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.8265097141265869,""extra_local"":1.870192050933838,""coalition"":0.9213253259658813}",True,True,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0360996387898922
0,diagnostics/F_fork,B_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.8265097141265869,""extra_local"":1.870192050933838,""coalition"":0.9213253259658813}",True,True,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03671559318900108
0,diagnostics/F_fork,all_mappers,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,F,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.8265097141265869,""extra_local"":1.870192050933838,""coalition"":0.9213253259658813}",True,True,0.19814445078372955,0.23906376957893372,0.49812453985214233,0.2589915096759796,0.0009440911235287786,0.019930501975795743,0.0027676429599523544,0.05393151521108338,0.005953548476099968,0.06031926522814511,0.07428441941738129,0.6238009511653348,0.06605193018913269,0.5119906718774176,0.022015437483787537,0.3555723890023369,0.19814445078372955,0.02390637807548046,0.0,0.02589915692806244,-9.440913709113374e-05,-0.01993050626651391,-0.00027676430181600153,-0.05393150393347676,0.0,,0.0,,0.0,,0.00022015439753886312,0.35557232721245674,0.04101938754320145,0.20050300657749176
0,diagnostics/P_fork,A_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.9278455972671509,""extra_local"":1.9893639087677002,""coalition"":0.9912028908729553}",True,True,0.10149084776639938,0.02930261380970478,0.03824827820062637,0.03946574032306671,0.0007278700941242278,0.2447488356082676,0.00017351476708427072,0.043320085726139226,0.000306525471387431,0.07896375623973499,0.000757624045945704,0.6759825719149971,0.001157410559244454,0.7667526694236242,0.0005039839306846261,0.43580285796114954,0.10149084776639938,0.0029302621260285378,0.0,0.003946573939174414,-7.278701377799734e-05,-0.24474878805701755,-1.7351479982607998e-05,-0.04332009492281134,0.0,,0.0,,0.0,,5.039839379605837e-06,0.4358027637283036,0.005851629190146923,0.10076882690191269
0,diagnostics/P_fork,B_mapper,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.9278455972671509,""extra_local"":1.9893639087677002,""coalition"":0.9912028908729553}",True,True,0.17017880082130432,0.15500572323799133,0.054198458790779114,0.07338469475507736,0.00565098924562335,0.2142255605725863,0.0020044653210788965,0.16050464146887153,0.0024329801090061665,0.26378261078112347,-0.0007519817445427179,-0.08951022047055864,0.0029716133140027523,0.7471363500503869,-0.0010116752237081528,-0.0889381083678833,0.17017880082130432,0.015500575304031372,0.0,0.007338467985391617,-0.0005650990060530603,-0.21422555027694534,-0.000200446491362527,-0.16050464143395574,0.0,,0.0,,0.0,,-1.0116753401234746e-05,-0.08893811956175461,0.016549546271562576,0.1664440631866455
0,diagnostics/P_fork,A_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.9278455972671509,""extra_local"":1.9893639087677002,""coalition"":0.9912028908729553}",True,True,0.0360996387898922,0.006767410319298506,0.010207227431237698,0.009164758026599884,9.695762855699286e-05,0.3968776285879534,-0.00011655005073407665,-0.35228050281388457,-0.0001577880175318569,-0.4282164745835973,3.167399700032547e-05,0.458535083856629,8.386415720451623e-05,0.896494423335816,2.064252839772962e-05,0.33282763461171516,0.0360996387898922,0.0006767410086467862,0.0,0.000916475779376924,-9.695762855699286e-06,-0.396877642242405,1.1655003618216142e-05,0.3522804677794091,0.0,,0.0,,0.0,,2.064252839772962e-07,0.332827654518032,0.0013079590862616897,0.03617752715945244
0,diagnostics/P_fork,B_heads,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.9278455972671509,""extra_local"":1.9893639087677002,""coalition"":0.9912028908729553}",True,True,0.03671559318900108,0.03072013147175312,0.014398505911231041,0.017569536343216896,-9.850753122009337e-05,-0.08733650646635963,0.00020481491810642183,0.31750512239164236,0.0003286449646111578,0.6216687034613054,-0.0001412091078236699,-0.3192436077419074,0.0002113443915732205,0.8354356385959398,-0.00016141746891662478,-0.2990660828842093,0.03671559318900108,0.003072013147175312,0.0,0.0017569535411894321,9.850751666817814e-06,0.08733649356467157,-2.048149508482311e-05,-0.3175051899784143,0.0,,0.0,,0.0,,-1.6141750620590756e-06,-0.29906616782473877,0.0030489014461636543,0.03655228018760681
0,diagnostics/P_fork,all_mappers,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,P,J,"{""source"":1.0,""individual"":-0.1,""extra_local"":0.0,""coalition"":-0.1}","{""source"":0.34904277324676514,""individual"":0.9278455972671509,""extra_local"":1.9893639087677002,""coalition"":0.9912028908729553}",True,True,0.19814445078372955,0.15775112807750702,0.0663355365395546,0.08332381397485733,0.006378859281539917,0.2040744497009759,0.0021779797971248627,0.13191761541107644,0.0027395058423280716,0.20842224557821756,5.642330506816506e-06,0.0005391874836126268,0.004129023756831884,0.7470195965584105,-0.0005076912930235267,-0.03862407582743737,0.19814445078372955,0.01577511616051197,0.0,0.008332381024956703,-0.0006378859980031848,-0.20407442867441844,-0.0002177980204578489,-0.13191764598790434,0.0,,0.0,,0.0,,-5.076913112134207e-06,-0.03862407072915287,0.017553603276610374,0.19457128643989563
