seed,comparison,left,right,role,view,target,audit_budget,scope,split,left_loss,right_loss,left_minus_right,present,signed_gain_left_minus_right
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,validation_person_weighted,0.679468517063415,0.6781802480818053,0.0012882689816097193,True,-0.0012882689816097193
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_independent,development_evaluation_person_weighted,0.6866581290263435,0.6858685135894134,0.0007896154369301245,True,-0.0007896154369301245
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,validation,0.6789996713916658,0.6813621610127,-0.002362489621034136,True,0.002362489621034136
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,development_evaluation,0.6894952809550713,0.6876858035536428,0.0018094774014284498,True,-0.0018094774014284498
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,validation_person_weighted,0.673271146160643,0.6781802480818053,-0.00490910192116234,True,0.00490910192116234
0,J_minus_I,F_J,F_I,audit,A,SEX,120,expanded_catchup,development_evaluation_person_weighted,0.6882720166074591,0.6858685135894134,0.002403503018045705,True,-0.002403503018045705
0,J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,validation,0.6811323650517053,0.6813621610127,-0.00022979596099470534,True,0.00022979596099470534
0,J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,development_evaluation,0.6879056971078485,0.6876858035536428,0.00021989355420570789,True,-0.00021989355420570789
0,J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,validation_person_weighted,0.679468517063415,0.6781802480818053,0.0012882689816097193,True,-0.0012882689816097193
0,J_minus_I,F_J,F_I,audit,A,SEX,360,standard_independent,development_evaluation_person_weighted,0.6866581290263435,0.6858685135894134,0.0007896154369301245,True,-0.0007896154369301245
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,validation,0.6811323650517053,0.6813621610127,-0.00022979596099470534,True,0.00022979596099470534
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,development_evaluation,0.6879056971078485,0.6876858035536428,0.00021989355420570789,True,-0.00021989355420570789
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,validation_person_weighted,0.679468517063415,0.6781802480818053,0.0012882689816097193,True,-0.0012882689816097193
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_independent,development_evaluation_person_weighted,0.6866581290263435,0.6858685135894134,0.0007896154369301245,True,-0.0007896154369301245
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,validation,0.6789996713916658,0.6813621610127,-0.002362489621034136,True,0.002362489621034136
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,development_evaluation,0.6894952809550713,0.6876858035536428,0.0018094774014284498,True,-0.0018094774014284498
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,validation_person_weighted,0.673271146160643,0.6781802480818053,-0.00490910192116234,True,0.00490910192116234
0,J_minus_I,F_J,F_I,audit,A,SEX,360,expanded_catchup,development_evaluation_person_weighted,0.6882720166074591,0.6858685135894134,0.002403503018045705,True,-0.002403503018045705
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,validation,1.2671042805217232,1.2629603913073528,0.0041438892143703665,True,-0.0041438892143703665
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,development_evaluation,1.2716356873378247,1.2700868996855503,0.001548787652274397,True,-0.001548787652274397
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,validation_person_weighted,1.2750041040943048,1.2687579153445832,0.006246188749721604,True,-0.006246188749721604
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,standard_independent,development_evaluation_person_weighted,1.2469559493028892,1.2423812026906158,0.004574746612273417,True,-0.004574746612273417
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,validation,1.2659869880447945,1.2629603913073528,0.003026596737441656,True,-0.003026596737441656
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,development_evaluation,1.2745057153013917,1.2700868996855503,0.004418815615841343,True,-0.004418815615841343
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,validation_person_weighted,1.273761955445928,1.2687579153445832,0.00500404010134492,True,-0.00500404010134492
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_independent,development_evaluation_person_weighted,1.2457643449706177,1.2423812026906158,0.003383142280001916,True,-0.003383142280001916
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,validation,1.2522527952795641,1.243757353803429,0.008495441476135124,True,-0.008495441476135124
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,development_evaluation,1.259494062228826,1.267604565248665,-0.008110503019838955,True,0.008110503019838955
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,validation_person_weighted,1.2589539758541297,1.2586745921878668,0.0002793836662629001,True,-0.0002793836662629001
0,J_minus_I,F_J,F_I,audit,A,RAC1P,120,expanded_catchup,development_evaluation_person_weighted,1.23233598412717,1.233584581783303,-0.0012485976561331658,True,0.0012485976561331658
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,standard_independent,validation,1.2671042805217232,1.2629603913073528,0.0041438892143703665,True,-0.0041438892143703665
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,standard_independent,development_evaluation,1.2716356873378247,1.2700868996855503,0.001548787652274397,True,-0.001548787652274397
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,standard_independent,validation_person_weighted,1.2750041040943048,1.2687579153445832,0.006246188749721604,True,-0.006246188749721604
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,standard_independent,development_evaluation_person_weighted,1.2469559493028892,1.2423812026906158,0.004574746612273417,True,-0.004574746612273417
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_independent,validation,1.2659593211644833,1.2629603913073528,0.0029989298571304612,True,-0.0029989298571304612
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_independent,development_evaluation,1.2752602811262115,1.2700868996855503,0.005173381440661151,True,-0.005173381440661151
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_independent,validation_person_weighted,1.2740043854020062,1.2687579153445832,0.005246470057423069,True,-0.005246470057423069
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_independent,development_evaluation_person_weighted,1.2468008080403528,1.2423812026906158,0.004419605349736955,True,-0.004419605349736955
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_catchup,validation,1.2522527952795641,1.243757353803429,0.008495441476135124,True,-0.008495441476135124
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_catchup,development_evaluation,1.259494062228826,1.267604565248665,-0.008110503019838955,True,0.008110503019838955
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_catchup,validation_person_weighted,1.2589539758541297,1.2586745921878668,0.0002793836662629001,True,-0.0002793836662629001
0,J_minus_I,F_J,F_I,audit,A,RAC1P,360,expanded_catchup,development_evaluation_person_weighted,1.23233598412717,1.233584581783303,-0.0012485976561331658,True,0.0012485976561331658
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,standard_independent,validation,0.370939775668209,0.3615049302488277,0.009434845419381332,True,-0.009434845419381332
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,standard_independent,development_evaluation,0.3596559653650743,0.3568952139528088,0.0027607514122655052,True,-0.0027607514122655052
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,standard_independent,validation_person_weighted,0.38637804419231103,0.3738173914670865,0.012560652725224553,True,-0.012560652725224553
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,standard_independent,development_evaluation_person_weighted,0.3745112185579528,0.36125523385041003,0.013255984707542745,True,-0.013255984707542745
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_independent,validation,0.370939775668209,0.3615049302488277,0.009434845419381332,True,-0.009434845419381332
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_independent,development_evaluation,0.3596559653650743,0.3568952139528088,0.0027607514122655052,True,-0.0027607514122655052
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_independent,validation_person_weighted,0.38637804419231103,0.3738173914670865,0.012560652725224553,True,-0.012560652725224553
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_independent,development_evaluation_person_weighted,0.3745112185579528,0.36125523385041003,0.013255984707542745,True,-0.013255984707542745
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_catchup,validation,0.36024635479442274,0.3615049302488277,-0.0012585754544049421,True,0.0012585754544049421
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_catchup,development_evaluation,0.35256374376830246,0.3568952139528088,-0.004331470184506359,True,0.004331470184506359
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_catchup,validation_person_weighted,0.3716369238773091,0.3738173914670865,-0.0021804675897773573,True,0.0021804675897773573
0,J_minus_I,F_J,F_I,audit,B,income_binary,120,expanded_catchup,development_evaluation_person_weighted,0.35766532062867706,0.36125523385041003,-0.0035899132217329655,True,0.0035899132217329655
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,standard_independent,validation,0.370939775668209,0.3615049302488277,0.009434845419381332,True,-0.009434845419381332
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,standard_independent,development_evaluation,0.3596559653650743,0.3568952139528088,0.0027607514122655052,True,-0.0027607514122655052
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,standard_independent,validation_person_weighted,0.38637804419231103,0.3738173914670865,0.012560652725224553,True,-0.012560652725224553
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,standard_independent,development_evaluation_person_weighted,0.3745112185579528,0.36125523385041003,0.013255984707542745,True,-0.013255984707542745
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_independent,validation,0.370939775668209,0.3615049302488277,0.009434845419381332,True,-0.009434845419381332
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_independent,development_evaluation,0.3596559653650743,0.3568952139528088,0.0027607514122655052,True,-0.0027607514122655052
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_independent,validation_person_weighted,0.38637804419231103,0.3738173914670865,0.012560652725224553,True,-0.012560652725224553
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_independent,development_evaluation_person_weighted,0.3745112185579528,0.36125523385041003,0.013255984707542745,True,-0.013255984707542745
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_catchup,validation,0.36024635479442274,0.3615049302488277,-0.0012585754544049421,True,0.0012585754544049421
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_catchup,development_evaluation,0.35256374376830246,0.3568952139528088,-0.004331470184506359,True,0.004331470184506359
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_catchup,validation_person_weighted,0.3716369238773091,0.3738173914670865,-0.0021804675897773573,True,0.0021804675897773573
0,J_minus_I,F_J,F_I,audit,B,income_binary,360,expanded_catchup,development_evaluation_person_weighted,0.35766532062867706,0.36125523385041003,-0.0035899132217329655,True,0.0035899132217329655
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,standard_independent,validation,0.4655490634514607,0.48578527348408373,-0.020236210032623048,True,0.020236210032623048
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,standard_independent,development_evaluation,0.4848966118307565,0.46552190214114064,0.019374709689615854,True,-0.019374709689615854
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,standard_independent,validation_person_weighted,0.4542766065839906,0.4702103633038814,-0.01593375671989078,True,0.01593375671989078
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,standard_independent,development_evaluation_person_weighted,0.47409832813030156,0.4414519014852247,0.03264642664507689,True,-0.03264642664507689
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_independent,validation,0.4655490634514607,0.48578527348408373,-0.020236210032623048,True,0.020236210032623048
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_independent,development_evaluation,0.4848966118307565,0.46552190214114064,0.019374709689615854,True,-0.019374709689615854
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_independent,validation_person_weighted,0.4542766065839906,0.4702103633038814,-0.01593375671989078,True,0.01593375671989078
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_independent,development_evaluation_person_weighted,0.47409832813030156,0.4414519014852247,0.03264642664507689,True,-0.03264642664507689
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_catchup,validation,0.4655490634514607,0.48578527348408373,-0.020236210032623048,True,0.020236210032623048
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_catchup,development_evaluation,0.4848966118307565,0.46552190214114064,0.019374709689615854,True,-0.019374709689615854
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_catchup,validation_person_weighted,0.4542766065839906,0.4702103633038814,-0.01593375671989078,True,0.01593375671989078
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,120,expanded_catchup,development_evaluation_person_weighted,0.47409832813030156,0.4414519014852247,0.03264642664507689,True,-0.03264642664507689
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,360,standard_independent,validation,0.4655490634514607,0.48578527348408373,-0.020236210032623048,True,0.020236210032623048
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,360,standard_independent,development_evaluation,0.4848966118307565,0.46552190214114064,0.019374709689615854,True,-0.019374709689615854
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,360,standard_independent,validation_person_weighted,0.4542766065839906,0.4702103633038814,-0.01593375671989078,True,0.01593375671989078
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,360,standard_independent,development_evaluation_person_weighted,0.47409832813030156,0.4414519014852247,0.03264642664507689,True,-0.03264642664507689
0,J_minus_I,F_J,F_I,audit,B,civilian_at_work,360,expanded_independent,validation,0.4655490634514607,0.48578527348408373,-0.020236210032623048,True,0.020236210032623048
