comparison,left,right,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,causal_replacement,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean
contextual_learned_minus_historical,P_J,E_pca,utility,A,income_binary,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,-0.0033086365751140434,0.00882619204593682,-0.0033086365751140434,0.00882619204593682,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,civilian_at_work,,utility,primary,,validation,False,3,3,True,-0.013402966430927773,0.0019189539276867893,-0.013402966430927773,0.0019189539276867893,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,validation,False,3,3,True,-0.012357675767287413,0.0017259829832201013,-0.012357675767287413,0.0017259829832201013,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,civilian_at_work,,utility,primary,,validation,False,3,3,True,-0.011544773535842767,0.001559023703751511,-0.011544773535842767,0.001559023703751511,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,civilian_at_work,,utility,primary,,validation,False,3,3,True,0.00011420060924697643,0.006296563938870369,0.00011420060924697643,0.006296563938870369,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,validation,False,3,3,True,0.000569475629832672,0.005939906395195196,0.000569475629832672,0.005939906395195196,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,civilian_at_work,,utility,primary,,validation,False,3,3,True,0.0007417418055067534,0.0059544692819851735,0.0007417418055067534,0.0059544692819851735,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation,False,3,3,True,-0.011300905790502266,0.003869266054732611,-0.011300905790502266,0.003869266054732611,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation,False,3,3,True,-0.009710906788032622,0.002735261089973083,-0.009710906788032622,0.002735261089973083,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation,False,3,3,True,-0.010809039067411838,0.002317262099271421,-0.010809039067411838,0.002317262099271421,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation,False,3,3,True,-0.0017832757484791777,0.00139397886582847,-0.0017832757484791777,0.00139397886582847,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation,False,3,3,True,-0.0013635876360318193,0.0012831275135064147,-0.0013635876360318193,0.0012831275135064147,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,A,civilian_at_work,,utility,primary,,development_evaluation,False,3,3,True,-0.000827506743133514,0.001334658555876381,-0.000827506743133514,0.001334658555876381,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,A,civilian_at_work,,utility,primary,,validation_person_weighted,False,3,3,True,-0.012593594884169909,0.001001005710832002,-0.012593594884169909,0.001001005710832002,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,A,civilian_at_work,,utility,primary,,validation_person_weighted,False,3,3,True,-0.011575693824895724,0.0031815613739041943,-0.011575693824895724,0.0031815613739041943,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,A,civilian_at_work,,utility,primary,,validation_person_weighted,False,3,3,True,-0.011011745923969751,0.003650645479828693,-0.011011745923969751,0.003650645479828693,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,A,civilian_at_work,,utility,primary,,validation_person_weighted,False,3,3,True,-0.0007350945691546226,0.00713487095026703,-0.0007350945691546226,0.00713487095026703,3,True,False,
