seed,condition,interface,arm,epoch,task,support,pre_loss,source_loss,full_loss,accepted_loss,source_minus_pre,full_minus_source,accepted_minus_source,accepted_minus_full,accepted_minus_pre,source_proposal_has_inherited_full_moments
1,F_G_L025,F,G_L025,20,civilian_at_work,256,0.18940019607543945,0.18793465197086334,0.1879417449235916,0.18793533742427826,-0.0014655441045761108,7.092952728271484e-06,6.854534149169922e-07,-6.407499313354492e-06,-0.0014648586511611938,True
1,F_G_L025,F,G_L025,20,public_coverage,256,0.40974122285842896,0.40760642290115356,0.4075745642185211,0.4075745642185211,-0.0021347999572753906,-3.185868263244629e-05,-3.185868263244629e-05,0.0,-0.002166658639907837,True
1,F_G_L025,F,G_L025,40,income_binary,256,0.274794340133667,0.2734333574771881,0.27344605326652527,0.27343326807022095,-0.0013609826564788818,1.2695789337158203e-05,-8.940696716308594e-08,-1.2785196304321289e-05,-0.001361072063446045,True
1,F_G_L025,F,G_L025,40,civilian_at_work,256,0.2875060737133026,0.2851751148700714,0.2851467430591583,0.28514695167541504,-0.002330958843231201,-2.8371810913085938e-05,-2.816319465637207e-05,2.086162567138672e-07,-0.0023591220378875732,True
1,F_G_L025,F,G_L025,40,public_coverage,256,0.45679372549057007,0.4535686671733856,0.4535452425479889,0.4535452425479889,-0.0032250583171844482,-2.3424625396728516e-05,-2.3424625396728516e-05,0.0,-0.0032484829425811768,True
1,F_G_L025,F,G_L025,60,income_binary,256,0.2566564381122589,0.25609898567199707,0.2561182975769043,0.25610053539276123,-0.0005574524402618408,1.9311904907226562e-05,1.5497207641601562e-06,-1.7762184143066406e-05,-0.0005559027194976807,True
1,F_G_L025,F,G_L025,60,civilian_at_work,256,0.2301306575536728,0.22739055752754211,0.2273484170436859,0.22734864056110382,-0.0027401000261306763,-4.214048385620117e-05,-4.191696643829346e-05,2.2351741790771484e-07,-0.0027820169925689697,True
1,F_G_L025,F,G_L025,60,public_coverage,256,0.3912712335586548,0.3883403539657593,0.3884742259979248,0.38835617899894714,-0.002930879592895508,0.00013387203216552734,1.582503318786621e-05,-0.00011804699897766113,-0.0029150545597076416,True
1,F_G_L025,F,G_L025,80,income_binary,256,0.2228899598121643,0.2216181457042694,0.22160564363002777,0.2216053009033203,-0.0012718141078948975,-1.2502074241638184e-05,-1.284480094909668e-05,-3.427267074584961e-07,-0.0012846589088439941,True
1,F_G_L025,F,G_L025,80,civilian_at_work,256,0.1804349422454834,0.1794823855161667,0.1794876754283905,0.1794772744178772,-0.0009525567293167114,5.289912223815918e-06,-5.111098289489746e-06,-1.0401010513305664e-05,-0.0009576678276062012,True
1,F_G_L025,F,G_L025,80,public_coverage,256,0.43275824189186096,0.42939868569374084,0.42949119210243225,0.4293992519378662,-0.003359556198120117,9.250640869140625e-05,5.662441253662109e-07,-9.194016456604004e-05,-0.003358989953994751,True
1,F_G_L20,F,G_L20,1,income_binary,256,0.29374170303344727,0.2930622696876526,0.2930929362773895,0.2930614948272705,-0.0006794333457946777,3.0666589736938477e-05,-7.748603820800781e-07,-3.1441450119018555e-05,-0.0006802082061767578,True
1,F_G_L20,F,G_L20,1,civilian_at_work,256,0.24585357308387756,0.24472588300704956,0.24475710093975067,0.2447267770767212,-0.001127690076828003,3.121793270111084e-05,8.940696716308594e-07,-3.032386302947998e-05,-0.001126796007156372,True
1,F_G_L20,F,G_L20,1,public_coverage,256,0.46043527126312256,0.45794540643692017,0.45796865224838257,0.45794782042503357,-0.0024898648262023926,2.3245811462402344e-05,2.4139881134033203e-06,-2.0831823348999023e-05,-0.0024874508380889893,True
1,F_G_L20,F,G_L20,20,income_binary,256,0.28814196586608887,0.28659021854400635,0.2866274416446686,0.28658968210220337,-0.0015517473220825195,3.7223100662231445e-05,-5.364418029785156e-07,-3.775954246520996e-05,-0.001552283763885498,True
1,F_G_L20,F,G_L20,20,civilian_at_work,256,0.18763822317123413,0.18637233972549438,0.18637758493423462,0.18636761605739594,-0.001265883445739746,5.245208740234375e-06,-4.723668098449707e-06,-9.968876838684082e-06,-0.0012706071138381958,True
1,F_G_L20,F,G_L20,20,public_coverage,256,0.4063701629638672,0.4044841229915619,0.4044908285140991,0.4044908285140991,-0.0018860399723052979,6.705522537231445e-06,6.705522537231445e-06,0.0,-0.0018793344497680664,True
1,F_G_L20,F,G_L20,40,income_binary,256,0.2822647988796234,0.280943900346756,0.28108179569244385,0.2809448838233948,-0.0013208985328674316,0.0001378953456878662,9.834766387939453e-07,-0.00013691186904907227,-0.0013199150562286377,True
1,F_G_L20,F,G_L20,40,civilian_at_work,256,0.285728394985199,0.28324297070503235,0.2832566499710083,0.28324204683303833,-0.002485424280166626,1.3679265975952148e-05,-9.238719940185547e-07,-1.4603137969970703e-05,-0.0024863481521606445,True
1,F_G_L20,F,G_L20,40,public_coverage,256,0.4627639353275299,0.45930561423301697,0.4593721628189087,0.4593065083026886,-0.0034583210945129395,6.654858589172363e-05,8.940696716308594e-07,-6.565451622009277e-05,-0.0034574270248413086,True
1,F_G_L20,F,G_L20,60,income_binary,256,0.25664421916007996,0.25604429841041565,0.256021112203598,0.256021112203598,-0.0005999207496643066,-2.3186206817626953e-05,-2.3186206817626953e-05,0.0,-0.0006231069564819336,True
1,F_G_L20,F,G_L20,60,civilian_at_work,256,0.2269384264945984,0.22446399927139282,0.22438716888427734,0.22438716888427734,-0.0024744272232055664,-7.683038711547852e-05,-7.683038711547852e-05,0.0,-0.002551257610321045,True
1,F_G_L20,F,G_L20,60,public_coverage,256,0.39520853757858276,0.3920998275279999,0.39230257272720337,0.39211538434028625,-0.0031087100505828857,0.0002027451992034912,1.5556812286376953e-05,-0.00018718838691711426,-0.003093153238296509,True
1,F_G_L20,F,G_L20,80,income_binary,256,0.2195884883403778,0.21827463805675507,0.2182803452014923,0.2182774543762207,-0.0013138502836227417,5.707144737243652e-06,2.816319465637207e-06,-2.8908252716064453e-06,-0.0013110339641571045,True
1,F_G_L20,F,G_L20,80,civilian_at_work,256,0.18343409895896912,0.18247181177139282,0.18247951567173004,0.18247878551483154,-0.0009622871875762939,7.703900337219238e-06,6.973743438720703e-06,-7.301568984985352e-07,-0.0009553134441375732,True
1,F_G_L20,F,G_L20,80,public_coverage,256,0.42930975556373596,0.4258120059967041,0.4258773922920227,0.42581143975257874,-0.0034977495670318604,6.538629531860352e-05,-5.662441253662109e-07,-6.595253944396973e-05,-0.0034983158111572266,True
1,P_G_J,P,G_J,1,income_binary,256,0.29374170303344727,0.2930622696876526,0.29309314489364624,0.2930620312690735,-0.0006794333457946777,3.0875205993652344e-05,-2.384185791015625e-07,-3.1113624572753906e-05,-0.0006796717643737793,True
1,P_G_J,P,G_J,1,civilian_at_work,256,0.24585357308387756,0.24472588300704956,0.24469342827796936,0.24469198286533356,-0.001127690076828003,-3.2454729080200195e-05,-3.390014171600342e-05,-1.4454126358032227e-06,-0.0011615902185440063,True
1,P_G_J,P,G_J,1,public_coverage,256,0.46043527126312256,0.45794540643692017,0.4579784572124481,0.4579471945762634,-0.0024898648262023926,3.30507755279541e-05,1.7881393432617188e-06,-3.126263618469238e-05,-0.002488076686859131,True
1,P_G_J,P,G_J,20,income_binary,256,0.2855128049850464,0.28400009870529175,0.2840259075164795,0.2840002179145813,-0.0015127062797546387,2.580881118774414e-05,1.1920928955078125e-07,-2.568960189819336e-05,-0.0015125870704650879,True
1,P_G_J,P,G_J,20,civilian_at_work,256,0.19144006073474884,0.18997414410114288,0.18997032940387726,0.18997111916542053,-0.001465916633605957,-3.814697265625e-06,-3.0249357223510742e-06,7.897615432739258e-07,-0.001468941569328308,True
