seed,condition,view,target,audit_budget,left_scope,right_scope,split,signed_gain_left_minus_right,left_candidate,right_candidate
0,F_T,B,income_binary,120,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,income_binary,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,income_binary,120,expanded_catchup,expanded_independent,validation,0.00014119848269172897,catchup,wire__mlp_1
0,F_T,B,income_binary,120,expanded_catchup,expanded_independent,development_evaluation,-0.006753899878663039,catchup,wire__mlp_1
0,F_T,B,income_binary,120,expanded_catchup,expanded_independent,validation_person_weighted,-0.0040805875520184,catchup,wire__mlp_1
0,F_T,B,income_binary,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0002104080150313603,catchup,wire__mlp_1
0,F_T,B,income_binary,360,expanded_independent,standard_independent,validation,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,income_binary,360,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,income_binary,360,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,income_binary,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,income_binary,360,expanded_catchup,expanded_independent,validation,0.00014119848269172897,catchup,wire__mlp_1
0,F_T,B,income_binary,360,expanded_catchup,expanded_independent,development_evaluation,-0.006753899878663039,catchup,wire__mlp_1
0,F_T,B,income_binary,360,expanded_catchup,expanded_independent,validation_person_weighted,-0.0040805875520184,catchup,wire__mlp_1
0,F_T,B,income_binary,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.0002104080150313603,catchup,wire__mlp_1
0,F_T,B,civilian_at_work,120,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_catchup,expanded_independent,validation,0.003797945440525863,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_catchup,expanded_independent,development_evaluation,0.008223217148991546,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_catchup,expanded_independent,validation_person_weighted,0.0014727110335363558,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,120,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.007381553090446413,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_independent,standard_independent,validation,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_independent,standard_independent,validation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_independent,standard_independent,development_evaluation_person_weighted,0.0,wire__mlp_0,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_catchup,expanded_independent,validation,0.003797945440525863,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_catchup,expanded_independent,development_evaluation,0.008223217148991546,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_catchup,expanded_independent,validation_person_weighted,0.0014727110335363558,catchup,wire__mlp_0
0,F_T,B,civilian_at_work,360,expanded_catchup,expanded_independent,development_evaluation_person_weighted,0.007381553090446413,catchup,wire__mlp_0
0,F_T,B,same_residence,120,expanded_independent,standard_independent,validation,0.0,wire__mlp_1,wire__mlp_1
0,F_T,B,same_residence,120,expanded_independent,standard_independent,development_evaluation,0.0,wire__mlp_1,wire__mlp_1
