seed,forward_alias,epoch,task,reconstructed_diagnostic,original_forward_fit_replaced,source_displacement_l2,full_source_displacement_dot,mapper_only_source_displacement_dot,pre_loss,source_loss,full_loss,accepted_loss,accepted_minus_pre,accepted_minus_source,full_minus_source
1,seed_1/T_shared,60,civilian_at_work,True,False,0.020324858423828203,-0.002857387162463501,-0.0028512920313788033,0.23139797151088715,0.22859862446784973,0.22859862446784973,0.22859862446784973,-0.0027993470430374146,0.0,0.0
1,seed_1/T_shared,60,public_coverage,True,False,0.020324858423828203,-0.00317329994062148,-0.0031796032994184913,0.3938000798225403,0.39077526330947876,0.39077526330947876,0.39077526330947876,-0.0030248165130615234,0.0,0.0
1,seed_1/T_shared,80,income_binary,True,False,0.017122158341042137,-0.0012625225718250973,-0.0011630817993405842,0.22238700091838837,0.22115710377693176,0.22115710377693176,0.22115710377693176,-0.001229897141456604,0.0,0.0
1,seed_1/T_shared,80,civilian_at_work,True,False,0.017122158341042137,-0.0009564372880121576,-0.0009260594673166212,0.18257784843444824,0.18180841207504272,0.18180841207504272,0.18180841207504272,-0.0007694363594055176,0.0,0.0
1,seed_1/T_shared,80,public_coverage,True,False,0.017122158341042137,-0.003432750816303489,-0.0034187683945950055,0.43351611495018005,0.4301601052284241,0.4301601052284241,0.4301601052284241,-0.0033560097217559814,0.0,0.0
2,seed_2/T_shared,1,income_binary,True,False,0.02242348339660543,-6.4858852829622e-05,-8.983119876204177e-05,0.26906245946884155,0.2690053880214691,0.2690053880214691,0.2690053880214691,-5.7071447372436523e-05,0.0,0.0
2,seed_2/T_shared,1,civilian_at_work,True,False,0.02242348339660543,-0.0013007453922996269,-0.0013027324291738967,0.2216521054506302,0.22038275003433228,0.22038275003433228,0.22038275003433228,-0.0012693554162979126,0.0,0.0
2,seed_2/T_shared,1,public_coverage,True,False,0.02242348339660543,-0.0017025724152328655,-0.0016881314051660446,0.38645586371421814,0.3848087191581726,0.3848087191581726,0.3848087191581726,-0.0016471445560455322,0.0,0.0
2,seed_2/T_shared,20,income_binary,True,False,0.028781685351909034,-0.00026605097732095777,-0.0003295210984953056,0.3113825023174286,0.31112855672836304,0.31112855672836304,0.31112855672836304,-0.00025394558906555176,0.0,0.0
2,seed_2/T_shared,20,civilian_at_work,True,False,0.028781685351909034,-0.0022214379765650447,-0.002171341805083258,0.21519628167152405,0.21307499706745148,0.21307499706745148,0.21307499706745148,-0.002121284604072571,0.0,0.0
2,seed_2/T_shared,20,public_coverage,True,False,0.028781685351909034,-0.0024498068287554108,-0.0024342927548216963,0.4507388472557068,0.4487508237361908,0.4487508237361908,0.4487508237361908,-0.001988023519515991,0.0,0.0
2,seed_2/T_shared,40,income_binary,True,False,0.022711932428414582,-0.0009528979390567159,-0.0009624785164401163,0.21314406394958496,0.21220888197422028,0.21220888197422028,0.21220888197422028,-0.0009351819753646851,0.0,0.0
2,seed_2/T_shared,40,civilian_at_work,True,False,0.022711932428414582,-0.0020463319972798383,-0.002063650687060801,0.27575239539146423,0.273761510848999,0.273761510848999,0.273761510848999,-0.00199088454246521,0.0,0.0
2,seed_2/T_shared,40,public_coverage,True,False,0.022711932428414582,-0.003004359614026661,-0.0029885882529091736,0.4176141023635864,0.4147500991821289,0.4147500991821289,0.4147500991821289,-0.0028640031814575195,0.0,0.0
2,seed_2/T_shared,60,income_binary,True,False,0.024268255641623954,-8.988065567751021e-06,-4.571934262563662e-06,0.21146240830421448,0.21148353815078735,0.21148353815078735,0.21148353815078735,2.1129846572875977e-05,0.0,0.0
2,seed_2/T_shared,60,civilian_at_work,True,False,0.024268255641623954,-0.0027204198453124858,-0.0026434732335209156,0.214469775557518,0.2119121253490448,0.2119121253490448,0.2119121253490448,-0.0025576502084732056,0.0,0.0
2,seed_2/T_shared,60,public_coverage,True,False,0.024268255641623954,-0.0035827243962253848,-0.003556378991173229,0.4024675488471985,0.3991367220878601,0.3991367220878601,0.3991367220878601,-0.003330826759338379,0.0,0.0
2,seed_2/T_shared,80,income_binary,True,False,0.02283224154362207,-0.00039265055528106346,-0.0003967409819893346,0.23492097854614258,0.23455025255680084,0.23455025255680084,0.23455025255680084,-0.00037072598934173584,0.0,0.0
2,seed_2/T_shared,80,civilian_at_work,True,False,0.02283224154362207,-0.0009107498152592284,-0.0008702268006539317,0.25043776631355286,0.24964435398578644,0.24964435398578644,0.24964435398578644,-0.0007934123277664185,0.0,0.0
2,seed_2/T_shared,80,public_coverage,True,False,0.02283224154362207,-0.0049779602336002685,-0.004941664175007576,0.4263635277748108,0.4216148853302002,0.4216148853302002,0.4216148853302002,-0.004748642444610596,0.0,0.0
