seed,condition,target,report_audit_budget,actual_fitting_budget,evaluation_split,weighting,log_loss,selected_candidate,origin_metrics,reused
0,exposed,public_coverage,120,120,development_evaluation,person_weighted,5.8869799049719e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,360,,validation,unweighted,0.5552667338855982,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,360,360,validation,unweighted,3.960972157457166e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,360,,validation,person_weighted,0.5571066223710125,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,360,360,validation,person_weighted,3.961658695025945e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,360,,development_evaluation,unweighted,0.5775386198685424,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,360,360,development_evaluation,unweighted,3.969282708110689e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,public_coverage,360,,development_evaluation,person_weighted,0.5850460929634269,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,public_coverage,360,360,development_evaluation,person_weighted,3.972084053065614e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,120,,validation,unweighted,0.5513945497598721,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,120,120,validation,unweighted,5.9305653057042555e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,120,,validation,person_weighted,0.5276387396278378,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,120,120,validation,person_weighted,5.835857050246034e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,120,,development_evaluation,unweighted,0.5290899567846102,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,120,120,development_evaluation,unweighted,5.841642676770453e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,120,,development_evaluation,person_weighted,0.5119863996384353,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,120,120,development_evaluation,person_weighted,5.773455229133805e-05,mlp_1,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,360,,validation,unweighted,0.5513945497598721,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,360,360,validation,unweighted,3.808934747311065e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,360,,validation,person_weighted,0.5276387396278378,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,360,360,validation,person_weighted,3.826565400808601e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,360,,development_evaluation,unweighted,0.5290899567846102,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,360,360,development_evaluation,unweighted,3.825488362951398e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,same_residence,360,,development_evaluation,person_weighted,0.5119863996384353,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,same_residence,360,360,development_evaluation,person_weighted,3.838181968765872e-06,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,commute_over20,120,,validation,unweighted,0.6936062072448311,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,commute_over20,120,120,validation,unweighted,9.075570462763736e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,commute_over20,120,,validation,person_weighted,0.6928428459653628,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,commute_over20,120,120,validation,person_weighted,9.280236611805872e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,commute_over20,120,,development_evaluation,unweighted,0.6945743578591163,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,exposed,commute_over20,120,120,development_evaluation,unweighted,8.815997881277101e-05,mlp_0,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
0,prior,commute_over20,120,,development_evaluation,person_weighted,0.694638164578084,prior,results/redesign_20260908_acs_coalition_v1/seed_0/controls/metrics.json,True
