seed,historical_release,role,target,report_audit_budget,actual_audit_budget,original_scope,split,log_loss,original_candidate,origin_metrics,causal_replacement,respects_new_individual_policy
0,E_pca_leace,audit,SEX,360,120,primary,development_evaluation,0.6825529792064725,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,primary,validation_person_weighted,0.6639573994507895,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,primary,development_evaluation_person_weighted,0.687477343409721,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,pooled,validation,0.6646793982109042,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,pooled,development_evaluation,0.6825529792064725,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,pooled,validation_person_weighted,0.6639573994507895,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,SEX,360,120,pooled,development_evaluation_person_weighted,0.687477343409721,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,primary,validation,1.2556023318765435,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,primary,development_evaluation,1.2326182627248388,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,primary,validation_person_weighted,1.259722787318588,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,primary,development_evaluation_person_weighted,1.2035818569104415,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,pooled,validation,1.2556023318765435,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,pooled,development_evaluation,1.2326182627248388,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,pooled,validation_person_weighted,1.259722787318588,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,120,120,pooled,development_evaluation_person_weighted,1.2035818569104415,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,primary,validation,1.2556023318765435,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,primary,development_evaluation,1.2326182627248388,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,primary,validation_person_weighted,1.259722787318588,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,primary,development_evaluation_person_weighted,1.2035818569104415,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,pooled,validation,1.2556023318765435,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,pooled,development_evaluation,1.2326182627248388,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,pooled,validation_person_weighted,1.259722787318588,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,E_pca_leace,audit,RAC1P,360,120,pooled,development_evaluation_person_weighted,1.2035818569104415,mlp_1,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,B_rich_bank,transfer,income_binary,,,primary,validation,0.2844201953507116,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,B_rich_bank,transfer,income_binary,,,primary,development_evaluation,0.2793987785720774,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,B_rich_bank,transfer,income_binary,,,primary,validation_person_weighted,0.2717356455656802,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
0,B_rich_bank,transfer,income_binary,,,primary,development_evaluation_person_weighted,0.2885695261869439,mlp,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,False,not established
