seed,condition,interface,family,beta,reused,training_record,training_record_sha256,loaded_base_epochs,loaded_observer_warmup_epochs,new_source_epochs,new_observer_passes,final_inherited_source_exposure_per_row,final_observer_exposure_per_row,forward_parameters,counts,source_valid_label_exposures,observer_valid_label_exposures,selected_epoch,new_warmup_epochs,new_continuation_optimizer_steps,new_observer_optimizer_steps
1,F_J_b0p025,F,J,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_J_b0p025/training.json,d1b924600c752faaa66010397d804ab5acd6e954c9ed2231d9a95e330ad4570c,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,F_Iplus_b0p05,F,Iplus,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_Iplus_b0p05/training.json,9c9d651827955a201d626704d54b6f795f83eb90568821b9484b267a9dae7730,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,F_J_b0p05,F,J,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_J_b0p05/training.json,25933f2f0bbad82346acfd796b495b293c6d6cadc85684799cc5a0467de915c9,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,F_Iplus_b0p1,F,Iplus,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,0,0
1,F_J_b0p1,F,J,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,0,0
1,F_Iplus_b0p2,F,Iplus,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_Iplus_b0p2/training.json,c2240f38f041331be775b147586ee2792b060ab29d9289092301277eb3b93ed3,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,F_J_b0p2,F,J,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/F_J_b0p2/training.json,0bda2805699eeb5c5d65753fc72c4e0ce9239fe232f9a13e1a7339304853b4a7,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,P_I,P,I,0.0,True,results/redesign_20260908_acs_coalition_v1/seed_1/training/training.json,4377ed8170fbbb6d2a40948750a6d56a24bd750896c74a72a7723e98311a15bf,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,0,0
1,P_Iplus_b0p025,P,Iplus,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_Iplus_b0p025/training.json,090b40df857617bfb8fdf8d91b93873d44cb00ba5866e12c5eaefac3aeedad26,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
1,P_J_b0p025,P,J,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_1/training/P_J_b0p025/training.json,b115ed2ebe308d0fadbbfbd0d746416608c0b88dbd86bf73d9f57d68738b7f84,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5740,""adversary_optimizer_steps"":10660}","{""income_binary"":1459920,""civilian_at_work"":1459920,""public_coverage"":1459920}","{""A__public_coverage"":2711280,""A__SEX"":2711280,""A__RAC1P"":2711280,""B__income_binary"":2711280,""B__civilian_at_work"":2711280,""B__SEX"":2711280,""B__RAC1P"":2711280,""AB__SEX"":2711280,""AB__RAC1P"":2711280}",80,0,3280,9840
