seed,condition,interface,regime,beta,stage,parameter_group,source_coefficient,individual_coefficient,extra_local_coefficient,coalition_coefficient,source_loss,individual_loss,extra_local_loss,coalition_loss,source_raw_l2,individual_raw_l2,extra_local_raw_l2,coalition_raw_l2,source_individual_raw_dot,source_individual_raw_cosine,source_coalition_raw_dot,source_coalition_raw_cosine,source_extra_local_raw_dot,source_extra_local_raw_cosine,individual_extra_local_raw_dot,individual_extra_local_raw_cosine,extra_local_coalition_raw_dot,extra_local_coalition_raw_cosine,individual_coalition_raw_dot,individual_coalition_raw_cosine,source_applied_l2,individual_applied_l2,extra_local_applied_l2,coalition_applied_l2,source_individual_applied_dot,source_individual_applied_cosine,source_coalition_applied_dot,source_coalition_applied_cosine,source_extra_local_applied_dot,source_extra_local_applied_cosine,individual_extra_local_applied_dot,individual_extra_local_applied_cosine,extra_local_coalition_applied_dot,extra_local_coalition_applied_cosine,individual_coalition_applied_dot,individual_coalition_applied_cosine,combined_protection_l2,objective_l2,training_json_sha256
0,F_J_b0p025,F,J,0.025,fork,A_mapper,1.0,-0.1,0.0,-0.025,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.10149084776639938,0.13422918319702148,0.3122413158416748,0.19352421164512634,0.00040420121513307095,0.029670426358090134,-0.00034462797339074314,-0.01754641265929902,0.00030809827148914337,0.009722367051597154,0.03682047128677368,0.8785207568858204,0.040881261229515076,0.6765479934786138,0.014845098368823528,0.5714797226899728,0.10149084776639938,0.013422917574644089,0.0,0.004838105291128159,-4.042012369609438e-05,-0.02967042960726624,8.615701517555863e-06,0.01754641710468238,0.0,,0.0,,0.0,,3.7112746213097125e-05,0.5714797588923112,0.01666755974292755,0.10254068672657013,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,fork,B_mapper,1.0,-0.1,0.0,-0.025,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.17017880082130432,0.197823166847229,0.3881152868270874,0.1721191108226776,0.0005398899083957076,0.01603698048470438,0.0031122711952775717,0.10625341088163351,0.005645449738949537,0.08547366718455054,0.0374639555811882,0.487950459266738,0.025170661509037018,0.3767947012112586,0.007170339580625296,0.21058793217147506,0.17017880082130432,0.01978231966495514,0.0,0.004302978049963713,-5.398900611908175e-05,-0.016036982607363283,-7.780677697155625e-05,-0.10625340000805421,0.0,,0.0,,0.0,,1.7925849533639848e-05,0.21058789361051464,0.021111784502863884,0.17071303725242615,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,fork,A_heads,1.0,-0.1,0.0,-0.025,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0360996387898922,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0360996387898922,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,fork,B_heads,1.0,-0.1,0.0,-0.025,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.03671559318900108,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03671559318900108,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,fork,all_mappers,1.0,-0.1,0.0,-0.025,0.34904277324676514,0.8265097141265869,1.870192050933838,0.9213253259658813,0.19814445078372955,0.23906376957893372,0.49812453985214233,0.2589915096759796,0.0009440911235287786,0.019930501975795743,0.0027676429599523544,0.05393151521108338,0.005953548476099968,0.06031926522814511,0.07428441941738129,0.6238009511653348,0.06605193018913269,0.5119906718774176,0.022015437483787537,0.3555723890023369,0.19814445078372955,0.02390637807548046,0.0,0.00647478923201561,-9.440913709113374e-05,-0.01993050626651391,-6.919107545400038e-05,-0.05393150393347676,0.0,,0.0,,0.0,,5.503859938471578e-05,0.35557232721245674,0.026898233219981194,0.19914202392101288,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,final,A_mapper,1.0,-0.1,0.0,-0.025,0.32667797803878784,0.9092625379562378,1.9311333894729614,0.92897629737854,0.16317690908908844,0.14129941165447235,0.32227325439453125,0.31776589155197144,-0.0011144161690026522,-0.04833351152767915,0.0005042224656790495,0.009724252124244366,-0.006060753017663956,-0.11525071258020322,0.03240586072206497,0.7116376926095492,0.005633782595396042,0.05501340678916359,-0.00020568253239616752,-0.00458088910367831,0.16317690908908844,0.01412994135171175,0.0,0.00794414896517992,0.00011144162272103131,0.04833351341506759,-1.2605567462742329e-05,-0.009724254562511591,0.0,,0.0,,0.0,,-5.14206931256922e-07,-0.004580893424197677,0.01617826521396637,0.16457855701446533,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,final,B_mapper,1.0,-0.1,0.0,-0.025,0.32667797803878784,0.9092625379562378,1.9311333894729614,0.92897629737854,0.2907055914402008,0.3698582351207733,0.41968098282814026,0.5163633823394775,0.024159278720617294,0.22469597148837553,0.01840050332248211,0.12258035669378674,0.024783190339803696,0.2031348964115852,0.04349726065993309,0.2802252877830754,0.05064244940876961,0.23368991774549683,0.015172865241765976,0.0794468844429394,0.2907055914402008,0.036985818296670914,0.0,0.012909085489809513,-0.0024159280583262444,-0.22469602049670837,-0.0004600125830620527,-0.12258034785025917,0.0,,0.0,,0.0,,3.793216455960646e-05,0.07944689296196786,0.040130533277988434,0.28349313139915466,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,final,A_heads,1.0,-0.1,0.0,-0.025,0.32667797803878784,0.9092625379562378,1.9311333894729614,0.92897629737854,0.04660358279943466,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.04660358279943466,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.04660358279943466,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,final,B_heads,1.0,-0.1,0.0,-0.025,0.32667797803878784,0.9092625379562378,1.9311333894729614,0.92897629737854,0.02450893260538578,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.02450893260538578,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.02450893260538578,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
0,F_J_b0p025,F,J,0.025,final,all_mappers,1.0,-0.1,0.0,-0.025,0.32667797803878784,0.9092625379562378,1.9311333894729614,0.92897629737854,0.3333713710308075,0.39593005180358887,0.5291428565979004,0.6063054800033569,0.02304486371576786,0.17459322062211233,0.018904726952314377,0.09352993109101322,0.01872243732213974,0.10613561644421989,0.07590311765670776,0.3622998967421922,0.05627623200416565,0.17541251698929075,0.014967180788516998,0.06234907923380009,0.3333713710308075,0.03959299996495247,0.0,0.015157639980316162,-0.0023044862318784,-0.17459323303661145,-0.00047261815052479506,-0.09352990809388836,0.0,,0.0,,0.0,,3.7417954445118085e-05,0.06234907931004827,0.043268878012895584,0.32780250906944275,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3
