seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,validation_auroc,validation_coverage_complete
0,transfer,W,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,40,320,0.4835674288214161,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,0,0,0.6239846048764991,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,5,40,0.5341227393186159,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,10,80,0.5210139945204044,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,15,120,0.5197265813937385,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,20,160,0.5169563260654565,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,25,200,0.5162800180534546,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,30,240,0.5139721301154772,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,35,280,0.5143612059495851,False,,
0,transfer,C_init,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,40,320,0.5133582431895602,True,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,0,0,0.6939074674009472,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,5,40,0.6745147456003432,True,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,10,80,0.6750412347791153,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,15,120,0.6759988921363917,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,20,160,0.6793353824752667,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,25,200,0.6805678530141156,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,30,240,0.6856190825601371,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,35,280,0.6905499527327552,False,,
0,transfer,C_init,commute_over20,mlp,mlp,False,False,True,True,False,2048,"[997,1051]",True,40,320,0.6951166123358264,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,0,0,0.6940669491129546,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,5,40,0.378112891114356,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,10,80,0.304568976503032,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,15,120,0.3003486485641689,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,20,160,0.2974395114401615,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,25,200,0.29771190937042,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,30,240,0.29717849474642555,False,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,35,280,0.2969121780098889,True,,
0,transfer,C_init,income_binary,mlp,mlp,False,False,True,False,False,2048,"[1652,396]",True,40,320,0.297724226931808,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,0,0,0.6886084091181859,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,5,40,0.32596361675137364,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,10,80,0.30416842312891007,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,15,120,0.30268851021238374,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,20,160,0.3021903283704363,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,25,200,0.3018480213699085,True,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,30,240,0.30222444783935287,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,35,280,0.3026315738774032,False,,
0,transfer,C_init,civilian_at_work,mlp,mlp,True,True,True,False,False,2048,"[665,1383]",True,40,320,0.3036464145402406,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,0,0,0.6402411622505783,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,5,40,0.5021446873297021,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,10,80,0.487559565066021,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,15,120,0.4818725508153947,True,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,20,160,0.48394101430197983,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,25,200,0.4823556122572711,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,30,240,0.48461822083026157,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,35,280,0.48742773496370995,False,,
0,transfer,C_init,public_coverage,mlp,mlp,True,True,True,False,False,2048,"[1531,517]",True,40,320,0.48795989719754373,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,0,0,0.6948318865113701,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,5,60,0.6644277182903697,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,10,120,0.6600137420769264,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,15,180,0.6591386180509051,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,20,240,0.6582533895197823,True,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,25,300,0.6595177322434802,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,30,360,0.6593789057703987,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,35,420,0.6621956845564086,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,40,480,0.6655045990565208,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,45,540,0.6678073552438054,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,50,600,0.6695129170017265,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,55,660,0.673614789937201,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,60,720,0.6783818182785739,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,65,780,0.6816572506606854,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,70,840,0.6823662645928308,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,75,900,0.6875552759365415,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,80,960,0.693978659404999,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,85,1020,0.6998464063713076,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,90,1080,0.7002858459581168,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,95,1140,0.6995050530613978,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,100,1200,0.7050358654952761,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,105,1260,0.7072697752032114,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,110,1320,0.7180175878126892,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,115,1380,0.71523339202216,False,,
0,audit,C_init,SEX,mlp_0,mlp,False,False,False,False,False,2993,"[1512,1481]",True,120,1440,0.7306184526348275,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,0,0,0.6900829549916521,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,5,60,0.664210256926934,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,10,120,0.6578539518818599,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,15,180,0.6556225557836893,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,20,240,0.6538122088125795,True,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,25,300,0.653955170580448,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,30,360,0.6568834580530856,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,35,420,0.6556492945222667,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,40,480,0.6587261420031363,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,45,540,0.6613863285072628,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,50,600,0.6650049984816495,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,55,660,0.6640366594014214,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,60,720,0.6665045266844852,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,65,780,0.6728738743568081,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,70,840,0.6737780802773189,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,75,900,0.6764371016210008,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,80,960,0.6781321935957473,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,85,1020,0.6826675968914949,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,90,1080,0.6859527360490487,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,95,1140,0.6914683779926097,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,100,1200,0.6942419650756649,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,105,1260,0.6947349063147144,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,110,1320,0.7078591136203549,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,115,1380,0.7064344480605803,False,,
0,audit,C_init,SEX,mlp_1,mlp,True,True,True,False,False,2993,"[1512,1481]",True,120,1440,0.7099513165723411,False,,
0,audit,C_init,SEX,catchup,catchup,False,False,True,True,False,2993,"[1512,1481]",True,0,0,0.6997237446048606,False,0.6391849915783002,True
0,audit,C_init,SEX,catchup,catchup,False,False,True,True,False,2993,"[1512,1481]",True,5,60,0.6697731019948209,False,0.6555828139802014,True
