seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,I,commute_over20,mlp,mlp,True,True,True,True,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1086,123802.0,0.5577454322224197,0.5924953449858847,0.5745954739684535,0.5731507974040504,True,True,,1051,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,validation,0,2434,2434.0,0.8156836461126006,2556,2556.0,0.8955399061032864,0.9404272801972062,0.917434869739479,0.8882834092776574,True,True,,1652,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,validation,1,550,550.0,0.18431635388739948,428,428.0,0.6612149532710281,0.5145454545454545,0.5787321063394683,0.8882834092776574,True,True,,396,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,development_evaluation,0,2439,2439.0,0.817907444668008,2580,2580.0,0.8930232558139535,0.9446494464944649,0.9181111775254035,0.8919137073507015,True,True,,1652,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,development_evaluation,1,543,543.0,0.18209255533199195,402,402.0,0.664179104477612,0.49171270718232046,0.5650793650793651,0.8919137073507015,True,True,,396,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2556,304339.0,0.8986064881595852,0.9495637258816626,0.9233826175917453,0.8920225016214204,True,True,,1652,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,validation_person_weighted,1,550,60383.0,0.17332012973965957,428,44051.0,0.6702458513995142,0.48896212510143583,0.5654288833138633,0.8920225016214204,True,True,,396,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2580,292015.0,0.8879304145335,0.9477803161838618,0.9168797185240192,0.8832637595848736,True,True,,1652,True
0,transfer,I,income_binary,logistic,logistic,False,False,True,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,402,42126.0,0.6608745192992451,0.45966383779678366,0.5422038717719004,0.8832637595848737,True,True,,396,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,validation,0,2434,2434.0,0.8156836461126006,2506,2506.0,0.9002394253790902,0.9268693508627773,0.9133603238866397,0.8923851497721671,True,True,,1652,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,validation,1,550,550.0,0.18431635388739948,478,478.0,0.6276150627615062,0.5454545454545454,0.5836575875486382,0.892385149772167,True,True,,396,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,development_evaluation,0,2439,2439.0,0.817907444668008,2510,2510.0,0.9059760956175299,0.932349323493235,0.9189735300060619,0.8948728345478666,True,True,,1652,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,development_evaluation,1,543,543.0,0.18209255533199195,472,472.0,0.6504237288135594,0.565377532228361,0.6049261083743842,0.8948728345478667,True,True,,396,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2506,298564.0,0.902506665237604,0.9355883711159798,0.9187498188625077,0.8950269288635024,True,True,,1652,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,validation_person_weighted,1,550,60383.0,0.17332012973965957,478,49826.0,0.6276843415084494,0.5179437921269231,0.567558003429847,0.8950269288635024,True,True,,396,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2510,284951.0,0.8988527852157038,0.9362295531389929,0.9171605260990536,0.8873349633234864,True,True,,1652,True
0,transfer,I,income_binary,mlp,mlp,True,True,True,True,False,2048,"[1652,396]",True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,472,49190.0,0.6453344175645457,0.5241224449361027,0.578446736397099,0.8873349633234864,True,True,,396,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,validation,0,981,981.0,0.32875335120643434,723,723.0,0.9488243430152143,0.6992864424057085,0.8051643192488263,0.8663521028345351,True,True,,665,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,validation,1,2003,2003.0,0.6712466487935657,2261,2261.0,0.8695267580716497,0.9815277084373439,0.9221388367729831,0.8663521028345351,True,True,,1383,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,development_evaluation,0,972,972.0,0.32595573440643866,740,740.0,0.9581081081081081,0.7294238683127572,0.8282710280373832,0.8875847101938865,True,True,,665,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,development_evaluation,1,2010,2010.0,0.6740442655935613,2242,2242.0,0.8826940231935771,0.9845771144278607,0.9308560677328316,0.8875847101938865,True,True,,1383,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,validation_person_weighted,0,981,112512.0,0.3229484198742788,723,81391.0,0.9714464744259194,0.7027428185437997,0.8155314770787455,0.8648275267177414,True,True,,665,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,validation_person_weighted,1,2003,235878.0,0.6770515801257212,2261,266999.0,0.8747373585668861,0.9901474491050458,0.9288712746854598,0.8648275267177414,True,True,,1383,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,740,76721.0,0.9736056620742691,0.7415172632874699,0.8418584993378603,0.885619654836662,True,True,,665,True
0,transfer,I,civilian_at_work,logistic,logistic,False,False,True,False,False,2048,"[665,1383]",True,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2242,257420.0,0.8988501281951674,0.9913241676556401,0.942825068710564,0.885619654836662,True,True,,1383,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,validation,0,981,981.0,0.32875335120643434,720,720.0,0.9444444444444444,0.6931702344546381,0.7995296884185773,0.8864590474125712,True,True,,665,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,validation,1,2003,2003.0,0.6712466487935657,2264,2264.0,0.8670494699646644,0.9800299550673989,0.9200843684087181,0.8864590474125713,True,True,,1383,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,development_evaluation,0,972,972.0,0.32595573440643866,745,745.0,0.9530201342281879,0.7304526748971193,0.8270238788584741,0.8990326147042564,True,True,,665,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,development_evaluation,1,2010,2010.0,0.6740442655935613,2237,2237.0,0.8828788556101922,0.9825870646766169,0.9300682834942312,0.8990326147042565,True,True,,1383,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,validation_person_weighted,0,981,112512.0,0.3229484198742788,720,81396.0,0.9637451471816797,0.6972145193401593,0.8090950347587516,0.8837770464865149,True,True,,665,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,validation_person_weighted,1,2003,235878.0,0.6770515801257212,2264,266994.0,0.8724053724053724,0.9874892953136791,0.9263868340253584,0.8837770464865151,True,True,,1383,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,745,77504.0,0.9661436829066887,0.7433438560962535,0.840224867873293,0.8958260823774542,True,True,,665,True
0,transfer,I,civilian_at_work,mlp,mlp,True,True,True,True,False,2048,"[665,1383]",True,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2237,256637.0,0.8992584857210768,0.9887578350263703,0.941886850976647,0.8958260823774542,True,True,,1383,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,validation,0,2275,2275.0,0.7623994638069705,2713,2713.0,0.7954294139329156,0.9485714285714286,0.8652766639935846,0.7005967234458066,True,True,,1531,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,validation,1,709,709.0,0.23760053619302948,271,271.0,0.5682656826568265,0.21720733427362482,0.3142857142857143,0.7005967234458066,True,True,,517,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,development_evaluation,0,2199,2199.0,0.7374245472837022,2709,2709.0,0.7663344407530454,0.9440654843110505,0.8459657701711492,0.708688844401002,True,True,,1531,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,development_evaluation,1,783,783.0,0.2625754527162978,273,273.0,0.5494505494505495,0.19157088122605365,0.2840909090909091,0.708688844401002,True,True,,517,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,validation_person_weighted,0,2275,263229.0,0.7555584259020064,2713,317012.0,0.7870963875184536,0.9479160730770546,0.8600529779867331,0.6881308687571844,True,True,,1531,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,validation_person_weighted,1,709,85161.0,0.24444157409799364,271,31378.0,0.5630696666454204,0.20746585878512463,0.30321180034151657,0.6881308687571843,True,True,,517,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,development_evaluation_person_weighted,0,2199,244261.0,0.7310117585091324,2709,304489.0,0.7586678008072542,0.9457342760407924,0.8419353075170842,0.7068235047953068,True,True,,1531,True
0,transfer,I,public_coverage,logistic,logistic,False,False,True,False,False,2048,"[1531,517]",True,development_evaluation_person_weighted,1,783,89880.0,0.26898824149086764,273,29652.0,0.5529812491568865,0.18243213173119716,0.2743533112471974,0.7068235047953069,True,True,,517,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,validation,0,2275,2275.0,0.7623994638069705,2650,2650.0,0.8026415094339623,0.934945054945055,0.863756345177665,0.7196025976844029,True,True,,1531,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,validation,1,709,709.0,0.23760053619302948,334,334.0,0.5568862275449101,0.2623413258110014,0.3566634707574305,0.719602597684403,True,True,,517,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,development_evaluation,0,2199,2199.0,0.7374245472837022,2614,2614.0,0.7781178270849273,0.9249658935879945,0.8452108871805527,0.7243557242145943,True,True,,1531,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,development_evaluation,1,783,783.0,0.2625754527162978,368,368.0,0.5516304347826086,0.25925925925925924,0.3527367506516073,0.724356014605501,True,True,,517,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,validation_person_weighted,0,2275,263229.0,0.7555584259020064,2650,309589.0,0.7937071407575851,0.9334951696051726,0.857944408171531,0.7085058517964622,True,True,,1531,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,validation_person_weighted,1,709,85161.0,0.24444157409799364,334,38801.0,0.5488260611839901,0.2500557767052994,0.34357303044481374,0.7085058517964623,True,True,,517,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,development_evaluation_person_weighted,0,2199,244261.0,0.7310117585091324,2614,293406.0,0.7687027531815982,0.9233647614641716,0.8389653819185481,0.7251877194114191,True,True,,1531,True
0,transfer,I,public_coverage,mlp,mlp,True,True,True,True,False,2048,"[1531,517]",True,development_evaluation_person_weighted,1,783,89880.0,0.26898824149086764,368,40735.0,0.5404688842518719,0.24494882064975523,0.33711288902499714,0.7251877661906686,True,True,,517,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,validation,0,700,700.0,0.23458445040214476,174,174.0,0.40804597701149425,0.10142857142857142,0.16247139588100687,0.6605938829121842,True,True,,500,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,validation,1,2284,2284.0,0.7654155495978552,2810,2810.0,0.7761565836298933,0.9549036777583187,0.856301531213192,0.6605938829121841,True,True,,1548,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,development_evaluation,0,660,660.0,0.22132796780684105,161,161.0,0.36024844720496896,0.08787878787878788,0.14129110840438489,0.6303591470258137,True,True,,500,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,development_evaluation,1,2322,2322.0,0.778672032193159,2821,2821.0,0.7866004962779156,0.9556416881998278,0.8629204744312658,0.6303591470258137,True,True,,1548,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,validation_person_weighted,0,700,71960.0,0.20655013060076352,174,12978.0,0.3478193866543381,0.06272929405225125,0.10628929336692647,0.6719784822194084,True,True,,500,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,validation_person_weighted,1,2284,276430.0,0.7934498693992365,2810,335412.0,0.7989159600729848,0.9693810367905076,0.8759320216657241,0.6719784822194084,True,True,,1548,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,development_evaluation_person_weighted,0,660,69119.0,0.20685578842464708,161,11168.0,0.37867120343839544,0.06118433426409525,0.10534706739571786,0.6239977616274972,True,True,,500,True
0,transfer,W,same_residence,logistic,logistic,False,False,True,False,False,2048,"[500,1548]",True,development_evaluation_person_weighted,1,2322,265022.0,0.793144211575353,2821,322973.0,0.7990853724614752,0.9738172680003924,0.8778407979659691,0.6239977616274972,True,True,,1548,True
0,transfer,W,same_residence,mlp,mlp,True,True,True,True,False,2048,"[500,1548]",True,validation,0,700,700.0,0.23458445040214476,257,257.0,0.48249027237354086,0.17714285714285713,0.25914315569487983,0.6848114210657994,True,True,,500,True
