source,p,seed,weight,kind,endpoint,value
E,0.75,0,person_weighted,utility_loss,public_coverage,0.5329774634757038
E,0.75,0,person_weighted,utility_loss,commute_over20,0.6896974226359572
E,0.75,0,person_weighted,absolute_recovery,A/public_coverage,0.04903374022505583
E,0.75,0,person_weighted,absolute_recovery,A/commute_over20,0.00912391208949126
E,0.75,0,person_weighted,absolute_recovery,A/SEX,0.020315634171132413
E,0.75,0,person_weighted,absolute_recovery,A/RAC1P,0.05497962628301856
E,0.75,0,person_weighted,absolute_recovery,B/income_binary,0.11220310730888083
E,0.75,0,person_weighted,absolute_recovery,B/civilian_at_work,0.1309013903418782
E,0.75,0,person_weighted,absolute_recovery,B/same_residence,0.002202782313028284
E,0.75,0,person_weighted,absolute_recovery,B/SEX,0.00024811544601921476
E,0.75,0,person_weighted,absolute_recovery,B/RAC1P,0.038952962983740846
E,0.75,0,person_weighted,absolute_recovery,AB/SEX,0.021204222972513953
E,0.75,0,person_weighted,absolute_recovery,AB/RAC1P,0.07283504848710115
E,1.0,0,unweighted,utility_loss,income_binary,0.30572674178469716
E,1.0,0,unweighted,utility_loss,civilian_at_work,0.28356689430144677
E,1.0,0,unweighted,utility_loss,same_residence,0.5073959302622054
E,1.0,0,unweighted,utility_loss,public_coverage,0.5235798535143447
E,1.0,0,unweighted,utility_loss,commute_over20,0.6903134455382539
E,1.0,0,unweighted,absolute_recovery,A/public_coverage,0.05850063810368644
E,1.0,0,unweighted,absolute_recovery,A/commute_over20,0.008102052067082366
E,1.0,0,unweighted,absolute_recovery,A/SEX,0.02614936396439871
E,1.0,0,unweighted,absolute_recovery,A/RAC1P,0.07603238824980796
E,1.0,0,unweighted,absolute_recovery,B/income_binary,0.1149020322216483
E,1.0,0,unweighted,absolute_recovery,B/civilian_at_work,0.1261309185801246
E,1.0,0,unweighted,absolute_recovery,B/same_residence,-0.001705897420858249
E,1.0,0,unweighted,absolute_recovery,B/SEX,0.00038711733673957305
E,1.0,0,unweighted,absolute_recovery,B/RAC1P,0.0327909927859209
E,1.0,0,unweighted,absolute_recovery,AB/SEX,0.02614936396439871
E,1.0,0,unweighted,absolute_recovery,AB/RAC1P,0.08717771698076104
E,1.0,0,person_weighted,utility_loss,income_binary,0.31772372564941576
E,1.0,0,person_weighted,utility_loss,civilian_at_work,0.2673095340303255
E,1.0,0,person_weighted,utility_loss,same_residence,0.49361252819468654
E,1.0,0,person_weighted,utility_loss,public_coverage,0.5329774634757038
E,1.0,0,person_weighted,utility_loss,commute_over20,0.6896974226359572
E,1.0,0,person_weighted,absolute_recovery,A/public_coverage,0.04855316198464432
E,1.0,0,person_weighted,absolute_recovery,A/commute_over20,0.010591558819598945
E,1.0,0,person_weighted,absolute_recovery,A/SEX,0.024475485514204975
E,1.0,0,person_weighted,absolute_recovery,A/RAC1P,0.06407250448751212
E,1.0,0,person_weighted,absolute_recovery,B/income_binary,0.11220310730888083
E,1.0,0,person_weighted,absolute_recovery,B/civilian_at_work,0.1309013903418782
E,1.0,0,person_weighted,absolute_recovery,B/same_residence,0.002202782313028284
E,1.0,0,person_weighted,absolute_recovery,B/SEX,0.00024811544601921476
E,1.0,0,person_weighted,absolute_recovery,B/RAC1P,0.038952962983740846
