seed,condition,weight,scope,kind,endpoint,value
0,A0,unweighted,common_fresh,absolute_recovery,A/RAC1P,0.0829835812446702
0,A0,unweighted,common_fresh,additional_recovery,A/RAC1P,0.06440286381327653
0,A0,unweighted,common_fresh,absolute_recovery,B/income_binary,0.11318382174447267
0,A0,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
0,A0,unweighted,common_fresh,absolute_recovery,B/civilian_at_work,0.12939487326426502
0,A0,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
0,A0,unweighted,common_fresh,absolute_recovery,B/same_residence,0.007410065052168235
0,A0,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
0,A0,unweighted,common_fresh,absolute_recovery,B/SEX,-6.643951747031807e-05
0,A0,unweighted,common_fresh,additional_recovery,B/SEX,0.0
0,A0,unweighted,common_fresh,absolute_recovery,B/RAC1P,0.025258634050528528
0,A0,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
0,A0,unweighted,common_fresh,absolute_recovery,AB/SEX,0.03781766356280636
0,A0,unweighted,common_fresh,additional_recovery,AB/SEX,0.03026817683323535
0,A0,unweighted,common_fresh,absolute_recovery,AB/RAC1P,0.08735597777740844
0,A0,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.050459415750782055
0,A0,unweighted,transport_all,utility_gain_vs_H,same_residence,0.028525142604407527
0,A0,unweighted,transport_all,absolute_recovery,A/public_coverage,0.06899285986488218
0,A0,unweighted,transport_all,additional_recovery,A/public_coverage,0.017776042525065427
0,A0,unweighted,transport_all,absolute_recovery,A/commute_over20,0.00909652301539976
0,A0,unweighted,transport_all,additional_recovery,A/commute_over20,0.002864762618883243
0,A0,unweighted,transport_all,absolute_recovery,A/SEX,0.035341056805079596
0,A0,unweighted,transport_all,additional_recovery,A/SEX,0.025528132941256443
0,A0,unweighted,transport_all,absolute_recovery,A/RAC1P,0.08906119138298285
0,A0,unweighted,transport_all,additional_recovery,A/RAC1P,0.06971650180437883
0,A0,unweighted,transport_all,absolute_recovery,B/income_binary,0.11318382174447267
0,A0,unweighted,transport_all,additional_recovery,B/income_binary,0.0
0,A0,unweighted,transport_all,absolute_recovery,B/civilian_at_work,0.12939487326426502
0,A0,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
0,A0,unweighted,transport_all,absolute_recovery,B/same_residence,0.007410065052168235
0,A0,unweighted,transport_all,additional_recovery,B/same_residence,0.0
0,A0,unweighted,transport_all,absolute_recovery,B/SEX,0.00040107076730033775
0,A0,unweighted,transport_all,additional_recovery,B/SEX,0.0
0,A0,unweighted,transport_all,absolute_recovery,B/RAC1P,0.024997374577194753
0,A0,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
0,A0,unweighted,transport_all,absolute_recovery,AB/SEX,0.03781766356280636
0,A0,unweighted,transport_all,additional_recovery,AB/SEX,0.02564480342798703
0,A0,unweighted,transport_all,absolute_recovery,AB/RAC1P,0.08906119138298285
0,A0,unweighted,transport_all,additional_recovery,AB/RAC1P,0.04993041728086456
0,A0,person_weighted,common_fresh,utility_gain_vs_H,same_residence,0.027639204973753106
0,A0,person_weighted,common_fresh,absolute_recovery,A/public_coverage,0.06686432421826372
0,A0,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.01814005782156569
0,A0,person_weighted,common_fresh,absolute_recovery,A/commute_over20,0.006174171002942042
0,A0,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0018317213497893725
