seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,U_only,74,1.447374568235651e-23,0,2.155249632346502e-11,128
0,U_only,75,1.1978458029998048e-23,0,2.155249632346502e-11,128
0,U_only,76,9.351951947951147e-24,0,2.155249632346502e-11,128
0,U_only,77,9.08805035065812e-25,0,2.155249632346502e-11,128
0,U_only,78,7.015869083614597e-26,0,2.155249632346502e-11,128
0,U_only,79,-6.435399925934082e-24,0,2.155249632346502e-11,128
0,U_only,80,-1.0385032911363877e-23,0,2.155249632346502e-11,128
0,U_only,81,-1.648807007171754e-23,0,2.155249632346502e-11,128
0,U_only,82,-1.7706336207186522e-23,0,2.155249632346502e-11,128
0,U_only,83,-2.5159990915331115e-23,0,2.155249632346502e-11,128
0,U_only,84,-3.2640714482683974e-23,0,2.155249632346502e-11,128
0,U_only,85,-4.5965781497128816e-23,0,2.155249632346502e-11,128
0,U_only,86,-4.731345388413762e-23,0,2.155249632346502e-11,128
0,U_only,87,-5.590759870998753e-23,0,2.155249632346502e-11,128
0,U_only,88,-7.045063254989091e-23,0,2.155249632346502e-11,128
0,U_only,89,-7.876504080148548e-23,0,2.155249632346502e-11,128
0,U_only,90,-7.959551630716916e-23,0,2.155249632346502e-11,128
0,U_only,91,-1.0396276493768793e-22,0,2.155249632346502e-11,128
0,U_only,92,-1.0569479349334919e-22,0,2.155249632346502e-11,128
0,U_only,93,-1.1180316201277401e-22,0,2.155249632346502e-11,128
0,U_only,94,-1.561096867620435e-22,0,2.155249632346502e-11,128
0,U_only,95,-1.6263313861746944e-22,0,2.155249632346502e-11,128
0,U_only,96,-1.8292789332582587e-22,0,2.155249632346502e-11,128
0,U_only,97,-1.8856514560953784e-22,0,2.155249632346502e-11,128
0,U_only,98,-2.7138753223500203e-22,0,2.155249632346502e-11,128
0,U_only,99,-2.7241698633270225e-22,0,2.155249632346502e-11,128
0,U_only,100,-3.31048185621516e-22,0,2.155249632346502e-11,128
0,U_only,101,-3.5487481330589053e-22,0,2.155249632346502e-11,128
0,U_only,102,-4.212319355825119e-22,0,2.155249632346502e-11,128
0,U_only,103,-5.64478443150901e-22,0,2.155249632346502e-11,128
0,U_only,104,-5.727273774047984e-22,0,2.155249632346502e-11,128
0,U_only,105,-7.283212103744548e-22,0,2.155249632346502e-11,128
0,U_only,106,-7.361486935342027e-22,0,2.155249632346502e-11,128
0,U_only,107,-9.539392586436038e-22,0,2.155249632346502e-11,128
0,U_only,108,-1.0951495500531493e-21,0,2.155249632346502e-11,128
0,U_only,109,-2.5685402139467993e-21,0,2.155249632346502e-11,128
0,U_only,110,-3.503196334605896e-21,0,2.155249632346502e-11,128
0,U_only,111,-4.912147242539306e-19,0,2.155249632346502e-11,128
0,U_only,112,-1.0472578384930719e-18,0,2.155249632346502e-11,128
0,U_only,113,-2.3140780246543125e-18,0,2.155249632346502e-11,128
0,U_only,114,-3.939508831852818e-18,0,2.155249632346502e-11,128
0,U_only,115,-4.059063750272908e-18,0,2.155249632346502e-11,128
0,U_only,116,-6.658032501538378e-18,0,2.155249632346502e-11,128
0,U_only,117,-7.327794902832746e-18,0,2.155249632346502e-11,128
0,U_only,118,-8.679253584418688e-18,0,2.155249632346502e-11,128
0,U_only,119,-9.671873735324155e-18,0,2.155249632346502e-11,128
0,U_only,120,-1.2331806845576195e-17,0,2.155249632346502e-11,128
0,U_only,121,-1.2890086433383532e-17,0,2.155249632346502e-11,128
0,U_only,122,-1.369320809481715e-17,0,2.155249632346502e-11,128
0,U_only,123,-1.434708855015304e-17,0,2.155249632346502e-11,128
0,U_only,124,-1.632206792662061e-17,0,2.155249632346502e-11,128
0,U_only,125,-2.282259582733086e-17,0,2.155249632346502e-11,128
0,U_only,126,-2.4147298268307586e-17,0,2.155249632346502e-11,128
0,U_only,127,-2.646030390821823e-17,0,2.155249632346502e-11,128
0,L1,0,0.19648324713197377,1,3.3185201150793455e-11,128
0,L1,1,0.1652745733571412,1,3.3185201150793455e-11,128
0,L1,2,0.06963123307154433,1,3.3185201150793455e-11,128
