seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,70,840,0.673981623262883,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,75,900,0.6765894109142984,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,80,960,0.6783789388942708,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,85,1020,0.6837278982548384,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,90,1080,0.6859149835014097,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,95,1140,0.6890900715975624,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,100,1200,0.6936408000199416,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,105,1260,0.6943782154603296,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,110,1320,0.7063476036464992,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,115,1380,0.7046667130510903,False
0,audit,PCA16,SEX,mlp_1,mlp,True,True,True,True,2993,"[1512,1481]",True,120,1440,0.7126902751871659,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,0,2.1181133641197056,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,5,60,1.289701786133436,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,10,120,1.2279726974965293,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,15,180,1.221820051398217,True
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,20,240,1.2228181485375895,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,25,300,1.2245085964991909,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,30,360,1.2282005278418837,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,35,420,1.2322249925779063,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,40,480,1.2364271483799931,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,45,540,1.239085052788727,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,50,600,1.2423058789990435,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,55,660,1.2463783629416738,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,60,720,1.2501200392122414,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,65,780,1.25409783805521,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,70,840,1.2592540715677214,False
0,audit,PCA16,RAC1P,mlp_0,mlp,True,True,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,75,900,1.2609796206609838,False
