seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fallback_reason
1,transfer,PCA16,income_binary,logistic,logistic,False,False,True,False,2048,"[1658,390]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002702791942283511,,
1,transfer,PCA16,income_binary,mlp,mlp,True,True,True,False,2048,"[1658,390]",True,320,30,240,81920,935db9724668407519c4e9274b01bc4d80435c883f2ee697ceac61625ef78cd1,1250102,1950102,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08250841696280986,,
1,transfer,PCA16,civilian_at_work,logistic,logistic,False,False,True,False,2048,"[671,1377]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.002591166994534433,,
1,transfer,PCA16,civilian_at_work,mlp,mlp,True,True,True,False,2048,"[671,1377]",True,320,25,200,81920,2b7455d8f41f66d1a17b4235928d3b67b61b95887eff8d78dcd345d5a3b32c85,1250103,1950103,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08675354206934571,,
1,transfer,PCA16,public_coverage,logistic,logistic,False,False,True,False,2048,"[1565,483]",True,6,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0022170000011101365,,
1,transfer,PCA16,public_coverage,mlp,mlp,True,True,True,False,2048,"[1565,483]",True,320,20,160,81920,87d87881dbe026aa25ccc5eef35a6fce068c57a74a636ce4f502fead8cc66417,1250104,1950104,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08217041601892561,,
1,audit,PCA16,SEX,logistic,logistic,False,False,True,False,3021,"[1574,1447]",True,3,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.00230020796880126,,
1,audit,PCA16,SEX,mlp_0,mlp,True,True,True,True,3021,"[1574,1447]",True,1440,20,240,362520,e94f68f6595d25dc3a5104427a4adf6a0022af76e022693307da7cab8ac9f196,1260100,1960100,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3532727499259636,,
1,audit,PCA16,SEX,mlp_1,mlp,False,False,False,False,3021,"[1574,1447]",True,1440,15,180,362520,95cca34a33b33bfc1959f98e826b30c07858b16fe1c22be5c4375c1c7dc037e6,1270100,1970100,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3431067909114063,,
1,audit,PCA16,SEX,hist_gb_20,histgb,False,False,False,False,3021,"[1574,1447]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.07860383298248053,,
1,audit,PCA16,SEX,hist_gb_5,histgb,False,False,True,False,3021,"[1574,1447]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.08248941705096513,,
1,audit,PCA16,RAC1P,logistic,logistic,False,False,True,False,3021,"[1694,181,30,0,2,476,11,469,158]",False,63,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.01894020801410079,,
1,audit,PCA16,RAC1P,mlp_0,mlp,False,False,False,False,3021,"[1694,181,30,0,2,476,11,469,158]",False,1440,20,240,362520,2c8adacd53c48fa837ec7788e9c48daf5ff541f625a9b4c5ab351a89263e4472,1260101,1960101,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4151424589799717,,
1,audit,PCA16,RAC1P,mlp_1,mlp,True,True,True,False,3021,"[1694,181,30,0,2,476,11,469,158]",False,1440,20,240,362520,fb50386da6700cf4ef914da1eeecb7741e983ca11039605d135f51bb3063ee87,1270101,1970101,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.41407866694498807,,
1,audit,PCA16,RAC1P,hist_gb_20,histgb,False,False,False,False,3021,"[1694,181,30,0,2,476,11,469,158]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.5991180420387536,,
