left,right,comparison_family,weight,endpoint,estimate,bootstrap_se,critical_value,adjusted_low,adjusted_high,unadjusted_low,unadjusted_high,degenerate,significantly_better,significantly_worse
spectral_riv16_C1,spectral_C1,repair_vs_original,unweighted,recovery/A/RAC1P,-0.005378018949368993,0.0025831766106753063,2.5389043499758426,-0.011936457282968382,0.0011804193842303952,-0.010312608714807528,-0.0002701557065120288,False,False,False
spectral_riv16_C1,spectral_C1,repair_vs_original,unweighted,recovery/AB/RAC1P,-0.003787536328642298,0.0035350711799345003,2.5389043499758426,-0.012762743924852236,0.0051876712675676395,-0.01053749282363292,0.0031730774072846308,False,False,False
spectral_riv16_C1,spectral_C1,repair_vs_original,person_weighted,utility/same_residence,-0.0002877311586798603,0.00152511190024702,2.584365127314758,-0.004229177168931003,0.003653714851571282,-0.0031559827947515036,0.002713461783998032,False,False,False
spectral_riv16_C1,spectral_C1,repair_vs_original,person_weighted,recovery/A/SEX,-0.0018491010482767356,0.0017646292474903518,2.584365127314758,-0.0064095473381304835,0.0027113452415770123,-0.005339522633349843,0.001461192285981932,False,False,False
spectral_riv16_C1,spectral_C1,repair_vs_original,person_weighted,recovery/AB/SEX,0.0005680753211810461,0.0020353990194745654,2.584365127314758,-0.004692138924919672,0.005828289567281765,-0.003424104491598728,0.004428253040915802,False,False,False
spectral_riv16_C1,spectral_C1,repair_vs_original,person_weighted,recovery/A/RAC1P,0.0014229350819080127,0.0029963691022060605,2.584365127314758,-0.00632077673439676,0.009166646898212786,-0.004556548352847269,0.007220875638824106,False,False,False
spectral_riv16_C1,spectral_C1,repair_vs_original,person_weighted,recovery/AB/RAC1P,0.0014055431353109755,0.004017382530810649,2.584365127314758,-0.00897684018039957,0.011787926451021523,-0.006523923961092342,0.009229385107555447,False,False,False
spectral_riv16_C1,J,repair_vs_J,unweighted,utility/same_residence,-0.004061404144093506,0.002979413276360368,2.543857504156199,-0.011640606965145435,0.003517798676958424,-0.010025117596630256,0.0017135069935397252,False,False,False
spectral_riv16_C1,J,repair_vs_J,unweighted,recovery/A/SEX,0.013529341604451666,0.00301485354537395,2.543857504156199,0.0058599837891202215,0.021198699419783112,0.007945093197321186,0.019629815550208627,False,False,True
spectral_riv16_C1,J,repair_vs_J,unweighted,recovery/AB/SEX,0.006555215357433493,0.0027851079006579803,2.543857504156199,-0.0005297022755400274,0.013640132990407013,0.0009456710029385224,0.01201836999006829,False,False,False
spectral_riv16_C1,J,repair_vs_J,unweighted,recovery/A/RAC1P,0.014926729005366807,0.0050115306135719165,2.543857504156199,0.0021781092467233667,0.027675348764010246,0.005273022088441853,0.024781790760498048,False,False,True
spectral_riv16_C1,J,repair_vs_J,unweighted,recovery/AB/RAC1P,0.013632971547471229,0.0038586549143416597,2.543857504156199,0.003817103287674003,0.023448839807268453,0.005868883314827707,0.020921732349243848,False,False,True
spectral_riv16_C1,J,repair_vs_J,person_weighted,utility/same_residence,-0.004959916577894481,0.003293886353198656,2.5403217620064997,-0.013327447762501256,0.003407614606712292,-0.011762650495188553,0.0012409559198718165,False,False,False
spectral_riv16_C1,J,repair_vs_J,person_weighted,recovery/A/SEX,0.015245954622310966,0.003198957971448054,2.5403217620064997,0.007119572071697307,0.023372337172924626,0.0091891594049718,0.021616596367748837,False,False,True
spectral_riv16_C1,J,repair_vs_J,person_weighted,recovery/AB/SEX,0.007681086668759699,0.003149586427859934,2.5403217620064997,-0.00031987627525320583,0.015682049612772603,0.001529419364621942,0.01369692811358216,False,False,False
spectral_riv16_C1,J,repair_vs_J,person_weighted,recovery/A/RAC1P,0.018826246743255982,0.0055149368062591565,2.5403217620064997,0.004816532758225224,0.03283596072828674,0.007955209640371453,0.029723734785402196,False,False,True
spectral_riv16_C1,J,repair_vs_J,person_weighted,recovery/AB/RAC1P,0.013871574209152637,0.004612619236153654,2.5403217620064997,0.002154037183701713,0.025589111234603563,0.004686227341271927,0.022592063753520547,False,False,True
spectral_riv16_C1,spectral_riv16_L1,coordination_local,unweighted,utility/same_residence,0.0039087891435113375,0.0013625856753947058,2.5495010202460957,0.0004348755739198196,0.007382702713102856,0.0012528420744362591,0.006589490220480242,False,False,True
spectral_riv16_C1,spectral_riv16_L1,coordination_local,unweighted,recovery/A/SEX,-0.002536626996443414,0.0015345002322715408,2.5495010202460957,-0.0064488369041875784,0.0013755829113007503,-0.005425992690701036,0.0005063629352394281,False,False,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,unweighted,recovery/AB/SEX,-0.005355687309025248,0.001696652230066167,2.5495010202460957,-0.009681303900581754,-0.0010300707174687417,-0.008663385310026209,-0.0020507071255392384,False,True,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,unweighted,recovery/A/RAC1P,-0.016757697082036154,0.002709753914625598,2.5495010202460957,-0.02366621745198997,-0.00984917671208234,-0.022015520123763555,-0.011636702915472565,False,True,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,unweighted,recovery/AB/RAC1P,-0.015986708221236157,0.0035646024479349175,2.5495010202460957,-0.02507466579901796,-0.006898750643454354,-0.022769568022481944,-0.008916336634775545,False,True,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,person_weighted,utility/same_residence,0.0021324683911460216,0.0015252775553484302,2.531340958713276,-0.0017285291581135157,0.005993465940405559,-0.0009279532630414805,0.0050572766907376965,False,False,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,person_weighted,recovery/A/SEX,-0.0022142989114342835,0.001823665166921895,2.531340958713276,-0.006830617243442361,0.0024020194205737933,-0.005761165710040697,0.0013711835975425432,False,False,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,person_weighted,recovery/AB/SEX,-0.004371250299737024,0.002070160581206798,2.531340958713276,-0.009611532570059474,0.0008690319705854247,-0.008521898063459321,-0.0003273945505639764,False,False,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,person_weighted,recovery/A/RAC1P,-0.011915744004346102,0.0031695137739374494,2.531340958713276,-0.01993886403951986,-0.003892623969172346,-0.018193837159820727,-0.005814701772477826,False,True,False
spectral_riv16_C1,spectral_riv16_L1,coordination_local,person_weighted,recovery/AB/RAC1P,-0.011757119670133449,0.004019789313191351,2.531340958713276,-0.021932577004012625,-0.0015816623362542737,-0.019848787566125955,-0.003924301378209395,False,True,False
spectral_riv16_C1,spectral_riv16_L2,coordination_local,unweighted,utility/same_residence,-0.0010423916182292399,0.0010303085262150604,2.5348121839706335,-0.0036540302237280022,0.0015692469872695223,-0.003053350451210501,0.0009707232071882946,False,False,False
spectral_riv16_C1,spectral_riv16_L2,coordination_local,unweighted,recovery/A/SEX,0.0027266444711181816,0.001363505186637876,2.5348121839706335,-0.0007295850888786592,0.0061828740311150225,6.740485717553836e-05,0.005454849680539407,False,False,False
spectral_riv16_C1,spectral_riv16_L2,coordination_local,unweighted,recovery/AB/SEX,-0.0009597603503898414,0.0015007195263929732,2.5348121839706335,-0.004763802490613389,0.002844281789833706,-0.003859092267451761,0.0019121796379824333,False,False,False
