year,seed,condition,weight,scope,kind,endpoint,value
2017,0,E,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.040740519987282564
2017,0,E,person_weighted,transport_all,residence_gain_vs_H,utility/same_residence,0.01705497347744589
2017,0,A0,unweighted,common_fresh,additional_recovery,A/public_coverage,0.018495696210165502
2017,0,A0,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0013462457088520008
2017,0,A0,unweighted,common_fresh,additional_recovery,A/SEX,0.027791570075508587
2017,0,A0,unweighted,common_fresh,additional_recovery,A/RAC1P,0.06440286381327653
2017,0,A0,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,A0,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,A0,unweighted,common_fresh,additional_recovery,AB/SEX,0.03026817683323535
2017,0,A0,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.050459415750782055
2017,0,A0,unweighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.028525142604407527
2017,0,A0,unweighted,transport_all,additional_recovery,A/public_coverage,0.017776042525065427
2017,0,A0,unweighted,transport_all,additional_recovery,A/commute_over20,0.002864762618883243
2017,0,A0,unweighted,transport_all,additional_recovery,A/SEX,0.025528132941256443
2017,0,A0,unweighted,transport_all,additional_recovery,A/RAC1P,0.06971650180437883
2017,0,A0,unweighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,A0,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,A0,unweighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,A0,unweighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,A0,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,A0,unweighted,transport_all,additional_recovery,AB/SEX,0.02564480342798703
2017,0,A0,unweighted,transport_all,additional_recovery,AB/RAC1P,0.04993041728086456
2017,0,A0,unweighted,transport_all,residence_gain_vs_H,utility/same_residence,0.028525142604407527
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.01814005782156569
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0018317213497893725
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/SEX,0.02618571405621306
2017,0,A0,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.062397170438077465
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,A0,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,A0,person_weighted,common_fresh,additional_recovery,AB/SEX,0.02866361993926836
2017,0,A0,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.049371620375290304
2017,0,A0,person_weighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.027639204973753106
