year,seed,condition,weight,scope,kind,endpoint,value,absolute_recovery,selected_candidate
2017,0,E,unweighted,common_fresh,additional_recovery,A/SEX,0.013553124635192204,0.021102611364763213,wire__mlp_1
2017,0,E,unweighted,common_fresh,additional_recovery,A/RAC1P,0.04048451846834822,0.059065235899741886,wire__mlp_1
2017,0,E,unweighted,common_fresh,additional_recovery,B/income_binary,0.0,0.11318382174447267,wire__mlp_0
2017,0,E,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0,0.12939487326426502,wire__hist_gb_5
2017,0,E,unweighted,common_fresh,additional_recovery,B/same_residence,0.0,0.007410065052168235,wire__mlp_0
2017,0,E,unweighted,common_fresh,additional_recovery,B/SEX,0.0,-6.643951747031807e-05,wire__mlp_0
2017,0,E,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0,0.025258634050528528,wire__mlp_1
2017,0,E,unweighted,common_fresh,additional_recovery,AB/SEX,0.013192193024660792,0.0207416797542318,wire__mlp_0
2017,0,E,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.022168673873115496,0.059065235899741886,inherited_A__wire__mlp_1
2017,0,E,unweighted,common_fresh,utility_gain_vs_H,income_binary,-0.00039584781264601077,0.28654694691878957,
2017,0,E,unweighted,common_fresh,utility_gain_vs_H,civilian_at_work,-0.004379670169994465,0.3019778659871879,
2017,0,E,unweighted,common_fresh,utility_gain_vs_H,same_residence,0.020895143976799035,0.5222718914637,
2017,0,E,unweighted,common_fresh,utility_gain_vs_H,public_coverage,0.0,0.49303362462409717,
2017,0,E,unweighted,common_fresh,utility_gain_vs_H,commute_over20,0.0,0.6908776829664436,
2017,0,E,unweighted,transport_all,additional_recovery,A/public_coverage,0.014614184206313718,0.06583100154613047,catchup
2017,0,E,unweighted,transport_all,additional_recovery,A/commute_over20,0.0014773681142873363,0.007709128510803853,wire__mlp_0
2017,0,E,unweighted,transport_all,additional_recovery,A/SEX,0.01324010219736349,0.023053026061186643,catchup
2017,0,E,unweighted,transport_all,additional_recovery,A/RAC1P,0.0569100446161237,0.07625473419472772,catchup
2017,0,E,unweighted,transport_all,additional_recovery,B/income_binary,0.0,0.11318382174447267,wire__mlp_0
2017,0,E,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0,0.12939487326426502,wire__hist_gb_5
2017,0,E,unweighted,transport_all,additional_recovery,B/same_residence,0.0,0.007410065052168235,wire__mlp_0
2017,0,E,unweighted,transport_all,additional_recovery,B/SEX,0.0,0.00040107076730033775,frozen2018__wire__kernel__0.0001
2017,0,E,unweighted,transport_all,additional_recovery,B/RAC1P,0.0,0.024997374577194753,catchup
2017,0,E,unweighted,transport_all,additional_recovery,AB/SEX,0.016529591154502365,0.028702451289321695,catchup
2017,0,E,unweighted,transport_all,additional_recovery,AB/RAC1P,0.04462943382763984,0.08376020792975813,catchup
2017,0,E,unweighted,transport_all,utility_gain_vs_H,income_binary,-0.00039584781264601077,0.28654694691878957,
2017,0,E,unweighted,transport_all,utility_gain_vs_H,civilian_at_work,-0.004379670169994465,0.3019778659871879,
2017,0,E,unweighted,transport_all,utility_gain_vs_H,same_residence,0.020895143976799035,0.5222718914637,
2017,0,E,unweighted,transport_all,utility_gain_vs_H,public_coverage,0.0,0.49303362462409717,
2017,0,E,unweighted,transport_all,utility_gain_vs_H,commute_over20,0.0,0.6908776829664436,
2017,0,E,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.016140364804997587,0.06486463120169561,wire__mlp_0
2017,0,E,person_weighted,common_fresh,additional_recovery,A/commute_over20,7.091460305119757e-05,0.004413364256203867,wire__mlp_0
2017,0,E,person_weighted,common_fresh,additional_recovery,A/SEX,0.012594453856391907,0.018874494888082793,wire__mlp_1
2017,0,E,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.03467824149056642,0.05514175164623181,wire__mlp_1
2017,0,E,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0,0.10587971082207881,wire__mlp_0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0,0.1265659938103304,wire__hist_gb_5
2017,0,E,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0,0.01001874337995945,wire__mlp_0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/SEX,0.0,-0.0004106134712759113,wire__mlp_0
2017,0,E,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0,0.024745359786336074,wire__mlp_1
2017,0,E,person_weighted,common_fresh,additional_recovery,AB/SEX,0.012378910607597216,0.0186589516392881,wire__mlp_0
2017,0,E,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.018811365269709057,0.05514175164623181,inherited_A__wire__mlp_1
2017,0,E,person_weighted,common_fresh,utility_gain_vs_H,income_binary,-0.0001544780796273182,0.2821325976226973,
2017,0,E,person_weighted,common_fresh,utility_gain_vs_H,civilian_at_work,-0.005517659374401296,0.30205722084404796,
2017,0,E,person_weighted,common_fresh,utility_gain_vs_H,same_residence,0.01705497347744589,0.5056074659026049,
2017,0,E,person_weighted,common_fresh,utility_gain_vs_H,public_coverage,0.0,0.5010399670950519,
2017,0,E,person_weighted,common_fresh,utility_gain_vs_H,commute_over20,0.0,0.692762840032161,
2017,0,E,person_weighted,transport_all,additional_recovery,A/public_coverage,0.010766522159753822,0.06004968884156503,catchup
2017,0,E,person_weighted,transport_all,additional_recovery,A/commute_over20,0.002805133733727705,0.004413364256203867,wire__mlp_0
2017,0,E,person_weighted,transport_all,additional_recovery,A/SEX,0.013998050537085693,0.02197142970454924,catchup
2017,0,E,person_weighted,transport_all,additional_recovery,A/RAC1P,0.053665063170343696,0.07500178889284226,catchup
2017,0,E,person_weighted,transport_all,additional_recovery,B/income_binary,0.0,0.10587971082207881,wire__mlp_0
2017,0,E,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0,0.1265659938103304,wire__hist_gb_5
2017,0,E,person_weighted,transport_all,additional_recovery,B/same_residence,0.0,0.01001874337995945,wire__mlp_0
2017,0,E,person_weighted,transport_all,additional_recovery,B/SEX,0.0,-0.0002929064998229425,frozen2018__wire__kernel__0.0001
