seed,condition,weight,endpoint,recovery_budget_120,recovery_budget_360,catchup_gain
0,optnet16_L1,unweighted,A/RAC1P,0.03936978161796478,0.03936978161796478,0.0
0,optnet16_L1,unweighted,AB/RAC1P,0.05269386386150665,0.05269386386150665,0.0
0,optnet16_L1,person_weighted,A/SEX,0.009746931259353553,0.009746931259353553,0.0
0,optnet16_L1,person_weighted,AB/SEX,0.01459001792196224,0.01459001792196224,0.0
0,optnet16_L1,person_weighted,A/RAC1P,0.037641597907099866,0.037641597907099866,0.0
0,optnet16_L1,person_weighted,AB/RAC1P,0.04913075994141303,0.04913075994141303,0.0
0,optnet16_L2,unweighted,A/SEX,0.005451467466424886,0.005451467466424886,0.0
0,optnet16_L2,unweighted,AB/SEX,0.005814473685782695,0.005814473685782695,0.0
0,optnet16_L2,unweighted,A/RAC1P,0.019925027051727717,0.019925027051727717,0.0
0,optnet16_L2,unweighted,AB/RAC1P,0.042216175310847204,0.042216175310847204,0.0
0,optnet16_L2,person_weighted,A/SEX,0.007692198302142295,0.007692198302142295,0.0
0,optnet16_L2,person_weighted,AB/SEX,0.007162090314760006,0.007162090314760006,0.0
0,optnet16_L2,person_weighted,A/RAC1P,0.018501411356532715,0.018501411356532715,0.0
0,optnet16_L2,person_weighted,AB/RAC1P,0.03844206187308097,0.03844206187308097,0.0
0,optnet16_C1,unweighted,A/SEX,0.005593968880383882,0.005593968880383882,0.0
0,optnet16_C1,unweighted,AB/SEX,0.003928654563258083,0.003928654563258083,0.0
0,optnet16_C1,unweighted,A/RAC1P,0.02025387172513282,0.02025387172513282,0.0
0,optnet16_C1,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,optnet16_C1,person_weighted,A/SEX,0.007895146854392854,0.007895146854392854,0.0
0,optnet16_C1,person_weighted,AB/SEX,0.005747372305286214,0.005747372305286214,0.0
0,optnet16_C1,person_weighted,A/RAC1P,0.01679844933163488,0.01679844933163488,0.0
0,optnet16_C1,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,dax16_L1_b010,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L1_b010,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L1_b010,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,dax16_L1_b010,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,dax16_L1_b010,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L1_b010,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L1_b010,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,dax16_L1_b010,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,dax16_L1_b030,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L1_b030,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L1_b030,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,dax16_L1_b030,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,dax16_L1_b030,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L1_b030,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L1_b030,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,dax16_L1_b030,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,dax16_L1_b100,unweighted,A/SEX,0.010269627157805217,0.010269627157805217,0.0
0,dax16_L1_b100,unweighted,AB/SEX,0.017449380707433848,0.017449380707433848,0.0
0,dax16_L1_b100,unweighted,A/RAC1P,0.018275394134995127,0.018275394134995127,0.0
0,dax16_L1_b100,unweighted,AB/RAC1P,0.03999977218151152,0.03999977218151152,0.0
0,dax16_L1_b100,person_weighted,A/SEX,0.01740805846921112,0.01740805846921112,0.0
0,dax16_L1_b100,person_weighted,AB/SEX,0.02140670813353107,0.02140670813353107,0.0
0,dax16_L1_b100,person_weighted,A/RAC1P,0.022998898773155307,0.022998898773155307,0.0
0,dax16_L1_b100,person_weighted,AB/RAC1P,0.04468590489667901,0.04468590489667901,0.0
0,dax16_L1_b300,unweighted,A/SEX,0.01160175443702749,0.01160175443702749,0.0
0,dax16_L1_b300,unweighted,AB/SEX,0.013752297150569248,0.013752297150569248,0.0
0,dax16_L1_b300,unweighted,A/RAC1P,0.03678449092846425,0.03678449092846425,0.0
0,dax16_L1_b300,unweighted,AB/RAC1P,0.04832187909661867,0.04832187909661867,0.0
0,dax16_L1_b300,person_weighted,A/SEX,0.011847275598620421,0.011847275598620421,0.0
0,dax16_L1_b300,person_weighted,AB/SEX,0.01551638605695993,0.01551638605695993,0.0
0,dax16_L1_b300,person_weighted,A/RAC1P,0.040755699934810874,0.040755699934810874,0.0
0,dax16_L1_b300,person_weighted,AB/RAC1P,0.053191183292872646,0.053191183292872646,0.0
0,dax16_L2_b010,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L2_b010,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L2_b010,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,dax16_L2_b010,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,dax16_L2_b010,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L2_b010,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L2_b010,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,dax16_L2_b010,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,dax16_L2_b030,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L2_b030,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_L2_b030,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,dax16_L2_b030,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,dax16_L2_b030,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L2_b030,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_L2_b030,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,dax16_L2_b030,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,dax16_L2_b100,unweighted,A/SEX,0.013309319275511378,0.013309319275511378,0.0
0,dax16_L2_b100,unweighted,AB/SEX,0.013309319275511378,0.013309319275511378,0.0
0,dax16_L2_b100,unweighted,A/RAC1P,0.0450520141498707,0.0450520141498707,0.0
0,dax16_L2_b100,unweighted,AB/RAC1P,0.057864878216999704,0.057864878216999704,0.0
0,dax16_L2_b100,person_weighted,A/SEX,0.020182134133433838,0.020182134133433838,0.0
0,dax16_L2_b100,person_weighted,AB/SEX,0.020182134133433838,0.020182134133433838,0.0
0,dax16_L2_b100,person_weighted,A/RAC1P,0.043484402439937675,0.043484402439937675,0.0
0,dax16_L2_b100,person_weighted,AB/RAC1P,0.05857425065616151,0.05857425065616151,0.0
0,dax16_L2_b300,unweighted,A/SEX,0.011932580037188334,0.011932580037188334,0.0
0,dax16_L2_b300,unweighted,AB/SEX,0.020348343812742975,0.020348343812742975,0.0
0,dax16_L2_b300,unweighted,A/RAC1P,0.03022490567761471,0.03022490567761471,0.0
0,dax16_L2_b300,unweighted,AB/RAC1P,0.05332071867878341,0.05332071867878341,0.0
0,dax16_L2_b300,person_weighted,A/SEX,0.016846635055373538,0.016846635055373538,0.0
0,dax16_L2_b300,person_weighted,AB/SEX,0.023784615998850955,0.023784615998850955,0.0
0,dax16_L2_b300,person_weighted,A/RAC1P,0.030712057368812884,0.030712057368812884,0.0
0,dax16_L2_b300,person_weighted,AB/RAC1P,0.05244409741454659,0.05244409741454659,0.0
0,dax16_C1_b010,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_C1_b010,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_C1_b010,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,dax16_C1_b010,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,dax16_C1_b010,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_C1_b010,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_C1_b010,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,dax16_C1_b010,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,dax16_C1_b030,unweighted,A/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_C1_b030,unweighted,AB/SEX,0.03788864977694284,0.03788864977694284,0.0
0,dax16_C1_b030,unweighted,A/RAC1P,0.07448182730967678,0.07448182730967678,0.0
0,dax16_C1_b030,unweighted,AB/RAC1P,0.07587741389045788,0.07587741389045788,0.0
0,dax16_C1_b030,person_weighted,A/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_C1_b030,person_weighted,AB/SEX,0.040952200387776694,0.040952200387776694,0.0
0,dax16_C1_b030,person_weighted,A/RAC1P,0.06889020721397987,0.06889020721397987,0.0
0,dax16_C1_b030,person_weighted,AB/RAC1P,0.0685784752818297,0.0685784752818297,0.0
0,dax16_C1_b100,unweighted,A/SEX,0.010274704014879732,0.010274704014879732,0.0
0,dax16_C1_b100,unweighted,AB/SEX,0.010274704014879732,0.010274704014879732,0.0
0,dax16_C1_b100,unweighted,A/RAC1P,0.04788148949547755,0.04788148949547755,0.0
0,dax16_C1_b100,unweighted,AB/RAC1P,0.0578338192158554,0.0578338192158554,0.0
0,dax16_C1_b100,person_weighted,A/SEX,0.013076418255088873,0.013076418255088873,0.0
0,dax16_C1_b100,person_weighted,AB/SEX,0.013076418255088873,0.013076418255088873,0.0
0,dax16_C1_b100,person_weighted,A/RAC1P,0.04592109623244456,0.04592109623244456,0.0
0,dax16_C1_b100,person_weighted,AB/RAC1P,0.05571339947029785,0.05571339947029785,0.0
0,dax16_C1_b300,unweighted,A/SEX,0.02357262808093219,0.02357262808093219,0.0
0,dax16_C1_b300,unweighted,AB/SEX,0.0224131095024227,0.0224131095024227,0.0
0,dax16_C1_b300,unweighted,A/RAC1P,0.03975413979745612,0.03975413979745612,0.0
0,dax16_C1_b300,unweighted,AB/RAC1P,0.053534004171941874,0.053534004171941874,0.0
0,dax16_C1_b300,person_weighted,A/SEX,0.02400446396214173,0.02400446396214173,0.0
0,dax16_C1_b300,person_weighted,AB/SEX,0.027215151655400116,0.027215151655400116,0.0
0,dax16_C1_b300,person_weighted,A/RAC1P,0.04200036688862174,0.04200036688862174,0.0
0,dax16_C1_b300,person_weighted,AB/RAC1P,0.057503494435686475,0.057503494435686475,0.0
0,dax8_L1_b010,unweighted,A/SEX,0.03417008030214963,0.03417008030214963,0.0
0,dax8_L1_b010,unweighted,AB/SEX,0.03147958318545585,0.03147958318545585,0.0
0,dax8_L1_b010,unweighted,A/RAC1P,0.06675981364833716,0.06675981364833716,0.0
0,dax8_L1_b010,unweighted,AB/RAC1P,0.07208986717569488,0.07208986717569488,0.0
0,dax8_L1_b010,person_weighted,A/SEX,0.03749110566671898,0.03749110566671898,0.0
0,dax8_L1_b010,person_weighted,AB/SEX,0.035701764704784145,0.035701764704784145,0.0
0,dax8_L1_b010,person_weighted,A/RAC1P,0.057809521564137656,0.057809521564137656,0.0
0,dax8_L1_b010,person_weighted,AB/RAC1P,0.06944704693618897,0.06944704693618897,0.0
0,dax8_L1_b030,unweighted,A/SEX,0.03417008030214963,0.03417008030214963,0.0
0,dax8_L1_b030,unweighted,AB/SEX,0.03147958318545585,0.03147958318545585,0.0
0,dax8_L1_b030,unweighted,A/RAC1P,0.06675981364833716,0.06675981364833716,0.0
