left,right,family,weight,endpoint,seed,estimate,sign
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,0,-0.008330289878442088,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,1,-0.008632231571739646,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/SEX,2,-0.0013388408965951948,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,0,0.02292219745928925,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,1,-0.020852820445444786,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/A/RAC1P,2,-0.044922773463288435,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,0,0.011027494573618846,1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,1,-0.02850385119468868,-1
dax16_C1_b100,dax16_L1_b100,coalition_vs_local,person_weighted,recovery/AB/RAC1P,2,-0.036530898771834464,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,utility/same_residence,0,0.003961171368683569,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,utility/same_residence,1,4.5232568853692534e-05,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,utility/same_residence,2,0.006364120213985969,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/A/SEX,0,-0.0030346152606316457,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/A/SEX,1,-0.00219443284912213,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/A/SEX,2,-0.003335767260077338,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/AB/SEX,0,-0.0030346152606316457,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/AB/SEX,1,-0.003772266841484573,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/AB/SEX,2,-0.0038878752795687976,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,0,0.0028294753456068467,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,1,0.007015327476495692,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/A/RAC1P,2,-0.01603809953449775,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,0,-3.105900114430682e-05,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,1,-0.0012172893611925861,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,unweighted,recovery/AB/RAC1P,2,-0.014322641782224421,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,utility/same_residence,0,0.006800440755120929,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,utility/same_residence,1,-0.00011547236047959597,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,utility/same_residence,2,0.006105979973295705,1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/A/SEX,0,-0.007105715878344965,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/A/SEX,1,-0.00459086744662629,-1
dax16_C1_b100,dax16_L2_b100,coalition_vs_local,person_weighted,recovery/A/SEX,2,-0.0012933472178764394,-1
