seed,condition,ambient_width,numerical_rank_1e-10,effective_rank_entropy,components_for_99pct,top_singular_share,per_coordinate_std_mean
1,dax16_L1_b300,16,16,2.057318369403133,9,0.8310506535042458,1.5996140119961684
1,dax16_L2_b010,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L2_b030,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L2_b100,16,16,2.079411280787462,9,0.8283882371967493,1.602353609194559
1,dax16_L2_b300,16,16,2.0388157299912657,9,0.8338255944179908,1.594484171023581
1,dax16_C1_b010,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_C1_b030,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_C1_b100,16,16,2.0856507517752223,10,0.8278661335830829,1.6015284466321296
1,dax16_C1_b300,16,16,2.0611394291896237,10,0.8316694205701808,1.590596911926615
1,dax8_L1_b010,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_L1_b030,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_L1_b100,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_L1_b300,8,8,1.8738420419120763,6,0.8446269683123097,1.5224008509780496
1,dax8_L2_b010,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_L2_b030,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_L2_b100,8,8,1.8896808388553763,6,0.8423940575730483,1.5268448027429733
1,dax8_L2_b300,8,8,1.8521101799417912,6,0.8483969148280581,1.5191966136852728
1,dax8_C1_b010,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_C1_b030,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax8_C1_b100,8,8,1.8891670092919428,6,0.8422481844803216,1.5278678516413997
1,dax8_C1_b300,8,8,1.8622057675720378,6,0.8466718277975255,1.5228769688418764
1,dax16_none,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax8_none,8,8,1.9721002728722907,7,0.8296941061037048,1.565149749526164
1,dax16_L2_b030_single,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L2_b100_single,16,16,2.0912683488749515,10,0.8269835167429439,1.6014386736547075
1,dax16_C1_b030_single,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_C1_b100_single,16,16,2.0980392294938435,10,0.8265679361478078,1.602291798753964
1,dax16_L2_b030_r1,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L2_b030_r2,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_L2_b100_r1,16,16,2.0951584347692638,10,0.8264413365628537,1.6037891359343068
1,dax16_L2_b100_r2,16,16,2.085075420603072,10,0.8276507043902392,1.6012524232206125
1,dax16_C1_b030_r1,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_C1_b030_r2,16,16,2.1918951870081886,10,0.8158813589062726,1.6142699445764097
1,dax16_C1_b100_r1,16,16,2.095092024760589,10,0.8269064052656674,1.6040271025228148
1,dax16_C1_b100_r2,16,16,2.090880198227161,9,0.8269090314445519,1.6033299134294579
1,leace_dax16_none,16,6,2.053519270758697,5,0.7978487379515934,0.7885231994513908
1,splince_dax16_none,16,6,1.3441571592540413,2,0.9225280569559533,3.132393911564332
1,leace_dax8_none,8,0,1.0,1,1.0,1.1492511388687917e-21
2,dax16_L1_b010,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L1_b030,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L1_b100,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L1_b300,16,16,2.6160954968659316,11,0.7438180221962654,1.46095209922807
2,dax16_L2_b010,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L2_b030,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_L2_b100,16,16,2.6269672921239584,11,0.7427597424880154,1.4608607206572723
2,dax16_L2_b300,16,16,2.251338502295177,9,0.7712946444906577,1.4232952324280208
2,dax16_C1_b010,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_C1_b030,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
2,dax16_C1_b100,16,16,2.5458515336001994,10,0.7426750425806136,1.452472865212984
2,dax16_C1_b300,16,16,2.5111371415850283,10,0.7447465499084082,1.4468281456674168
2,dax8_L1_b010,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax8_L1_b030,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax8_L1_b100,8,8,2.324384436905694,7,0.7586143011322343,1.4599471319584207
2,dax8_L1_b300,8,8,2.24045381422277,6,0.7604073176689747,1.4280565364896396
2,dax8_L2_b010,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax8_L2_b030,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax8_L2_b100,8,8,2.3049918393465094,7,0.7601875805551916,1.4499612054897344
2,dax8_L2_b300,8,8,2.1880496213234593,6,0.7658769429334895,1.4079360906259617
2,dax8_C1_b010,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax8_C1_b030,8,8,2.400140942097922,7,0.748304645676734,1.4812262271380123
2,dax8_C1_b100,8,8,2.3119851180177458,7,0.759375453498202,1.4545006886156477
2,dax8_C1_b300,8,8,2.1847749100164164,6,0.7692631618213058,1.4110813787477152
2,dax16_none,16,16,2.7433521629482893,11,0.7311675425684904,1.4689396632434275
