seed,arm,weight,teacher_distortion,source_cross_entropy,monitor_penalty,residence_gain_vs_H,income_loss,employment_loss,commute_gain_vs_H
2,dax16_C1_b030,person_weighted,0.0,0.24545976519584656,0.07399921119213104,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_C1_b030_single,unweighted,0.0,0.24545976519584656,0.07180781662464142,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_C1_b030_single,person_weighted,0.0,0.24545976519584656,0.07180781662464142,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_C1_b100,unweighted,0.025814948603510857,0.26094740629196167,0.0229528546333313,0.028009675720169658,0.2988793821517235,0.2820008769815045,0.0
2,dax16_C1_b100,person_weighted,0.025814948603510857,0.26094740629196167,0.0229528546333313,0.02527772624891711,0.31255715649688837,0.27982577454242374,0.0
2,dax16_C1_b100_single,unweighted,0.0194451455026865,0.25993961095809937,0.024383675307035446,0.02916237903856911,0.2992386757943962,0.28189938330063846,0.0
2,dax16_C1_b100_single,person_weighted,0.0194451455026865,0.25993961095809937,0.024383675307035446,0.026471678064284854,0.3127381731842428,0.2795695497948818,0.0
2,dax16_C1_b300,unweighted,0.05122717097401619,0.26455235481262207,0.027533430606126785,0.02939418166188612,0.30085900348241834,0.2806442861136258,0.0
2,dax16_C1_b300,person_weighted,0.05122717097401619,0.26455235481262207,0.027533430606126785,0.02625552737834691,0.31429314639297723,0.2789939946513994,0.0
2,dax16_L1_b010,unweighted,0.0,0.24545976519584656,0.036537300795316696,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_L1_b010,person_weighted,0.0,0.24545976519584656,0.036537300795316696,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_L1_b030,unweighted,0.0,0.24545976519584656,0.036537300795316696,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_L1_b030,person_weighted,0.0,0.24545976519584656,0.036537300795316696,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_L1_b100,unweighted,0.0,0.24545976519584656,0.036537300795316696,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_L1_b100,person_weighted,0.0,0.24545976519584656,0.036537300795316696,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_L1_b300,unweighted,0.02988378331065178,0.255115270614624,0.016747891902923584,0.03490987398904338,0.3015499555976982,0.28192530333402543,0.0
2,dax16_L1_b300,person_weighted,0.02988378331065178,0.255115270614624,0.016747891902923584,0.032181159059369246,0.3154109211544823,0.2795243628191342,0.0
2,dax16_L2_b010,unweighted,0.0,0.24545976519584656,0.07307460159063339,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_L2_b010,person_weighted,0.0,0.24545976519584656,0.07307460159063339,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_L2_b030,unweighted,0.0,0.24545976519584656,0.07307460159063339,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_L2_b030,person_weighted,0.0,0.24545976519584656,0.07307460159063339,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
2,dax16_L2_b030_single,unweighted,0.0,0.24545976519584656,0.07112237066030502,0.03658678982101676,0.29966933421669056,0.28117454214743326,0.0
2,dax16_L2_b030_single,person_weighted,0.0,0.24545976519584656,0.07112237066030502,0.03275263661294853,0.3133104662574193,0.27852238281343217,0.0
