seed,condition,role,stress_candidate,stress_epochs,stress_validation_log_loss,default_validation_log_loss,validation_improvement,stress_test_log_loss,stress_test_log_loss_person_weighted
0,dax16_L2_b030,A/RAC1P,stress30000__nested120__mlp_1,360,1.215205593005137,1.2207571378335134,0.005551544828376276,1.2069331490322552,1.1902568136761424
0,dax16_L2_b030,AB/SEX,stress20000__nested120__mlp_0,360,0.6571488623528265,0.6554532346002461,-0.0016956277525804753,0.6563473973601919,0.651741063840111
0,dax16_L2_b030,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2117523909190346,1.2149775317154157,0.003225140796381032,1.2026749974122966,1.1835036336819922
0,dax16_L2_b100,A/SEX,stress30000__nested120__mlp_1,360,0.6743824491864301,0.6742305219514219,-0.00015192723500823124,0.678803589523633,0.6730521580581107
0,dax16_L2_b100,A/RAC1P,stress30000__nested120__mlp_1,360,1.2495906453303975,1.2514171088447956,0.00182646351439808,1.2441909100272355,1.223082207237044
0,dax16_L2_b100,AB/SEX,stress20000__nested120__mlp_0,360,0.672004540065137,0.6742305219514219,0.002225981886284867,0.6770757772431925,0.6735375055066448
0,dax16_L2_b100,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2326467795450706,1.231695396752685,-0.0009513827923857132,1.224777297109959,1.1993016963984322
0,leace_A0,A/SEX,stress20000__nested120__mlp_1,360,0.6800105253989508,0.6805460754224315,0.0005355500234807131,0.6820172494326467,0.6819656812083701
0,leace_A0,A/RAC1P,stress30000__nested120__mlp_1,360,1.2739187692414535,1.2532404536295165,-0.020678315611937004,1.2653872634535372,1.2343499058071228
0,leace_A0,AB/SEX,stress30000__nested120__mlp_1,360,0.6811397273550928,0.6805460754224315,-0.0005936519326612544,0.6830375270020367,0.6837589781261376
0,leace_A0,AB/RAC1P,stress30000__nested120__mlp_1,360,1.2635398105045632,1.231695396752685,-0.0318444137518783,1.2608496944561056,1.2280671324027292
1,J,A/SEX,stress30000__nested120__mlp_1,360,0.6849475950840128,0.6817678051519702,-0.003179789932042598,0.6839961716219634,0.6843948821790714
1,J,A/RAC1P,stress20000__nested120__mlp_1,360,1.2759066326581485,1.2593261137422185,-0.016580518915930043,1.3044112403646522,1.3237339323608706
1,J,AB/SEX,stress20000__nested120__mlp_1,360,0.6859623976206729,0.6772696914593508,-0.008692706161322117,0.6777780247137845,0.6783582452385523
1,J,AB/RAC1P,stress20000__nested120__mlp_1,360,1.259000762419021,1.2485505822277878,-0.010450180191233116,1.292529132275963,1.312486457986312
1,dax16_C1_b030,A/SEX,stress20000__nested120__mlp_0,360,0.6553406562280627,0.6552923916054985,-4.8264622564242465e-05,0.6585674772674225,0.6644521618331484
1,dax16_C1_b030,A/RAC1P,stress20000__nested120__mlp_0,360,1.2325509568873738,1.231749999951466,-0.0008009569359077595,1.2601797336144518,1.2887617292253455
1,dax16_C1_b030,AB/SEX,stress30000__nested120__mlp_1,360,0.6563276141109295,0.6552923916054985,-0.0010352225054310882,0.6565883985609359,0.6616872087993504
1,dax16_C1_b030,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2171571011997122,1.2177702191032338,0.0006131179035215872,1.2402776435043805,1.2675194518448731
1,dax16_C1_b100,A/SEX,stress30000__nested120__mlp_1,360,0.6753927220980583,0.6757643499488009,0.0003716278507425175,0.6742554312137116,0.6794656577308803
1,dax16_C1_b100,A/RAC1P,stress20000__nested120__mlp_1,360,1.2459710758727334,1.2523108589195027,0.006339783046769298,1.27981220361311,1.303406027202758
1,dax16_C1_b100,AB/SEX,stress30000__nested120__mlp_1,360,0.669659000246312,0.6683041481779038,-0.00135485206840813,0.6642768758835037,0.6694934689330163
1,dax16_C1_b100,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2319030582631394,1.2360608794093504,0.004157821146210994,1.2701424911363892,1.296196071161129
1,dax16_L2_b030,A/SEX,stress20000__nested120__mlp_0,360,0.6553406562280627,0.6552923916054985,-4.8264622564242465e-05,0.6585674772674225,0.6644521618331484
1,dax16_L2_b030,A/RAC1P,stress20000__nested120__mlp_0,360,1.2325509568873738,1.231749999951466,-0.0008009569359077595,1.2601797336144518,1.2887617292253455
1,dax16_L2_b030,AB/SEX,stress30000__nested120__mlp_1,360,0.6563276141109295,0.6552923916054985,-0.0010352225054310882,0.6565883985609359,0.6616872087993504
1,dax16_L2_b030,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2171571011997122,1.2177702191032338,0.0006131179035215872,1.2402776435043805,1.2675194518448731
1,dax16_L2_b100,A/SEX,stress30000__nested120__mlp_1,360,0.6726991331917753,0.6741247090052224,0.0014255758134470442,0.6698462586324065,0.6754279816715391
1,dax16_L2_b100,A/RAC1P,stress20000__nested120__mlp_1,360,1.248852829014622,1.2585395268232134,0.009686697808591438,1.283818731379284,1.3051344054935712
1,dax16_L2_b100,AB/SEX,stress30000__nested120__mlp_1,360,0.665895788868127,0.6647654843130493,-0.001130304555077677,0.6631099985034845,0.6678612030338196
1,dax16_L2_b100,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2336399304124497,1.238614592293847,0.00497466188139728,1.2713668114900105,1.296834056393497
1,leace_A0,A/SEX,stress20000__nested120__mlp_1,360,0.686373507774725,0.6817678051519702,-0.004605702622754726,0.6854828041943267,0.6860776082923753
1,leace_A0,A/RAC1P,stress20000__nested120__mlp_1,360,1.265488725487091,1.2667164014345442,0.0012276759474532106,1.284914098255153,1.304998973006475
1,leace_A0,AB/SEX,stress30000__nested120__mlp_1,360,0.6837152233278929,0.6772696914593508,-0.0064455318685421314,0.6853967214373544,0.6846828187981522
1,leace_A0,AB/RAC1P,stress30000__nested120__mlp_1,360,1.2555224104776226,1.2555435021937282,2.1091716105647862e-05,1.28006135460778,1.3025530541529615
2,J,A/SEX,stress20000__nested120__mlp_1,360,0.6840997422418075,0.684198136024558,9.839378275056099e-05,0.6998858002575352,0.6977358690137885
2,J,A/RAC1P,stress20000__nested120__mlp_1,360,1.2748569471726885,1.256042735362247,-0.018814211810441517,1.2504088167369465,1.2512415693961882
2,J,AB/SEX,stress20000__nested120__mlp_1,360,0.680324632839001,0.68019087853323,-0.00013375430577100555,0.6810198888530942,0.6828363280901467
2,J,AB/RAC1P,stress30000__nested120__mlp_1,360,1.2568538659702582,1.2434743663765848,-0.01337949959367335,1.2343877159902916,1.2384533443377057
2,dax16_C1_b030,A/SEX,stress20000__nested120__mlp_0,360,0.6589573169379628,0.6585806484772446,-0.00037666846071815474,0.6666289109832557,0.6683110424302438
2,dax16_C1_b030,A/RAC1P,stress20000__nested120__mlp_1,360,1.2049808596802347,1.2040203359339436,-0.0009605237462910754,1.1894374469146358,1.1894337917107098
2,dax16_C1_b030,AB/SEX,stress30000__nested120__mlp_1,360,0.657469593059359,0.6585806484772446,0.001111055417885587,0.6662704446194931,0.6707320795082252
2,dax16_C1_b030,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2056754879114595,1.2040203359339436,-0.0016551519775158674,1.1892182351421277,1.184768828137776
2,dax16_C1_b100,A/SEX,stress20000__nested120__mlp_1,360,0.667921929368765,0.6685219010378846,0.0005999716691195145,0.6772745573850003,0.6792274312766994
2,dax16_C1_b100,A/RAC1P,stress20000__nested120__mlp_1,360,1.2544213323123394,1.25592978676544,0.0015084544531005495,1.23277708471407,1.2306109687929119
2,dax16_C1_b100,AB/SEX,stress30000__nested120__mlp_1,360,0.6651692296279625,0.6660568381868589,0.0008876085588963578,0.6768292546998436,0.6780000016430753
2,dax16_C1_b100,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2480684111262337,1.249083826610512,0.0010154154842783036,1.2222504307004631,1.221750068637592
2,dax16_L2_b030,A/SEX,stress20000__nested120__mlp_0,360,0.6589573169379628,0.6585806484772446,-0.00037666846071815474,0.6666289109832557,0.6683110424302438
2,dax16_L2_b030,A/RAC1P,stress20000__nested120__mlp_1,360,1.2049808596802347,1.2040203359339436,-0.0009605237462910754,1.1894374469146358,1.1894337917107098
2,dax16_L2_b030,AB/SEX,stress30000__nested120__mlp_1,360,0.657469593059359,0.6585806484772446,0.001111055417885587,0.6662704446194931,0.6707320795082252
2,dax16_L2_b030,AB/RAC1P,stress20000__nested120__mlp_0,360,1.2056754879114595,1.2040203359339436,-0.0016551519775158674,1.1892182351421277,1.184768828137776
2,dax16_L2_b100,A/SEX,stress20000__nested120__mlp_0,360,0.6687780431484048,0.670895203364701,0.0021171602162961545,0.6743269353471548,0.6754033320526595
2,dax16_L2_b100,A/RAC1P,stress20000__nested120__mlp_1,360,1.2454435091308143,1.2486091653938802,0.0031656562630659746,1.2247445096287548,1.222235616456
2,dax16_L2_b100,AB/SEX,stress20000__nested120__mlp_0,360,0.6649798676458589,0.6659648419298818,0.0009849742840228881,0.6697127313790469,0.6718789734512368
2,dax16_L2_b100,AB/RAC1P,stress30000__nested120__mlp_1,360,1.237248534198753,1.2379813956279302,0.0007328614291772784,1.2105160842956006,1.2093156019425584
2,leace_A0,A/SEX,stress20000__nested120__mlp_1,360,0.686915774569382,0.6868184044726706,-9.737009671140218e-05,0.6926161133699222,0.6957565220505741
2,leace_A0,A/RAC1P,stress30000__nested120__mlp_1,360,1.24549894478556,1.247318554225186,0.001819609439625891,1.2330654435002733,1.2352765496141414
2,leace_A0,AB/SEX,stress20000__nested120__mlp_0,360,0.6865634989393029,0.6850646842528862,-0.0014988146864166607,0.6918129344226962,0.6923538893110337
2,leace_A0,AB/RAC1P,stress30000__nested120__mlp_1,360,1.2357403552927357,1.23903129704621,0.00329094175347433,1.2173373363228512,1.220515757297821
