release,target,split,n_seeds,n_defined,complete,mean,sample_sd
S_F_W,public_coverage,development_evaluation_person_weighted,3,3,True,0.508126576453624,0.016237564492415
S_F_C,income_binary,source_validation,3,3,True,0.3008248613237389,0.008184629098425156
S_F_C,income_binary,source_validation_person_weighted,3,3,True,0.2957977937902155,0.006094730040403093
S_F_C,civilian_at_work,source_validation,3,3,True,0.3084049258887198,0.013677154671353662
S_F_C,civilian_at_work,source_validation_person_weighted,3,3,True,0.30687653497078127,0.014845448209287824
S_F_C,public_coverage,source_validation,3,3,True,0.48767264234003543,0.006871824422737867
S_F_C,public_coverage,source_validation_person_weighted,3,3,True,0.500155938442116,0.010349792829659527
S_F_C,income_binary,development_evaluation,3,3,True,0.2911444353106351,0.005809778506817005
S_F_C,income_binary,development_evaluation_person_weighted,3,3,True,0.30559605502138615,0.008911839331207781
S_F_C,civilian_at_work,development_evaluation,3,3,True,0.2911508277065364,0.0077258019436240956
S_F_C,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.2800062829042237,0.015810759301310425
S_F_C,public_coverage,development_evaluation,3,3,True,0.5029799514799175,0.019858405442577005
S_F_C,public_coverage,development_evaluation_person_weighted,3,3,True,0.5099726808207866,0.02131549522954341
S_F_D,income_binary,source_validation,3,3,True,0.30101469020192834,0.007503614389826365
S_F_D,income_binary,source_validation_person_weighted,3,3,True,0.2958783813995052,0.005533849023306948
S_F_D,civilian_at_work,source_validation,3,3,True,0.30873786145295606,0.012819303387979097
S_F_D,civilian_at_work,source_validation_person_weighted,3,3,True,0.3069161894528408,0.013624169050409318
S_F_D,public_coverage,source_validation,3,3,True,0.48863739619289626,0.007067731197479947
S_F_D,public_coverage,source_validation_person_weighted,3,3,True,0.4998625183871964,0.010144645600334148
S_F_D,income_binary,development_evaluation,3,3,True,0.29089663010290817,0.005951712935353721
S_F_D,income_binary,development_evaluation_person_weighted,3,3,True,0.3049347709538334,0.008688267347835659
S_F_D,civilian_at_work,development_evaluation,3,3,True,0.29059579065899305,0.00845508516444266
S_F_D,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.27934823639188283,0.01652837751135115
S_F_D,public_coverage,development_evaluation,3,3,True,0.5038301172144768,0.02077917700309674
S_F_D,public_coverage,development_evaluation_person_weighted,3,3,True,0.5112406532963042,0.022859183479292586
S_K_I,income_binary,source_validation,3,3,True,0.7202467883917689,0.017896456481888735
S_K_I,income_binary,source_validation_person_weighted,3,3,True,0.7247337842075141,0.02246518522620686
S_K_I,civilian_at_work,source_validation,3,3,True,0.6934110824419317,0.014532864058026871
S_K_I,civilian_at_work,source_validation_person_weighted,3,3,True,0.6954312001690314,0.021045903342044286
S_K_I,public_coverage,source_validation,3,3,True,0.7224832261241019,0.011246796928373447
S_K_I,public_coverage,source_validation_person_weighted,3,3,True,0.7235264208491471,0.012088963858110709
S_K_I,income_binary,development_evaluation,3,3,True,0.7223943338548195,0.01628340029456201
S_K_I,income_binary,development_evaluation_person_weighted,3,3,True,0.7258935855341919,0.019846336359656266
S_K_I,civilian_at_work,development_evaluation,3,3,True,0.6919617528700609,0.013363577516573313
S_K_I,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.6923605742313582,0.017019536057253842
S_K_I,public_coverage,development_evaluation,3,3,True,0.7214747675205433,0.013715657437483217
S_K_I,public_coverage,development_evaluation_person_weighted,3,3,True,0.7210860538884958,0.014216637390473739
S_K_W,income_binary,source_validation,3,3,True,0.336924632719368,0.01044092579829855
S_K_W,income_binary,source_validation_person_weighted,3,3,True,0.33253326789130006,0.014251001639293857
S_K_W,civilian_at_work,source_validation,3,3,True,0.37304346276001893,0.021875770235980363
S_K_W,civilian_at_work,source_validation_person_weighted,3,3,True,0.37046824934686223,0.02463990306904485
S_K_W,public_coverage,source_validation,3,3,True,0.5060526743936562,0.004278800891908517
S_K_W,public_coverage,source_validation_person_weighted,3,3,True,0.5148011777895865,0.0020069824140730593
S_K_W,income_binary,development_evaluation,3,3,True,0.33177272426883253,0.014068171259236463
S_K_W,income_binary,development_evaluation_person_weighted,3,3,True,0.3441906104111189,0.013303270862984511
S_K_W,civilian_at_work,development_evaluation,3,3,True,0.36387423990047457,0.007273350446860732
S_K_W,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.35029209372267245,0.006821174629666638
