seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fit_warnings,fallback_reason,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256,evidence_audit_budget,origin_metrics,origin_release
0,audit,E_F_C,RAC1P,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6356571660144255,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,RAC1P,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6741430839756504,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,RAC1P,mlp_0,mlp,False,True,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,30,360,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4198191249743104,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,RAC1P,mlp_1,mlp,False,False,False,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,30,360,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.40817566704936326,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,RAC1P,catchup,catchup,True,False,True,False,120,False,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,5,60,359160,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,1300001,2000001,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",0.4074843750568107,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,,10080,,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_C,RAC1P,saved_adversary,saved_adversary,False,False,True,False,120,False,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,,10080,,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C
0,audit,E_F_D,SEX,logistic,logistic,False,False,True,False,120,False,False,2993,"[1512,1481]",True,32,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.004288290976546705,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
0,audit,E_F_D,SEX,hist_gb_20,histgb,False,False,False,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.08052883297204971,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
0,audit,E_F_D,SEX,hist_gb_5,histgb,False,False,True,False,120,False,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.08507304196245968,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
0,audit,E_F_D,SEX,mlp_0,mlp,False,False,False,False,120,False,False,2993,"[1512,1481]",True,1440,30,360,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.35627883404958993,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,D
