seed,release,target,split,audit_budget,independent_loss,independent_candidate,independent_epoch,pooled_loss,pooled_candidate,pooled_epoch,catchup_loss,catchup_candidate,catchup_epoch,saved_loss,saved_candidate,saved_epoch
0,E_K_D,RAC1P,development_evaluation,120,1.235303073758682,mlp_0,25,1.2089217957900915,catchup,0,1.2089217957900915,catchup,0,1.2089217957900915,saved_adversary,0
0,E_K_D,RAC1P,development_evaluation,360,1.235303073758682,mlp_0,25,1.2089217957900915,catchup,0,1.2089217957900915,catchup,0,1.2089217957900915,saved_adversary,0
0,E_K_D,RAC1P,validation_person_weighted,120,1.2624475325810964,mlp_0,25,1.2430332102668953,catchup,0,1.2430332102668953,catchup,0,1.2430332102668953,saved_adversary,0
0,E_K_D,RAC1P,validation_person_weighted,360,1.2624475325810964,mlp_0,25,1.2430332102668953,catchup,0,1.2430332102668953,catchup,0,1.2430332102668953,saved_adversary,0
0,E_K_D,RAC1P,development_evaluation_person_weighted,120,1.2151369873816082,mlp_0,25,1.1959214610581375,catchup,0,1.1959214610581375,catchup,0,1.1959214610581375,saved_adversary,0
0,E_K_D,RAC1P,development_evaluation_person_weighted,360,1.2151369873816082,mlp_0,25,1.1959214610581375,catchup,0,1.1959214610581375,catchup,0,1.1959214610581375,saved_adversary,0
0,S_F_C,SEX,validation,120,0.6621930496740007,mlp_1,20,0.65682541270438,catchup,5,0.65682541270438,catchup,5,0.6720752094967308,saved_adversary,0
0,S_F_C,SEX,validation,360,0.6621930496740007,mlp_1,20,0.65682541270438,catchup,5,0.65682541270438,catchup,5,0.6720752094967308,saved_adversary,0
0,S_F_C,SEX,development_evaluation,120,0.6704934090078273,mlp_1,20,0.6708711526645388,catchup,5,0.6708711526645388,catchup,5,0.6841865053346511,saved_adversary,0
0,S_F_C,SEX,development_evaluation,360,0.6704934090078273,mlp_1,20,0.6708711526645388,catchup,5,0.6708711526645388,catchup,5,0.6841865053346511,saved_adversary,0
0,S_F_C,SEX,validation_person_weighted,120,0.6583674167936244,mlp_1,20,0.6533451000320348,catchup,5,0.6533451000320348,catchup,5,0.6679256730440247,saved_adversary,0
0,S_F_C,SEX,validation_person_weighted,360,0.6583674167936244,mlp_1,20,0.6533451000320348,catchup,5,0.6533451000320348,catchup,5,0.6679256730440247,saved_adversary,0
0,S_F_C,SEX,development_evaluation_person_weighted,120,0.6716086156442873,mlp_1,20,0.6728390516959329,catchup,5,0.6728390516959329,catchup,5,0.6824872833386251,saved_adversary,0
0,S_F_C,SEX,development_evaluation_person_weighted,360,0.6716086156442873,mlp_1,20,0.6728390516959329,catchup,5,0.6728390516959329,catchup,5,0.6824872833386251,saved_adversary,0
0,S_F_C,RAC1P,validation,120,1.2248470696780205,logistic,,1.2072080344317377,catchup,5,1.2072080344317377,catchup,5,1.2086794691260216,saved_adversary,0
