seed,release,target,split,selector,loss120,loss360,difference,candidate120,candidate360
0,E_F_D,RAC1P,validation_person_weighted,candidate:catchup,1.2380061945237018,1.2380061945237018,0.0,catchup,catchup
0,E_F_D,RAC1P,validation_person_weighted,candidate:saved_adversary,1.2558004766639217,1.2558004766639217,0.0,saved_adversary,saved_adversary
0,E_F_D,RAC1P,development_evaluation_person_weighted,primary,1.2150538433352902,1.2150538433352902,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,development_evaluation_person_weighted,pooled,1.2028837854049805,1.2028837854049805,0.0,catchup,catchup
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:logistic,1.2471388394374734,1.2471388394374734,0.0,logistic,logistic
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:mlp_0,1.2150538433352902,1.2150538433352902,0.0,mlp_0,mlp_0
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:mlp_1,1.21579270001204,1.21579270001204,0.0,mlp_1,mlp_1
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_20,1.401601642850593,1.401601642850593,0.0,hist_gb_20,hist_gb_20
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:hist_gb_5,1.3846722837023713,1.3846722837023713,0.0,hist_gb_5,hist_gb_5
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:catchup,1.2028837854049805,1.2028837854049805,0.0,catchup,catchup
0,E_F_D,RAC1P,development_evaluation_person_weighted,candidate:saved_adversary,1.2174544478948957,1.2174544478948957,0.0,saved_adversary,saved_adversary
0,E_K_C,SEX,validation,primary,0.6830412377910033,0.6830412377910033,0.0,mlp_0,mlp_0
0,E_K_C,SEX,validation,pooled,0.6745759477786555,0.6745759477786555,0.0,catchup,catchup
0,E_K_C,SEX,validation,candidate:logistic,0.6924871251478718,0.6924871251478718,0.0,logistic,logistic
0,E_K_C,SEX,validation,candidate:mlp_0,0.6830412377910033,0.6830412377910033,0.0,mlp_0,mlp_0
0,E_K_C,SEX,validation,candidate:mlp_1,0.6839082483849209,0.6839082483849209,0.0,mlp_1,mlp_1
0,E_K_C,SEX,validation,candidate:hist_gb_20,0.7038217661615626,0.7038217661615626,0.0,hist_gb_20,hist_gb_20
0,E_K_C,SEX,validation,candidate:hist_gb_5,0.7036245430965195,0.7036245430965195,0.0,hist_gb_5,hist_gb_5
0,E_K_C,SEX,validation,candidate:catchup,0.6745759477786555,0.6745759477786555,0.0,catchup,catchup
0,E_K_C,SEX,validation,candidate:saved_adversary,0.6831831524807433,0.6831831524807433,0.0,saved_adversary,saved_adversary
0,E_K_C,SEX,development_evaluation,primary,0.6872099166564384,0.6872099166564384,0.0,mlp_0,mlp_0
0,E_K_C,SEX,development_evaluation,pooled,0.6773455389504729,0.6773455389504729,0.0,catchup,catchup
0,E_K_C,SEX,development_evaluation,candidate:logistic,0.692519180456028,0.692519180456028,0.0,logistic,logistic
0,E_K_C,SEX,development_evaluation,candidate:mlp_0,0.6872099166564384,0.6872099166564384,0.0,mlp_0,mlp_0
0,E_K_C,SEX,development_evaluation,candidate:mlp_1,0.6898835454265383,0.6898835454265383,0.0,mlp_1,mlp_1
0,E_K_C,SEX,development_evaluation,candidate:hist_gb_20,0.7150026125530013,0.7150026125530013,0.0,hist_gb_20,hist_gb_20
0,E_K_C,SEX,development_evaluation,candidate:hist_gb_5,0.7108901201057894,0.7108901201057894,0.0,hist_gb_5,hist_gb_5
