seed,comparison,left,right,target,split,left_minus_right,left_value,right_value
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation_person_weighted,0.0018296077637682817,0.5068411600942175,0.5050115523304493
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,source_validation_person_weighted,-0.007402031602227299,0.5080223988580718,0.5154244304602991
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation,-0.00046872437032008385,0.5253879808672007,0.5258567052375208
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation,0.006933407240924505,0.510324506582674,0.5033910993417495
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation,0.011841991770555504,0.5004985996314312,0.48865660786087567
0,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation_person_weighted,0.0006363965353770595,0.5339293773484146,0.5332929808130376
1,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation_person_weighted,0.0026592612041533847,0.5107807316650302,0.5081214704608769
2,native_main_minus_equal_exposure_bank,E_K_C,E_bank,public_coverage,development_evaluation_person_weighted,0.012132401833755191,0.5084416079418568,0.4963092061081016
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation,0.014723868810392782,0.34428984320401945,0.32956597439362667
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation,0.004568253833150904,0.3392757604908358,0.3347075066576849
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation,0.004605929401072351,0.3374304464568848,0.33282451705581245
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation_person_weighted,0.01753481792752465,0.3439915314591302,0.32645671353160555
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation_person_weighted,0.007016334592215345,0.33844031003422476,0.3314239754420094
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,source_validation_person_weighted,0.00833145212126113,0.334011043283719,0.32567959116245787
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation,0.005947785175234921,0.33944652292727967,0.33349873775204475
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation,0.005161170805471793,0.3321107765263464,0.3269496057208746
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation,0.011161140432604855,0.31722818052261686,0.306067040090012
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation_person_weighted,0.005734640726921703,0.34240181956612903,0.3366671788392073
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation_person_weighted,0.009724041322615395,0.3455618697314806,0.3358378284088652
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,income_binary,development_evaluation_person_weighted,0.009657472669665268,0.330847380767576,0.32118990809791076
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation,0.012775871335904465,0.41827395938132594,0.4054980880454215
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation,0.005779120037871399,0.3818717710776563,0.3760926510397849
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation,0.0038418330955828917,0.3512540411737208,0.3474122080781379
0,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation_person_weighted,0.02055850245106494,0.4101387124468774,0.38958020999581244
1,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation_person_weighted,0.005067852582320842,0.3707349997825406,0.36566714720021976
2,native_main_minus_equal_exposure_bank,E_K_D,E_bank,civilian_at_work,source_validation_person_weighted,-0.0017259609652968688,0.34644619802190113,0.348172158987198
