seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,evidence_audit_budget,origin_metrics,origin_release,validation_auroc,validation_coverage_complete
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,0,0,0.6234573900569826,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,5,40,0.5417413960226592,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,10,80,0.5264834959516347,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,15,120,0.5207563568309911,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,20,160,0.519283048452989,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,25,200,0.5176608217168033,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,30,240,0.5169225362889904,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,35,280,0.5198201082492352,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,40,320,0.5203326683525075,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
0,transfer,E_F_C,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,0,0,0.7005975373532788,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,C,,
