comparison,left,right,target,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
native_main_minus_equal_exposure_bank,S_F_C,S_bank,income_binary,development_evaluation_person_weighted,3,3,True,-0.015365915142993125,0.011186594413663466,"{""0"":-0.019483329415841688,""1"":-0.023910276871530245,""2"":-0.0027041391416074423}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation,3,3,True,-0.0343917912099014,0.01367090604643777,"{""0"":-0.0392189908342781,""1"":-0.04499423073271591,""2"":-0.01896215206271018}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,source_validation_person_weighted,3,3,True,-0.03037248478378174,0.012823200243254557,"{""0"":-0.034718641037967624,""1"":-0.040457777626734304,""2"":-0.01594103568664329}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation,3,3,True,-0.0360312556022425,0.010835670808618999,"{""0"":-0.03682849538833122,""1"":-0.046446287655481866,""2"":-0.024818983762914415}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,civilian_at_work,development_evaluation_person_weighted,3,3,True,-0.029226969573487416,0.012775881886895752,"{""0"":-0.037188691525150475,""1"":-0.036001637206758086,""2"":-0.014490579988553687}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation,3,3,True,-0.009826073772804441,0.005312483956178218,"{""0"":-0.0067320311769678565,""1"":-0.01596032311127321,""2"":-0.0067858670301722546}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,source_validation_person_weighted,3,3,True,-0.006347415418618145,0.007091422951768698,"{""0"":-0.005624022070446766,""1"":-0.013772808435889738,""2"":0.00035458425048207065}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation,3,3,True,-0.005242976084098812,0.009743591502001494,"{""0"":0.005451071067510194,""1"":-0.013617472532985453,""2"":-0.007562526786821178}"
native_main_minus_equal_exposure_bank,S_F_C,S_bank,public_coverage,development_evaluation_person_weighted,3,3,True,-0.005927071685602063,0.009552372052384999,"{""0"":0.0030997090751805345,""1"":-0.01593006438763378,""2"":-0.004950859744352942}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation,3,3,True,-0.01332727808820929,0.007666272129522078,"{""0"":-0.004856346268416745,""1"":-0.015336937640354154,""2"":-0.01978855035585697}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,source_validation_person_weighted,3,3,True,-0.012011096246169991,0.008745258767903148,"{""0"":-0.002800026001138878,""1"":-0.01303240347087914,""2"":-0.020200859266491955}"
native_main_minus_equal_exposure_bank,S_F_D,S_bank,income_binary,development_evaluation,3,3,True,-0.017588723936785677,0.009513428809199287,"{""0"":-0.017472661464510764,""1"":-0.027159652987711225,""2"":-0.008133857358135044}"
