unit,seed,stage,point,diagnostic_scope,coefficients,reconstruction_coefficient,decoder_objective_path,source_loss,preservation_loss,normalized_adversary_ce,raw_protection_definition,protection_available,input_teacher_l2,input_raw_l2,teacher_input_weight_l2,raw_input_weight_l2,source_raw_mapper_l2,source_raw_teacher_input_weight_l2,source_raw_raw_input_weight_l2,source_applied_mapper_l2,source_applied_teacher_input_weight_l2,source_applied_raw_input_weight_l2,teacher_raw_mapper_l2,teacher_raw_teacher_input_weight_l2,teacher_raw_raw_input_weight_l2,teacher_applied_mapper_l2,teacher_applied_teacher_input_weight_l2,teacher_applied_raw_input_weight_l2,protection_raw_mapper_l2,protection_raw_teacher_input_weight_l2,protection_raw_raw_input_weight_l2,protection_applied_mapper_l2,protection_applied_teacher_input_weight_l2,protection_applied_raw_input_weight_l2,teacher_protection_raw_dot,teacher_protection_raw_cosine,teacher_protection_applied_dot,teacher_protection_applied_cosine,source_protection_raw_dot,source_protection_raw_cosine,source_protection_applied_dot,source_protection_applied_cosine,source_teacher_raw_dot,source_teacher_raw_cosine,source_teacher_applied_dot,source_teacher_applied_cosine,training_state_unchanged,torch_rng_unchanged,optimizer_steps,preservation_nonmapper_gradients_all_absent,cosine_zero_policy,hypothetical_preobserver_warmup,protection_observer_basis,diagnostic_observer_state_sha256
E_K,2,D,final,,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.417778879404068,0.01866435818374157,0.8453153371810913,positive mean prior-entropy-normalized adversary CE,True,44.58277893066406,0.0,8.939645767211914,0.0,0.5875253677368164,0.3103276789188385,0.0,0.5875253677368164,0.3103276789188385,0.0,0.16789542138576508,0.06176131218671799,0.0,0.16789542138576508,0.06176131218671799,0.0,1.2215485572814941,0.31237533688545227,0.0,0.1221548393368721,0.031237535178661346,0.0,0.06332124024629593,0.3087449229249402,-0.006332123652100563,-0.30874494618973897,0.05529466271400452,0.07704524759901345,-0.005529467016458511,-0.07704526831861168,0.01111744437366724,0.11270404135693687,0.01111744437366724,0.11270404135693687,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,38446be2db17b4d54ed9de7bdc264fb06611d00a148d3a6108542671ef7cb1da
E_bank,2,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":0.0,""protection"":0.0}",0.0,omitted,0.7161867022514343,2.27631147201176e-15,,positive mean prior-entropy-normalized adversary CE,False,44.58277893066406,0.0,8.000000953674316,0.0,0.5987675786018372,0.018731677904725075,0.0,0.5987675786018372,0.018731677904725075,0.0,1.2255532055860385e-07,8.27828738891867e-09,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.9219275060322616e-08,0.26190666798696566,0.0,,True,True,0,True,None when either norm is zero or component unavailable,False,not constructed for source-only bank,
E_bank,2,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":0.0,""protection"":0.0}",0.0,omitted,0.4032364785671234,7.063377380371094,,positive mean prior-entropy-normalized adversary CE,False,44.58277893066406,0.0,10.454965591430664,0.0,0.18297110497951508,0.1229662299156189,0.0,0.18297110497951508,0.1229662299156189,0.0,25.0852108001709,2.8192977905273438,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.14846171438694,0.032345525076459755,0.0,,True,True,0,True,None when either norm is zero or component unavailable,False,not constructed for source-only bank,
E_bank,2,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":0.0,""protection"":0.0}",0.0,omitted,0.4032364785671234,7.063377380371094,,positive mean prior-entropy-normalized adversary CE,False,44.58277893066406,0.0,10.454965591430664,0.0,0.18297110497951508,0.1229662299156189,0.0,0.18297110497951508,0.1229662299156189,0.0,25.0852108001709,2.8192977905273438,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.14846171438694,0.032345525076459755,0.0,,True,True,0,True,None when either norm is zero or component unavailable,False,not constructed for source-only bank,
E_bank,2,B,shared_fork,,"{""source"":1.0,""teacher"":0.0,""protection"":0.0}",0.0,omitted,0.4032364785671234,7.063377380371094,,positive mean prior-entropy-normalized adversary CE,False,44.58277893066406,0.0,10.454965591430664,0.0,0.18297110497951508,0.1229662299156189,0.0,0.18297110497951508,0.1229662299156189,0.0,25.0852108001709,2.8192977905273438,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.14846171438694,0.032345525076459755,0.0,,True,True,0,True,None when either norm is zero or component unavailable,False,not constructed for source-only bank,
E_bank,2,B,final,,"{""source"":1.0,""teacher"":0.0,""protection"":0.0}",0.0,omitted,0.40281984210014343,5.868597984313965,,positive mean prior-entropy-normalized adversary CE,False,44.58277893066406,0.0,10.716483116149902,0.0,0.33738961815834045,0.1852221041917801,0.0,0.33738961815834045,0.1852221041917801,0.0,22.526968002319336,2.8720765113830566,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.5956252813339233,-0.07836798245148255,0.0,,True,True,0,True,None when either norm is zero or component unavailable,False,not constructed for source-only bank,
S_F,0,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.7067928314208984,2.5856798798427894e-15,1.3699520826339722,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,8.0,0.0,0.6918356418609619,0.041169486939907074,0.06577277928590775,0.6918356418609619,0.041169486939907074,0.06577277928590775,2.1127600291492854e-07,8.571504395149532e-09,1.1767160579267966e-08,2.1127600291492854e-07,8.571504395149532e-09,1.1767160579267966e-08,0.11341880261898041,0.012181593105196953,0.020799459889531136,0.0,0.0,0.0,-5.309247708140674e-09,-0.22156326595280326,0.0,,-0.009609709493815899,-0.12246789938347975,0.0,,6.981785816151387e-08,0.4776539983531724,6.981785816151387e-08,0.4776539983531724,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
S_F,0,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.36369702219963074,0.030334867537021637,1.3709790706634521,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,7.774498462677002,2.881254196166992,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.10073542594909668,0.011609765700995922,0.02269151248037815,0.0,0.0,0.0,-0.0008917278610169888,-0.02225131718238713,0.0,,-0.006586060393601656,-0.2011429724064074,0.0,,0.01075691170990467,0.08318683512764993,0.01075691170990467,0.08318683512764993,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
S_F,0,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.36369702219963074,0.030334867537021637,0.9363983273506165,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,7.774498462677002,2.881254196166992,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.27438774704933167,0.07117532193660736,0.14890334010124207,0.027438778430223465,0.007117530796676874,0.0148903364315629,-0.017448432743549347,-0.159844363161457,0.0017448433209210634,0.15984434572571404,-0.006228199694305658,-0.06983275840070828,0.0006228199927136302,0.06983275153027801,0.01075691170990467,0.08318683512764993,0.01075691170990467,0.08318683512764993,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,8f68889518d4d6572d0635c5b6af84233db0eb49d44bcb1c8ee367f8b0724ad1
S_F,0,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.36369702219963074,0.030334867537021637,0.9363983273506165,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,7.774498462677002,2.881254196166992,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.27438774704933167,0.07117532193660736,0.14890334010124207,0.0,0.0,0.0,-0.017448432743549347,-0.159844363161457,0.0,,-0.006228199694305658,-0.06983275840070828,0.0,,0.01075691170990467,0.08318683512764993,0.01075691170990467,0.08318683512764993,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,8f68889518d4d6572d0635c5b6af84233db0eb49d44bcb1c8ee367f8b0724ad1
S_F,0,C,final,,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.33764171600341797,0.02230563573539257,0.8914634585380554,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,7.750156879425049,3.523873805999756,0.6360179781913757,0.10243833065032959,0.22799792885780334,0.6360179781913757,0.10243833065032959,0.22799792885780334,0.2969353497028351,0.024808792397379875,0.05879620462656021,0.2969353497028351,0.024808792397379875,0.05879620462656021,0.9326452016830444,0.18125681579113007,0.39202263951301575,0.0,0.0,0.0,0.026328541338443756,0.095071081840719,0.0,,0.07409421354532242,0.12491035440000108,0.0,,0.10126855969429016,0.5362204076761216,0.10126855969429016,0.5362204076761216,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,92dc83313c0a10085ad74a8e2228443d9ac7cfe820da3ce4b9efe0d0267bbfb2
S_F,0,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.36369702219963074,0.030334867537021637,0.9363983273506165,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,7.774498462677002,2.881254196166992,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.32504135370254517,0.060093097388744354,0.1579473465681076,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.3978271186351776,0.03229255601763725,0.07278171181678772,0.27438774704933167,0.07117532193660736,0.14890334010124207,0.027438778430223465,0.007117530796676874,0.0148903364315629,-0.017448432743549347,-0.159844363161457,0.0017448433209210634,0.15984434572571404,-0.006228199694305658,-0.06983275840070828,0.0006228199927136302,0.06983275153027801,0.01075691170990467,0.08318683512764993,0.01075691170990467,0.08318683512764993,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,8f68889518d4d6572d0635c5b6af84233db0eb49d44bcb1c8ee367f8b0724ad1
S_F,0,D,final,,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.3383914530277252,0.022788038477301598,0.8875822424888611,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,88.41986083984375,7.764824867248535,3.5248589515686035,0.6710451245307922,0.10556421428918839,0.2297229915857315,0.6710451245307922,0.10556421428918839,0.2297229915857315,0.3506898581981659,0.025198768824338913,0.060209721326828,0.3506898581981659,0.025198768824338913,0.060209721326828,1.1023237705230713,0.18298844993114471,0.35273629426956177,0.11023236811161041,0.018298843875527382,0.03527362272143364,0.09507764875888824,0.24594956236300627,-0.009507765993475914,-0.24594961122147863,0.11451651901006699,0.15481293355852022,-0.011451652273535728,-0.15481295115120222,0.13517242670059204,0.5743983435159273,0.13517242670059204,0.5743983435159273,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,8c7896aadf5d6842fdd0dd250959d2e5b2d20982bfc78d2fdabd8a4c94df4889
S_K,0,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.7067928314208984,2.5856798798427894e-15,1.3699520826339722,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,0.0,8.0,0.0,0.6887020468711853,0.041169486939907074,0.0,0.6887020468711853,0.041169486939907074,0.0,2.1094805902066582e-07,8.571504395149532e-09,0.0,2.1094805902066582e-07,8.571504395149532e-09,0.0,0.11149531602859497,0.012181593105196953,0.0,0.0,0.0,0.0,-5.33020116932903e-09,-0.2266268924386366,0.0,,-0.00964326597750187,-0.12558453125154326,0.0,,6.973303356971883e-08,0.47998940500162446,6.973303356971883e-08,0.47998940500162446,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
S_K,0,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.4148470461368561,0.02031063288450241,1.3697116374969482,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,0.0,8.624258041381836,0.0,0.23457252979278564,0.08147434890270233,0.0,0.23457252979278564,0.08147434890270233,0.0,0.34612587094306946,0.05265013128519058,0.0,0.34612587094306946,0.05265013128519058,0.0,0.10200589150190353,0.012731564231216908,0.0,0.0,0.0,0.0,-0.006199612282216549,-0.1755921969551027,0.0,,-0.007542858831584454,-0.3152343771222173,0.0,,0.017065279185771942,0.21018522526150651,0.017065279185771942,0.21018522526150651,True,True,0,True,None when either norm is zero or component unavailable,True,disposable original initialization,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
S_K,0,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.4148470461368561,0.02031063288450241,0.9358696937561035,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,0.0,8.624258041381836,0.0,0.23457252979278564,0.08147434890270233,0.0,0.23457252979278564,0.08147434890270233,0.0,0.34612587094306946,0.05265013128519058,0.0,0.34612587094306946,0.05265013128519058,0.0,0.2603417932987213,0.07416629046201706,0.0,0.026034176349639893,0.00741663109511137,0.0,-0.023442134261131287,-0.26014722364792364,0.0023442134261131287,0.26014725342797634,-0.012591848149895668,-0.20619039663719219,0.0012591847917065024,0.20619041642801786,0.017065279185771942,0.21018522526150651,0.017065279185771942,0.21018522526150651,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,797a7bb36d0851027eda99ee05ad4398709fb03cf42590e83fe210e78040c7af
S_K,0,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.4148470461368561,0.02031063288450241,0.9358696937561035,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,0.0,8.624258041381836,0.0,0.23457252979278564,0.08147434890270233,0.0,0.23457252979278564,0.08147434890270233,0.0,0.34612587094306946,0.05265013128519058,0.0,0.34612587094306946,0.05265013128519058,0.0,0.2603417932987213,0.07416629046201706,0.0,0.0,0.0,0.0,-0.023442134261131287,-0.26014722364792364,0.0,,-0.012591848149895668,-0.20619039663719219,0.0,,0.017065279185771942,0.21018522526150651,0.017065279185771942,0.21018522526150651,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,797a7bb36d0851027eda99ee05ad4398709fb03cf42590e83fe210e78040c7af
S_K,0,C,final,,"{""source"":1.0,""teacher"":1.0,""protection"":0.0}",0.0,omitted,0.4000312387943268,0.01571313850581646,0.8881505727767944,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,0.0,8.772205352783203,0.0,0.4393936097621918,0.12941087782382965,0.0,0.4393936097621918,0.12941087782382965,0.0,0.2395167052745819,0.053269438445568085,0.0,0.2395167052745819,0.053269438445568085,0.0,1.365045189857483,0.2576204836368561,0.0,0.0,0.0,0.0,0.02950288914144039,0.09023638934657638,0.0,,-0.06843948364257812,-0.11410533720703227,0.0,,0.06318316608667374,0.6003601243780082,0.06318316608667374,0.6003601243780082,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,b014a8920b207f8e860d86a0ac8cd9198135c696e7b325a271286b508d1241cc
S_K,0,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""protection"":-0.1}",0.0,omitted,0.4148470461368561,0.02031063288450241,0.9358696937561035,positive mean prior-entropy-normalized adversary CE,True,41.769996643066406,0.0,8.624258041381836,0.0,0.23457252979278564,0.08147434890270233,0.0,0.23457252979278564,0.08147434890270233,0.0,0.34612587094306946,0.05265013128519058,0.0,0.34612587094306946,0.05265013128519058,0.0,0.2603417932987213,0.07416629046201706,0.0,0.026034176349639893,0.00741663109511137,0.0,-0.023442134261131287,-0.26014722364792364,0.0023442134261131287,0.26014725342797634,-0.012591848149895668,-0.20619039663719219,0.0012591847917065024,0.20619041642801786,0.017065279185771942,0.21018522526150651,0.017065279185771942,0.21018522526150651,True,True,0,True,None when either norm is zero or component unavailable,False,actual current observers,797a7bb36d0851027eda99ee05ad4398709fb03cf42590e83fe210e78040c7af
