comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
final_minus_W,S_F_D,S_F_W,transfer,civilian_at_work,,primary,validation,3,3,True,0.004737618120419507,0.0032892556898168703,"{""0"":0.008350099128084432,""1"":0.003947098404962379,""2"":0.0019156568282117092}"
final_minus_W,S_F_D,S_F_W,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.004948398179429085,0.005401092153715719,"{""0"":0.011184013602257514,""1"":0.0017325003213758405,""2"":0.0019286806146538993}"
final_minus_W,S_F_D,S_F_W,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,0.004412798423604351,0.0022407717824643146,"{""0"":0.006650874242589422,""1"":0.004418180654648274,""2"":0.002169340373575357}"
final_minus_W,S_F_D,S_F_W,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,0.004890809556352589,0.005321728302864411,"{""0"":0.010868037466932545,""1"":0.00066714418179048,""2"":0.0031372470203347436}"
final_minus_W,S_F_D,S_F_W,transfer,public_coverage,,primary,validation,3,3,True,0.001383206667901371,0.0007131488995035682,"{""0"":0.0011480691013903699,""1"":0.0008173179934650165,""2"":0.0021842329088487267}"
final_minus_W,S_F_D,S_F_W,transfer,public_coverage,,primary,development_evaluation,3,3,True,0.0025906266247965695,0.0016289717044302887,"{""0"":0.0018655747730501604,""1"":0.004456240596342365,""2"":0.0014500645049971839}"
final_minus_W,S_F_D,S_F_W,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,0.0028919137005088227,0.0023369589834487535,"{""0"":0.005590297781082665,""1"":0.0015222325020869953,""2"":0.0015632108183568083}"
final_minus_W,S_F_D,S_F_W,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,0.003816228107353048,0.00507733345671629,"{""0"":0.0021427573119600085,""1"":0.009519064269873034,""2"":-0.00021313725977389897}"
representation_minus_source_bank,S_F_D,S_bank,transfer,same_residence,,primary,validation,3,3,True,-0.017156593355278266,0.011334805023746241,"{""0"":-0.008907996979847899,""1"":-0.012480420061148245,""2"":-0.03008136302483866}"
representation_minus_source_bank,S_F_D,S_bank,transfer,same_residence,,primary,development_evaluation,3,3,True,-0.016155912857137317,0.010376206714888609,"{""0"":-0.007781812617333794,""1"":-0.012921945548789004,""2"":-0.027763980405289157}"
representation_minus_source_bank,S_F_D,S_bank,transfer,same_residence,,primary,validation_person_weighted,3,3,True,-0.015250797580239506,0.011030762877991282,"{""0"":-0.004690947166173853,""1"":-0.014362668061924266,""2"":-0.026698777512620397}"
representation_minus_source_bank,S_F_D,S_bank,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,-0.013833475386158145,0.009613844245748088,"{""0"":-0.008459151963574718,""1"":-0.008108533496470671,""2"":-0.024932740698429046}"
representation_minus_source_bank,S_F_D,S_bank,transfer,commute_over20,,primary,validation,3,3,True,-0.0032718758561038896,0.0014950015094091747,"{""0"":-0.0019346395782564585,""1"":-0.0029950423219938793,""2"":-0.004885945668061331}"
representation_minus_source_bank,S_F_D,S_bank,transfer,commute_over20,,primary,development_evaluation,3,3,True,0.00010564265272805518,0.002743805298001696,"{""0"":0.0010219969960142405,""1"":0.0022740009465789246,""2"":-0.0029790699844089996}"
representation_minus_source_bank,S_F_D,S_bank,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,-0.0035794147541865864,0.0016156053814896407,"{""0"":-0.005146376097970973,""1"":-0.003672663720787561,""2"":-0.0019192044438012257}"
representation_minus_source_bank,S_F_D,S_bank,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,0.0008655780131278101,0.00508758834027326,"{""0"":-2.1171684562726334e-05,""1"":0.006338248175465688,""2"":-0.0037203424515195316}"
representation_minus_source_bank,S_F_D,S_bank,transfer,income_binary,,primary,validation,3,3,True,-0.01695779364927097,0.009356639780492419,"{""0"":-0.012075938073327852,""1"":-0.027745716260747455,""2"":-0.0110517266137376}"
representation_minus_source_bank,S_F_D,S_bank,transfer,income_binary,,primary,development_evaluation,3,3,True,-0.015060088733916233,0.0075271299574718705,"{""0"":-0.013968952905161147,""1"":-0.023073236734846292,""2"":-0.008138076561741259}"
representation_minus_source_bank,S_F_D,S_bank,transfer,income_binary,,primary,validation_person_weighted,3,3,True,-0.014804277062107,0.00838942495483798,"{""0"":-0.008074605124432421,""1"":-0.02420368739715395,""2"":-0.012134538664734629}"
representation_minus_source_bank,S_F_D,S_bank,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,-0.016243378983030982,0.007984072987306546,"{""0"":-0.016340300934045426,""1"":-0.024178549766829593,""2"":-0.00821128624821793}"
