unit,seed,release,split,target,mean_mse,per_coordinate_mse
E_F,0,E_F_D,source_validation,R,0.5811695685187006,"[0.6592589521923641,0.5856282976021597,0.7130606234280392,0.744522894570319,0.7097405952802588,0.45133937843134303,0.7828236694186623,1.0697495257620462,0.5009027909277212,0.7074130957029224,0.21094429423674477,0.5022069824777576,0.5146984938808501,0.2882318743002084,0.4909328183383877,0.36725880974942576]"
E_F,0,E_F_D,source_validation,E,0.022700461763924915,"[0.14527025835764237,0.06312425295096678,0.025223741284061227,0.02304066628298204,0.011248832137893735,0.01652622051175557,0.010244597374903418,0.019471401839755563,0.011610531380635962,0.007418384774761673,0.006613170627503935,0.005960217441610718,0.005231913206180193,0.003597127320885438,0.002815700651477264,0.005810372079782762]"
E_F,0,E_F_D,source_validation,S,0.5614079099495404,"[0.7649103381841786,0.5568012035593052,0.3874492230460172,0.8135290884915725,0.6148727429395092,0.5990376901723435,0.5584818668548233,0.5662610030255787,0.5615059778240883,0.36070784569677516,0.5342508223855289,0.6117373152973129,0.4357153705238202,0.6006476727774085,0.474821718059881,0.5417966803545035]"
E_F,0,E_F_D,development_evaluation,R,0.5789373769293784,"[0.58602659776396,0.5402507787690731,0.7190311828929427,0.7493355257685163,0.715039224336733,0.4408276749904178,0.8438269999794316,1.0950779329542626,0.5107719577841425,0.731034227992592,0.2109658671154322,0.49958624187892847,0.5182455681362756,0.27717823870599495,0.47037397843344453,0.3554260333679081]"
E_F,0,E_F_D,development_evaluation,E,0.02275295179282342,"[0.1547535285733246,0.05813275180670053,0.02468423759701804,0.021746209940498345,0.010969020280889776,0.016619206673746473,0.009963683705255662,0.019176519211321116,0.011158849393664447,0.007185626689559323,0.006875154022971741,0.005826495083244226,0.005111398164501955,0.003529771242423327,0.0028898053091236994,0.00542497099093142]"
E_F,0,E_F_D,development_evaluation,S,0.572897117423284,"[0.7428021193383803,0.5650433380863567,0.38753176114525595,0.871413208215189,0.6349201091566511,0.6244210042184115,0.6058742206669585,0.6126132017845979,0.5493453834442693,0.36047654777701116,0.535422169902933,0.6300919270229179,0.4442264502421651,0.596513136993751,0.46872736513769586,0.5369319356399991]"
E_K,0,E_K_I,fit,R,0.5624999741002891,"[0.6631267734852792,0.5669923508647727,0.6753757512174781,0.7970195931494191,0.6666856755785968,0.44786275490099287,0.7253810867824896,0.8872773858717314,0.5165343550116942,0.7236390990780417,0.20361903351312252,0.49206869479790266,0.5073028162519916,0.29526442513297513,0.4865751195728615,0.34527467039527526]"
E_K,0,E_K_I,fit,E,2.4158106556171984e-15,"[1.6747539924535816e-15,2.7237333541929014e-15,3.2403985033490662e-15,2.574157861962205e-15,1.710667289851965e-15,2.4331052147970776e-15,2.506058446176008e-15,1.0245157983221263e-15,1.99833888080038e-15,1.7981679836089437e-15,2.406106647465641e-15,3.3335925430992264e-15,4.957919150351672e-15,1.9626736054415993e-15,1.604459776976123e-15,2.7043214410266605e-15]"
E_K,0,E_K_I,fit,S,0.5443103380709213,"[0.7169950699262312,0.5506139167276036,0.3457466268988305,0.8522870081154024,0.6127740327530542,0.5668768135614042,0.5289584435633993,0.49286244083064235,0.5509225039175625,0.3293403357895186,0.537349921819103,0.5994224249731872,0.4069900445609425,0.6300708690824514,0.45049824755720974,0.5372567090581992]"
E_K,0,E_K_I,source_validation,R,0.5664353829295063,"[0.7113989748811985,0.5772130820104028,0.6780339123131052,0.7787757033121098,0.6821642513523175,0.44378582920934506,0.7091799235356196,0.9180227574152212,0.5003439602198361,0.7146374973019892,0.20609455332888335,0.49710851528786076,0.5116059449668559,0.28786191757285634,0.4851502827539021,0.36158902141059784]"
E_K,0,E_K_I,source_validation,E,2.413781202586708e-15,"[1.8277756036191707e-15,2.7625635743299512e-15,3.266041024126936e-15,2.605246956467139e-15,1.8117468453374515e-15,2.539047597747031e-15,2.435133965496152e-15,1.0258568036754515e-15,1.945259837547544e-15,1.790432270357576e-15,2.4221880465652534e-15,3.2593175569462255e-15,4.701534455839195e-15,1.9137367851424415e-15,1.6101736815071034e-15,2.7044442366827104e-15]"
E_K,0,E_K_I,source_validation,S,0.5417632940141022,"[0.7501087572008023,0.5424331952706593,0.3479365012358915,0.8355536975819134,0.5942459039077431,0.5510611649903382,0.5124744650728624,0.4775893330319385,0.5464497586143563,0.3350142366854031,0.5390193060677864,0.5946132173163823,0.4152649763365991,0.6089045229622315,0.4712582400650898,0.5462854278856384]"
E_K,0,E_K_I,development_evaluation,R,0.5621705461929001,"[0.6019900322496757,0.52796176185237,0.6945520464637327,0.7870676787046269,0.6891755038110782,0.43892953874727986,0.764789387854835,0.9428834423299456,0.5082022918846871,0.739424065974004,0.20608750789453997,0.492564931629472,0.5136184756063489,0.2773325674639346,0.46616168638312516,0.34398782023674446]"
E_K,0,E_K_I,development_evaluation,E,2.4875349008641316e-15,"[1.9153636597759526e-15,2.7541248744131326e-15,3.2916810111795988e-15,2.7565763959729193e-15,1.860274471319863e-15,2.7544966694877953e-15,2.4898251764078605e-15,1.0487594064644564e-15,2.124422710702203e-15,1.8621051305815162e-15,2.4144446947352585e-15,3.4241403084766074e-15,5.055277868985036e-15,1.823526152307615e-15,1.669335265728511e-15,2.5562046172877794e-15]"
E_K,0,E_K_I,development_evaluation,S,0.549679783522283,"[0.6856856444421465,0.5484346122851521,0.3507481920657991,0.8939022168887246,0.6128090256244988,0.5754103582829393,0.5537527879577581,0.5259468223472393,0.5296531196883847,0.3390005821887908,0.538718267709023,0.6113662464281355,0.42154060014484357,0.604639563152767,0.4642862402123351,0.5389822569379898]"
E_K,0,E_K_W,fit,R,0.5747364001944333,"[0.6003866652569309,0.5766083602515601,0.7527455953256182,0.6695510279508234,0.6859941628778354,0.5483690216931936,0.8364020945626983,0.8820310873365691,0.519285354607728,0.7035781760393721,0.21457973390648066,0.48916966408403706,0.5628627201829034,0.29261066966717764,0.507790561495582,0.3538175078724239]"
E_K,0,E_K_W,fit,E,0.02288391930293783,"[0.0317900834992772,0.04793484988526936,0.07062329586374701,0.03876624018919293,0.004590460860473937,0.025922858665805078,0.023963628483328843,0.06732298892508976,0.002254547914493369,0.025118440377275064,0.002068019172993084,0.0012141496721232198,0.0159260276847906,0.002967996606326386,0.0026914470621673967,0.0029876739846520614]"
E_K,0,E_K_W,fit,S,0.5514042497745603,"[0.662266375057291,0.5248143409300784,0.44429516896285526,0.7630009952968259,0.6269221895987377,0.5816892555589235,0.5917326813874794,0.5030928177145727,0.5608657092395339,0.35210703577960667,0.5403362603851208,0.5951634703680861,0.4756400310328955,0.6187934559334867,0.4421584237650637,0.5395897853824069]"
E_K,0,E_K_W,source_validation,R,0.5795001127816121,"[0.6476963131380225,0.5825607092812851,0.7566124148550631,0.6740156392802855,0.701691549140674,0.5423681890371517,0.8080508327389768,0.9125516069540841,0.5024521447819575,0.7018417430044984,0.21591366018766403,0.49539490686139254,0.5702061860819407,0.2878838218054222,0.504054291070784,0.368707796286589]"
E_K,0,E_K_W,source_validation,E,0.022135120199027032,"[0.030332456040935263,0.04707397142909044,0.06810786789104882,0.037945185097120804,0.004465731556890985,0.02487566333611389,0.02320688512748562,0.06441331014077686,0.0021945134293617605,0.024320388382259514,0.0019950976532288702,0.0011672594457008034,0.01562048541996527,0.00282553471426239,0.0027143964915856563,0.002903177028605548]"
E_K,0,E_K_W,source_validation,S,0.5501419714375337,"[0.6946574164011403,0.5139626246274271,0.4410694172983777,0.7649579691381474,0.6081086909478024,0.5656356945260449,0.570806853439649,0.49250746074518736,0.5539357099609525,0.36364976726343284,0.5427026214226208,0.5908982135439549,0.48832169953729904,0.6023189586729258,0.4618236809690082,0.5469147645065694]"
