seed,comparison,left,right,role,target,audit_budget,selector,split,left_value,right_value,left_minus_right,signed_gain_left_minus_right
0,D_minus_C,E_F_D,E_F_C,transfer,income_binary,,primary,validation_person_weighted,0.28697292773089605,0.2883987558444691,-0.0014258281135730577,
0,D_minus_C,E_F_D,E_F_C,transfer,income_binary,,primary,development_evaluation_person_weighted,0.3192078727790466,0.31391456846657967,0.00529330431246694,
0,D_minus_C,E_F_D,E_F_C,transfer,civilian_at_work,,primary,validation,0.31758102416369255,0.3166388039096081,0.0009422202540844693,
0,D_minus_C,E_F_D,E_F_C,transfer,civilian_at_work,,primary,development_evaluation,0.2892630254226533,0.2859316895333967,0.0033313358892566036,
0,D_minus_C,E_F_D,E_F_C,transfer,civilian_at_work,,primary,validation_person_weighted,0.31466465707339164,0.31363558492518695,0.0010290721482046905,
0,D_minus_C,E_F_D,E_F_C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,0.2703303429582994,0.26800632579208944,0.0023240171662099463,
0,D_minus_C,E_F_D,E_F_C,transfer,public_coverage,,primary,validation,0.49378765859233237,0.495789939615989,-0.002002281023656627,
0,D_minus_C,E_F_D,E_F_C,transfer,public_coverage,,primary,development_evaluation,0.5174383410218873,0.5138284369320303,0.0036099040898570633,
0,D_minus_C,E_F_D,E_F_C,transfer,public_coverage,,primary,validation_person_weighted,0.5101161704639873,0.5100801232309068,3.6047233080482854e-05,
0,D_minus_C,E_F_D,E_F_C,transfer,public_coverage,,primary,development_evaluation_person_weighted,0.5284346928019994,0.5256478466740103,0.0027868461279890733,
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,primary,validation,0.6758554457769218,0.6736821573001165,0.002173288476805313,-0.002173288476805313
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,primary,development_evaluation,0.6816838573897842,0.6812109668901247,0.00047289049965948404,-0.00047289049965948404
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,primary,validation_person_weighted,0.6730926898774319,0.6724362572637164,0.0006564326137155074,-0.0006564326137155074
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,primary,development_evaluation_person_weighted,0.6834332333085297,0.6847815142068717,-0.001348280898342047,0.001348280898342047
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,primary,validation,1.2487641825857096,1.2462505527254966,0.0025136298602130847,-0.0025136298602130847
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,primary,development_evaluation,1.2318067695594441,1.2308692561384535,0.0009375134209905767,-0.0009375134209905767
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,primary,validation_person_weighted,1.2581063565151662,1.2551885940234588,0.0029177624917073874,-0.0029177624917073874
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,1.2150538433352902,1.2136239833684748,0.0014298599668154388,-0.0014298599668154388
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,pooled,validation,0.6623720131017078,0.6597168715240799,0.0026551415776279175,-0.0026551415776279175
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,pooled,development_evaluation,0.6712540370450266,0.6690627973168664,0.002191239728160266,-0.002191239728160266
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,pooled,validation_person_weighted,0.6591917742819782,0.6606331120276733,-0.0014413377456951038,0.0014413377456951038
0,D_minus_C,E_F_D,E_F_C,audit,SEX,120,pooled,development_evaluation_person_weighted,0.6716379110130878,0.6716429527741451,-5.041761057311689e-06,5.041761057311689e-06
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,pooled,validation,1.2291893064086064,1.2214579202162996,0.007731386192306733,-0.007731386192306733
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,pooled,development_evaluation,1.2174342617050875,1.219496106810147,-0.0020618451050595787,0.0020618451050595787
0,D_minus_C,E_F_D,E_F_C,audit,RAC1P,120,pooled,validation_person_weighted,1.2380061945237018,1.2307355777717603,0.0072706167519414056,-0.0072706167519414056
