seed,release,role,target,selector,split,log_loss,prior_relative_gain,candidate,evidence_audit_budget
0,S_direct,transfer,income_binary,primary,validation,0.34030031879794215,,mlp,
0,S_direct,transfer,income_binary,primary,development_evaluation,0.33228690204589656,,mlp,
0,S_direct,transfer,income_binary,primary,validation_person_weighted,0.32009947265913613,,mlp,
0,S_direct,transfer,income_binary,primary,development_evaluation_person_weighted,0.34421426973104247,,mlp,
0,S_direct,transfer,civilian_at_work,primary,validation,0.3777075687028592,,mlp,
0,S_direct,transfer,civilian_at_work,primary,development_evaluation,0.37025297091081544,,mlp,
0,S_direct,transfer,civilian_at_work,primary,validation_person_weighted,0.37538699630888045,,mlp,
0,S_direct,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.3602416152901455,,mlp,
0,S_direct,transfer,public_coverage,primary,validation,0.5108871824274528,,mlp,
0,S_direct,transfer,public_coverage,primary,development_evaluation,0.5338881831187625,,mlp,
0,S_direct,transfer,public_coverage,primary,validation_person_weighted,0.5182498175823559,,mlp,
0,S_direct,transfer,public_coverage,primary,development_evaluation_person_weighted,0.5426087250437301,,mlp,
0,S_direct,audit,SEX,primary,validation,0.6678472594735618,0.025017128595597016,mlp_1,360
0,S_direct,audit,SEX,primary,development_evaluation,0.6846655868091783,0.008236645460400704,mlp_1,360
0,S_direct,audit,SEX,primary,validation_person_weighted,0.6652514251890111,0.027238698154324115,mlp_1,360
0,S_direct,audit,SEX,primary,development_evaluation_person_weighted,0.6862812119541546,0.006502794393712263,mlp_1,360
0,S_direct,audit,RAC1P,primary,validation,1.233206354105493,0.04380330565328783,mlp_0,360
0,S_direct,audit,RAC1P,primary,development_evaluation,1.2212790054137392,0.0659493078308433,mlp_0,360
0,S_direct,audit,RAC1P,primary,validation_person_weighted,1.2432636902481942,0.04223791663187071,mlp_0,360
0,S_direct,audit,RAC1P,primary,development_evaluation_person_weighted,1.2026306348645657,0.05832951175242118,mlp_0,360
0,S_direct,audit,SEX,pooled,validation,0.6678472594735618,0.025017128595597016,mlp_1,360
0,S_direct,audit,SEX,pooled,development_evaluation,0.6846655868091783,0.008236645460400704,mlp_1,360
0,S_direct,audit,SEX,pooled,validation_person_weighted,0.6652514251890111,0.027238698154324115,mlp_1,360
