anchor,configuration,arm,budget,role,weighting,fit_status,audit_status,registered_feasible,fallback,release_sha256,alias_of,n_people,n_households,release_loss,H_loss,H_minus_release,audit_selected_route
0,a0_u0p0_b020,U0P0,b020,attack:A/RAC1P,U,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u0p0_b020,U0P0,b020,attack:A/RAC1P,PWGTP,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u0p0_b020,U0P0,b020,attack:AB/SEX,U,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u0p0_b020,U0P0,b020,attack:AB/SEX,PWGTP,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u0p0_b020,U0P0,b020,attack:AB/RAC1P,U,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u0p0_b020,U0P0,b020,attack:AB/RAC1P,PWGTP,optimal,complete,True,False,50182d0ba0cf16405adda74662a0747f14f8cfa982a27b4be56f80bdb984f6bf,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
0,a0_u1p0_b005,U1P0,b005,utility:A/same_residence,U,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,0.5050515876884045,0.5328579213725678,0.027806333684163298,own/mlp_120
0,a0_u1p0_b005,U1P0,b005,utility:A/same_residence,PWGTP,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,0.47321875848576794,0.5008645741906776,0.027645815704909704,own/mlp_120
0,a0_u1p0_b005,U1P0,b005,attack:A/SEX,U,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u1p0_b005,U1P0,b005,attack:A/SEX,PWGTP,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
0,a0_u1p0_b005,U1P0,b005,attack:A/RAC1P,U,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
0,a0_u1p0_b005,U1P0,b005,attack:A/RAC1P,PWGTP,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,1.2642272681067221,1.2642272681067221,0.0,H/mlp_120
0,a0_u1p0_b005,U1P0,b005,attack:AB/SEX,U,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,0.6939511882247802,0.6939511882247802,0.0,H/hist_gb_20
0,a0_u1p0_b005,U1P0,b005,attack:AB/SEX,PWGTP,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,0.6936913360928808,0.6936913360928808,0.0,H/hist_gb_20
0,a0_u1p0_b005,U1P0,b005,attack:AB/RAC1P,U,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,1.219956702875183,1.219956702875183,0.0,H/mlp_120
0,a0_u1p0_b005,U1P0,b005,attack:AB/RAC1P,PWGTP,optimal,complete,True,False,e61663466dbf8057895fe633875d8d211c5728a5e093fc11ecb5f0fa1c2919eb,,1494,1004,1.2438043873661795,1.2438043873661795,0.0,H/mlp_120
0,a0_u1p0_b010,U1P0,b010,utility:A/same_residence,U,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,0.5015107861331904,0.5328579213725678,0.03134713523937738,own/mlp_120
0,a0_u1p0_b010,U1P0,b010,utility:A/same_residence,PWGTP,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,0.46875742375266116,0.5008645741906776,0.032107150438016485,own/mlp_120
0,a0_u1p0_b010,U1P0,b010,attack:A/SEX,U,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,0.6853273911417861,0.6853273911417861,0.0,H/mlp_120
0,a0_u1p0_b010,U1P0,b010,attack:A/SEX,PWGTP,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,0.6879099878504567,0.6879099878504567,0.0,H/mlp_120
0,a0_u1p0_b010,U1P0,b010,attack:A/RAC1P,U,optimal,complete,True,False,ef6c2a8142b66c1155eff73288f23b29848fc2eafe50fc038721a53796d22f09,,1494,1004,1.254400079686015,1.254400079686015,0.0,H/mlp_120
