unit,seed,release,split,target,mean_mse,per_coordinate_mse
static,1,E_direct,development_evaluation,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,1,E_direct,development_evaluation,S,0.6038816832344249,"[0.5441196460013221,0.4739254149823772,0.6006560135667702,0.4347232808229126,0.8223306212621532,0.7030137535691351,0.4451695687497528,0.545206139765442,0.5467125352270179,0.5646867312192676,0.5800562513215115,0.7205237064854086,0.7219662567437349,0.7525350951151376,0.5416163192672311,0.6648655976516243]"
static,1,S_direct,fit,R,0.5625000023345211,"[0.5797580579073766,0.9196042279811772,0.6914953776126409,0.6198089237352327,0.535215681594914,0.5990310514973949,0.8759004215551494,0.3724677377020365,0.1848094090477504,0.6147221312141535,0.868012487036624,0.5838153416863464,0.3324487417272799,0.3200096325382187,0.4454315964784763,0.45746921803756696]"
static,1,S_direct,fit,E,0.6214129513574658,"[0.5598899366248821,0.5137228162281393,0.5947447480451344,0.4362448759376627,0.8576015744607852,0.7255767025534514,0.44934505843461664,0.5608094927016221,0.5721374604374019,0.5758015331450181,0.594699381724331,0.7577963530223297,0.7535290578824718,0.7396647579458747,0.5681770476759941,0.6828664248997369]"
static,1,S_direct,fit,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,1,S_direct,source_validation,R,0.5562207289507113,"[0.5740931079627932,0.8736546768943821,0.6567981746490797,0.6389362677007839,0.5300414559898124,0.5971491159643244,0.9260551457410237,0.3982043523597339,0.17920170795923415,0.574772002886484,0.8621587858946832,0.5884446019018355,0.32588249378400475,0.3098946361636261,0.41077305665633024,0.45347208070324935]"
static,1,S_direct,source_validation,E,0.6162449343608591,"[0.5523408413367868,0.5222708253529327,0.5821067710606338,0.4376750188456709,0.8343083915421252,0.7325036332077258,0.45053947125337646,0.549586803749899,0.5495141260148557,0.5606157474950383,0.59213609820178,0.7449036160094993,0.7284804890998985,0.7829257715099749,0.5447391157644447,0.6952722293291036]"
static,1,S_direct,source_validation,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,1,S_direct,development_evaluation,R,0.5489219839359988,"[0.5750944318922009,0.8629438909362235,0.6801871988004135,0.6091759796289714,0.5358913145559696,0.5995320236834842,0.8812185162110445,0.3564086718900265,0.18255767018728805,0.5860771603335704,0.8533902970262168,0.5367989714282575,0.31706219288542564,0.32228661613463927,0.4369864070281399,0.44714040035410935]"
static,1,S_direct,development_evaluation,E,0.6038816832344249,"[0.5441196460013221,0.4739254149823772,0.6006560135667702,0.4347232808229126,0.8223306212621532,0.7030137535691351,0.4451695687497528,0.545206139765442,0.5467125352270179,0.5646867312192676,0.5800562513215115,0.7205237064854086,0.7219662567437349,0.7525350951151376,0.5416163192672311,0.6648655976516243]"
static,1,S_direct,development_evaluation,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,2,E_direct,fit,R,0.5000000286445682,"[0.6085970861516383,0.6126130692282163,0.7228875804524559,0.5416171349363665,0.8358015620414977,0.4684030502154316,0.48314355320214813,0.5725648404152202,0.39388714178756484,0.7700373107153413,0.07059874121929961,0.38515315468601014,0.365932435441761,0.3313911378013955,0.3045435006257236,0.5328291593930206]"
static,2,E_direct,fit,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,2,E_direct,fit,S,0.5011545866519309,"[0.4425549601327225,0.41138630879747273,0.5892238867957148,0.6012577654580898,0.5399410260141727,0.5658560413970558,0.5435407644386957,0.35541932118409575,0.5568137613144422,0.25655235012905825,0.3740421038958341,0.5873547614750094,0.5264024893018051,0.6083769630145753,0.5544924257094648,0.5052584573726856]"
static,2,E_direct,source_validation,R,0.49353731845529114,"[0.588652024999197,0.6027268877693421,0.7011816381770429,0.5296173817759026,0.8416719287017655,0.45822804751343343,0.4542006034498539,0.5870614216381924,0.3964788173270112,0.7669264675139364,0.0713750266803268,0.3858082355664411,0.34691641386106803,0.33096849505151055,0.2871736881526063,0.5476100171070286]"
static,2,E_direct,source_validation,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
