unit,seed,release,teacher,target,split,metric,coordinate,value
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,14,0.4583755088626345
static,0,E_direct,E,raw,source_validation,per_coordinate_mse_over_prior,15,0.373501328616895
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,0,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,1,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,2,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,3,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,4,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,5,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,6,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,7,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,8,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,9,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,10,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,11,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,12,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,13,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,14,True
static,0,E_direct,E,raw,source_validation,per_coordinate_ratio_defined,15,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,0,0.6002144557021875
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,1,0.527719677462008
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,2,0.6945421531041966
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,3,0.790779179597405
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,4,0.6889452643392084
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,5,0.4383568465645979
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,6,0.7643492115738407
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,7,0.9442116710385837
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,8,0.5080660873222809
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,9,0.7392035799261809
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,10,0.2060120195025627
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,11,0.4909243352287533
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,12,0.5135357709804762
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,13,0.2764738407971234
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,14,0.464936089275023
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse,15,0.3429356466858891
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,0,0.9550203339797398
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,1,0.959698676715441
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,2,1.0152728694883875
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,3,0.9494723695191853
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,4,1.0605257513904214
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,5,1.0181820921777558
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,6,1.0772781553741217
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,7,1.046307267602392
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,8,0.9857328381959477
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,9,1.0532985840987015
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,10,1.0033313716106878
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,11,1.0244540302042826
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,12,1.0166150195757857
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,13,0.9412144551957943
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,14,1.0166748977511841
static,0,E_direct,E,raw,development_evaluation,prior_per_coordinate_mse,15,1.0061772810145502
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,0,0.954270426218679
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,1,0.959697574304562
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,2,1.0152514594210678
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,3,0.9463579409851339
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,4,1.06034098673176
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,5,1.0178462436123863
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,6,1.0756710557467635
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,7,1.0462586571790633
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,8,0.985730796315139
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,9,1.0532246183612362
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,10,1.003239202554339
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,11,1.0244538871380806
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,12,1.0158810791722606
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,13,0.9404247390860269
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,14,1.0166716460702114
static,0,E_direct,E,raw,development_evaluation,target_variance_per_coordinate,15,1.0061258841447858
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,0,0.6284834305055965
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,1,0.549880593008759
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,2,0.6840940736003196
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,3,0.832861708232602
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,4,0.6496261532885499
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,5,0.43052892987639474
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,6,0.709518899794635
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,7,0.9024229308874441
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,8,0.5154196630520343
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,9,0.701798702747437
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,10,0.20532799564698492
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,11,0.4792058215934393
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,12,0.505142813249764
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,13,0.29374160083379774
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,14,0.4573104837184729
static,0,E_direct,E,raw,development_evaluation,per_coordinate_mse_over_prior,15,0.3408302424997111
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,0,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,1,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,2,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,3,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,4,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,5,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,6,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,7,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,8,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,9,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,10,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,11,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,12,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,13,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,14,True
static,0,E_direct,E,raw,development_evaluation,per_coordinate_ratio_defined,15,True
static,0,E_direct,E,E,fit,per_coordinate_mse,0,9.275971027371678e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,1,1.8702763617605301e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,2,7.172980935580667e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,3,7.431788483659033e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,4,4.040249762849581e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,5,1.0852800874899084e-30
static,0,E_direct,E,E,fit,per_coordinate_mse,6,3.621973649894478e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,7,1.3060870653155324e-30
static,0,E_direct,E,E,fit,per_coordinate_mse,8,6.2795254761495855e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,9,6.388204333998564e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,10,6.301045749255779e-31
static,0,E_direct,E,E,fit,per_coordinate_mse,11,3.169985786472157e-30
static,0,E_direct,E,E,fit,per_coordinate_mse,12,4.2016167670004466e-30
static,0,E_direct,E,E,fit,per_coordinate_mse,13,1.447330176831023e-29
static,0,E_direct,E,E,fit,per_coordinate_mse,14,1.2858821196307873e-30
static,0,E_direct,E,E,fit,per_coordinate_mse,15,6.103149785946555e-30
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,0,0.33687322568714717
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,1,0.43300764637162614
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,2,0.32462424947097956
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,3,0.20298040592917418
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,4,0.3333143257415748
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,5,0.5521372466729674
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,6,0.27461891266170246
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,7,0.11272261475230132
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,8,0.4834656432947619
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,9,0.2763609024934107
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,10,0.7963809665187764
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,11,0.5079313072081311
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,12,0.4926971829006959
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,13,0.7047355749368495
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,14,0.5134248801309574
static,0,E_direct,E,E,fit,prior_per_coordinate_mse,15,0.6547253320409113
static,0,E_direct,E,E,fit,target_variance_per_coordinate,0,0.33687322568714717
static,0,E_direct,E,E,fit,target_variance_per_coordinate,1,0.43300764637162614
static,0,E_direct,E,E,fit,target_variance_per_coordinate,2,0.32462424947097956
static,0,E_direct,E,E,fit,target_variance_per_coordinate,3,0.20298040592917418
static,0,E_direct,E,E,fit,target_variance_per_coordinate,4,0.3333143257415748
static,0,E_direct,E,E,fit,target_variance_per_coordinate,5,0.5521372466729674
static,0,E_direct,E,E,fit,target_variance_per_coordinate,6,0.27461891266170246
static,0,E_direct,E,E,fit,target_variance_per_coordinate,7,0.11272261475230132
static,0,E_direct,E,E,fit,target_variance_per_coordinate,8,0.4834656432947619
static,0,E_direct,E,E,fit,target_variance_per_coordinate,9,0.2763609024934107
static,0,E_direct,E,E,fit,target_variance_per_coordinate,10,0.7963809665187764
static,0,E_direct,E,E,fit,target_variance_per_coordinate,11,0.5079313072081311
static,0,E_direct,E,E,fit,target_variance_per_coordinate,12,0.4926971829006959
static,0,E_direct,E,E,fit,target_variance_per_coordinate,13,0.7047355749368495
static,0,E_direct,E,E,fit,target_variance_per_coordinate,14,0.5134248801309574
static,0,E_direct,E,E,fit,target_variance_per_coordinate,15,0.6547253320409113
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,0,2.753549501730433e-30
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,1,4.319268672118037e-31
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,2,2.209625727982441e-30
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,3,3.661332949670128e-30
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,4,1.2121440486725633e-30
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,5,1.965598397915588e-30
static,0,E_direct,E,E,fit,per_coordinate_mse_over_prior,6,1.3189090346287676e-30
