seed,release,target,split,selector,loss_120,loss_360,loss_360_minus_120
0,R_rho0_C,SEX,development_evaluation,candidate:hist_gb_20,0.6864234326825169,0.6864234326825169,0.0
0,R_rho0_C,SEX,development_evaluation,candidate:hist_gb_5,0.690817594500255,0.690817594500255,0.0
0,R_rho0_C,SEX,development_evaluation,candidate:catchup,0.675441664001844,0.675441664001844,0.0
0,R_rho0_C,SEX,development_evaluation,candidate:saved_adversary,0.7066952748318241,0.7066952748318241,0.0
0,R_rho0_C,SEX,validation_person_weighted,primary,0.6447036723694908,0.6447036723694908,0.0
0,R_rho0_C,SEX,validation_person_weighted,pooled,0.6447036723694908,0.6447036723694908,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:logistic,0.6613353429239981,0.6613353429239981,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:mlp_0,0.6504028264812949,0.6504028264812949,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:mlp_1,0.6447036723694908,0.6447036723694908,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:hist_gb_20,0.6702392541749098,0.6702392541749098,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:hist_gb_5,0.6732477992214213,0.6732477992214213,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:catchup,0.6734824807969984,0.6734824807969984,0.0
0,R_rho0_C,SEX,validation_person_weighted,candidate:saved_adversary,0.6981296561659528,0.6981296561659528,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,primary,0.6594938738654994,0.6594938738654994,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,pooled,0.6594938738654994,0.6594938738654994,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:logistic,0.6699573103409803,0.6699573103409803,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:mlp_0,0.6571247794091343,0.6571247794091343,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:mlp_1,0.6594938738654994,0.6594938738654994,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:hist_gb_20,0.6868204437440453,0.6868204437440453,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:hist_gb_5,0.6891496546379471,0.6891496546379471,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:catchup,0.6744669372712839,0.6744669372712839,0.0
0,R_rho0_C,SEX,development_evaluation_person_weighted,candidate:saved_adversary,0.7024592769893283,0.7024592769893283,0.0
0,R_rho0_C,RAC1P,validation,primary,1.2198284939391515,1.2198284939391515,0.0
