seed,role,target,audit_budget,selector,split,reference_teacher,arm,comparison,E_rho0,E_rho0p1,reference_rho0,reference_rho0p1,E_reconstruction_delta,reference_reconstruction_delta,left_minus_right,signed_gain_interaction
0,transfer,public_coverage,,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0006684850329194969,0.0006806952586776438,-0.0013491802915971407,
0,transfer,public_coverage,,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0006684850329194969,-0.001342616636729077,0.0006741316038095801,
0,transfer,public_coverage,,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.001931158423762791,0.0016768425272937204,0.0002543158964690706,
0,transfer,public_coverage,,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.001931158423762791,-0.004479539699885571,0.006410698123648362,
0,transfer,public_coverage,,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0013552940438628092,0.00020432947377568844,-0.0015596235176384976,
0,transfer,public_coverage,,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0013552940438628092,-0.0028133318579203204,0.0014580378140575112,
0,audit,SEX,120,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.001704645999888954,0.001786583676199216,-8.193767631026194e-05,8.193767631026194e-05
0,audit,SEX,120,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.001704645999888954,0.0018733129744257226,-0.0001686669745367686,0.0001686669745367686
0,audit,SEX,120,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.009531920154223328,0.0013741882206077527,0.008157731933615575,-0.008157731933615575
0,audit,SEX,120,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.009531920154223328,-0.00014166465508758108,0.009673584809310909,-0.009673584809310909
0,audit,SEX,120,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0006588197844709098,-0.00028278278197912954,0.0009416025664500394,-0.0009416025664500394
0,audit,SEX,120,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0006588197844709098,0.002559541182587055,-0.0019007213981161453,0.0019007213981161453
0,audit,SEX,120,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.008286710094541738,-0.00024368512738792703,0.008530395221929665,-0.008530395221929665
0,audit,SEX,120,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.008286710094541738,-0.0009593930734275169,0.009246103167969255,-0.009246103167969255
0,audit,RAC1P,120,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.002329122685172269,0.001131031548421646,0.001198091136750623,-0.001198091136750623
