release,role,target,audit_budget,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
R_rho0p1_C,audit,SEX,360,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.031199475005354877,0.0015995612814186763
R_rho0p1_C,audit,RAC1P,360,pooled,validation,log_loss,3,3,True,1.2078725372168049,0.010051907566840584
R_rho0p1_C,audit,RAC1P,360,pooled,validation,signed_prior_relative_gain,3,3,True,0.07562451610791772,0.015081065560194897
R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation,log_loss,3,3,True,1.2094700530467146,0.018910040897338016
R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.08057259611735075,0.007407733281900256
R_rho0p1_C,audit,RAC1P,360,pooled,validation_person_weighted,log_loss,3,3,True,1.2131941428213697,0.011020645833585375
R_rho0p1_C,audit,RAC1P,360,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.0715105893018672,0.012374934601303508
R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,log_loss,3,3,True,1.210146841149017,0.0366644726210249
R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07709508086986012,0.0045459707673480895
R_rho0p1_D,transfer,same_residence,,primary,validation,log_loss,3,3,True,0.504519106822531,0.006234595024887556
R_rho0p1_D,transfer,same_residence,,primary,development_evaluation,log_loss,3,3,True,0.49258292404191606,0.0027355377610265973
R_rho0p1_D,transfer,same_residence,,primary,validation_person_weighted,log_loss,3,3,True,0.4803999645044011,0.004657289027993842
R_rho0p1_D,transfer,same_residence,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.47207618872407625,0.010296454926811206
R_rho0p1_D,transfer,commute_over20,,primary,validation,log_loss,3,3,True,0.6755762150300006,0.0019090395540173651
R_rho0p1_D,transfer,commute_over20,,primary,development_evaluation,log_loss,3,3,True,0.6859328898064503,0.003862515784230211
R_rho0p1_D,transfer,commute_over20,,primary,validation_person_weighted,log_loss,3,3,True,0.674535167835272,0.0014142776023900487
R_rho0p1_D,transfer,commute_over20,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.6893012685303881,0.005741530341255813
R_rho0p1_D,transfer,income_binary,,primary,validation,log_loss,3,3,True,0.29896412609896905,0.0038773276093270587
R_rho0p1_D,transfer,income_binary,,primary,development_evaluation,log_loss,3,3,True,0.2910188698526315,0.006536640520147953
R_rho0p1_D,transfer,income_binary,,primary,validation_person_weighted,log_loss,3,3,True,0.2956171462235602,0.013797107536983476
R_rho0p1_D,transfer,income_binary,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.3020292759225498,0.010603135486875238
R_rho0p1_D,transfer,civilian_at_work,,primary,validation,log_loss,3,3,True,0.2959276470113561,0.010076544913439595
R_rho0p1_D,transfer,civilian_at_work,,primary,development_evaluation,log_loss,3,3,True,0.28294352776495285,0.00758136589918109
R_rho0p1_D,transfer,civilian_at_work,,primary,validation_person_weighted,log_loss,3,3,True,0.296037498604654,0.0084120008403959
R_rho0p1_D,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.2749798184419971,0.014427235874650219
R_rho0p1_D,transfer,public_coverage,,primary,validation,log_loss,3,3,True,0.4864146638881678,0.00322840100232989
R_rho0p1_D,transfer,public_coverage,,primary,development_evaluation,log_loss,3,3,True,0.4995258244989231,0.011044412641838747
R_rho0p1_D,transfer,public_coverage,,primary,validation_person_weighted,log_loss,3,3,True,0.49817921435634954,0.00498217247369764
R_rho0p1_D,transfer,public_coverage,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.5062956211230744,0.011767508672720601
R_rho0p1_D,audit,SEX,120,primary,validation,log_loss,3,3,True,0.6561773505520854,0.007340527543840555
R_rho0p1_D,audit,SEX,120,primary,validation,signed_prior_relative_gain,3,3,True,0.03621026801473629,0.0077040124263056415
R_rho0p1_D,audit,SEX,120,primary,development_evaluation,log_loss,3,3,True,0.6582284206762091,0.002700359231055731
R_rho0p1_D,audit,SEX,120,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.03445828308045751,0.002226096964368476
R_rho0p1_D,audit,SEX,120,primary,validation_person_weighted,log_loss,3,3,True,0.657674689824526,0.012972871400154037
R_rho0p1_D,audit,SEX,120,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03465032349732541,0.012986839603673412
R_rho0p1_D,audit,SEX,120,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.6611612543003338,0.0011472859976804542
R_rho0p1_D,audit,SEX,120,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.030952168519654138,0.0017986279704223784
R_rho0p1_D,audit,RAC1P,120,primary,validation,log_loss,3,3,True,1.2082288391830183,0.010159792812803782
R_rho0p1_D,audit,RAC1P,120,primary,validation,signed_prior_relative_gain,3,3,True,0.07526821414170426,0.015247116901485103
