seed,release,target,candidate,new_fitting,selected_epoch,last_epoch,last_minus_best_validation_loss
2,beta1_C_warmup_only,SEX,mlp_1,False,20,360,0.33542500057176716
2,beta1_C_warmup_only,SEX,catchup,False,15,360,0.4748738703035408
2,beta1_C_warmup_only,RAC1P,mlp_0,False,25,360,0.3922300108284509
2,beta1_C_warmup_only,RAC1P,mlp_1,False,30,360,0.4850761517730531
2,beta1_C_warmup_only,RAC1P,catchup,False,10,360,0.4943309530619835
2,beta1_D_warmup_only,SEX,mlp_0,False,15,360,0.2939958581899548
2,beta1_D_warmup_only,SEX,mlp_1,False,20,360,0.30367600825207086
2,beta1_D_warmup_only,SEX,catchup,False,5,360,0.43149215293410015
2,beta1_D_warmup_only,RAC1P,mlp_0,False,40,360,0.3341051644184756
2,beta1_D_warmup_only,RAC1P,mlp_1,False,40,360,0.3681404047449912
2,beta1_D_warmup_only,RAC1P,catchup,False,5,360,0.3422173584032715
2,R_rho0p1_C,SEX,mlp_0,False,15,360,0.3354695825176047
2,R_rho0p1_C,SEX,mlp_1,False,15,360,0.3148609519128056
2,R_rho0p1_C,SEX,catchup,False,20,360,0.34122687840598886
2,R_rho0p1_C,RAC1P,mlp_0,False,20,360,0.3201101721102486
2,R_rho0p1_C,RAC1P,mlp_1,False,20,360,0.4546906187149775
2,R_rho0p1_C,RAC1P,catchup,False,15,360,0.3539107386350715
2,R_rho0p1_D,SEX,mlp_0,False,15,360,0.33931341212728083
2,R_rho0p1_D,SEX,mlp_1,False,15,360,0.29224781770489894
2,R_rho0p1_D,SEX,catchup,False,10,360,0.39462483126495784
2,R_rho0p1_D,RAC1P,mlp_0,False,20,360,0.33448923048084667
2,R_rho0p1_D,RAC1P,mlp_1,False,20,360,0.4310566266526814
2,R_rho0p1_D,RAC1P,catchup,False,15,360,0.2998237381776099
2,B_rich_bank,SEX,mlp_0,False,50,360,0.058875301394397894
2,B_rich_bank,SEX,mlp_1,False,30,360,0.08424869270449886
2,B_rich_bank,RAC1P,mlp_0,False,70,360,0.06191762266375034
2,B_rich_bank,RAC1P,mlp_1,False,80,360,0.061834907646465265
2,B_rich_bank_leace,SEX,mlp_0,False,40,120,0.020335356535915672
2,B_rich_bank_leace,SEX,mlp_1,False,30,120,0.03476209919574058
2,B_rich_bank_leace,RAC1P,mlp_0,False,60,120,0.020992441604274603
2,B_rich_bank_leace,RAC1P,mlp_1,False,50,120,0.032709962601595866
2,C_tree_bank,SEX,mlp_0,False,10,360,0.2318869224650697
2,C_tree_bank,SEX,mlp_1,False,30,360,0.29314191347810337
2,C_tree_bank,RAC1P,mlp_0,False,25,360,0.20316335179788125
2,C_tree_bank,RAC1P,mlp_1,False,20,360,0.2515627887937719
2,C_tree_bank_leace,SEX,mlp_0,False,10,120,0.09722683539945454
2,C_tree_bank_leace,SEX,mlp_1,False,10,120,0.08774460836108422
2,C_tree_bank_leace,RAC1P,mlp_0,False,50,120,0.04722461455446658
2,C_tree_bank_leace,RAC1P,mlp_1,False,40,120,0.07428342166795265
2,E_pca,SEX,mlp_0,False,10,120,0.25226486702120887
2,E_pca,SEX,mlp_1,False,10,120,0.24842792578383555
2,E_pca,RAC1P,mlp_0,False,20,120,0.24652097825382402
2,E_pca,RAC1P,mlp_1,False,20,120,0.23594408826013447
2,E_pca_leace,SEX,mlp_0,False,15,120,0.1846825679042714
2,E_pca_leace,SEX,mlp_1,False,15,120,0.1772248248420667
2,E_pca_leace,RAC1P,mlp_0,False,25,120,0.18675630111998842
2,E_pca_leace,RAC1P,mlp_1,False,30,120,0.17771643191206743
2,exposed,SEX,mlp_0,False,360,360,0.0
2,exposed,SEX,mlp_1,False,360,360,0.0
2,exposed,RAC1P,mlp_0,False,360,360,0.0
2,exposed,RAC1P,mlp_1,False,360,360,0.0
2,C_init,SEX,mlp_0,False,30,360,0.33508216758975795
2,C_init,SEX,mlp_1,False,20,360,0.314839996442826
2,C_init,SEX,catchup,False,10,360,0.4775559344035607
2,C_init,RAC1P,mlp_0,False,35,360,0.3423125952784165
2,C_init,RAC1P,mlp_1,False,40,360,0.32133003140085803
2,C_init,RAC1P,catchup,False,20,360,0.42113158035835485
2,D_init,SEX,mlp_0,False,20,360,0.2741475983883648
2,D_init,SEX,mlp_1,False,20,360,0.258041372227356
2,D_init,SEX,catchup,False,10,360,0.43694662189937183
2,D_init,RAC1P,mlp_0,False,35,360,0.2909786683708111
2,D_init,RAC1P,mlp_1,False,50,360,0.2834268264581612
2,D_init,RAC1P,catchup,False,5,360,0.40170513102971817
2,C_bottleneck,SEX,mlp_0,False,15,120,0.051185220049681845
2,C_bottleneck,SEX,mlp_1,False,20,120,0.06973248799950438
2,C_bottleneck,SEX,catchup,False,15,120,0.12473137536281298
2,C_bottleneck,RAC1P,mlp_0,False,35,120,0.04589406621905012
2,C_bottleneck,RAC1P,mlp_1,False,40,120,0.04609266971426629
2,C_bottleneck,RAC1P,catchup,False,5,120,0.14233942433425306
2,D_protected,SEX,mlp_0,False,20,120,0.04495557805445172
2,D_protected,SEX,mlp_1,False,30,120,0.04393680803368527
2,D_protected,SEX,catchup,False,10,120,0.1072789676937379
2,D_protected,RAC1P,mlp_0,False,55,120,0.028916730748990815
2,D_protected,RAC1P,mlp_1,False,40,120,0.03268924125667061
2,D_protected,RAC1P,catchup,False,5,120,0.11985261217135501
2,PCA16,SEX,mlp_0,False,15,360,0.3173100835605903
2,PCA16,SEX,mlp_1,False,15,360,0.2576699971487465
2,PCA16,RAC1P,mlp_0,False,20,360,0.35702485025989716
2,PCA16,RAC1P,mlp_1,False,20,360,0.4094539902595469
0,E_direct,SEX,mlp_0,True,15,360,0.10356573422221804
0,E_direct,SEX,mlp_1,True,35,360,0.08461329374408444
0,E_direct,RAC1P,mlp_0,True,30,360,0.1236597592011337
0,E_direct,RAC1P,mlp_1,True,30,360,0.1233103972282632
0,S_direct,SEX,mlp_0,True,40,360,0.10950233541504228
0,S_direct,SEX,mlp_1,True,55,360,0.07412818332917936
0,S_direct,RAC1P,mlp_0,True,45,360,0.13927070905643335
