comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,SEX,360,pooled,development_evaluation_person_weighted,3,3,True,0.0032630717371741427,0.003301198290372214,"{""0"":0.0011280022757278463,""1"":0.0015958269615282683,""2"":0.007065385974266314}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,validation,3,3,True,-0.004924275402225176,0.005942708723668464,"{""0"":-0.008649016940739829,""1"":0.0019291385774053982,""2"":-0.008052947843341096}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation,3,3,True,0.0010417262047373033,0.0012666191436869784,"{""0"":-0.0003943548669755881,""1"":0.0019997196979735232,""2"":0.0015198137832139746}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,validation_person_weighted,3,3,True,-0.0022694240594186934,0.0068667241831696525,"{""0"":-0.0010585839854282408,""1"":0.00391134045340058,""2"":-0.00966102864622842}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,3,3,True,0.004670827428541635,0.0015473454038917218,"{""0"":0.0039353979864531485,""1"":0.003628352286224601,""2"":0.006448732012947156}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,validation,3,3,True,-0.0020830495651240253,0.0044186443806206645,"{""0"":0.00258270201976718,""1"":-0.006204077972268518,""2"":-0.0026277727428707376}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,development_evaluation,3,3,True,-0.003538728977592535,0.004685647448979032,"{""0"":-0.006357512248994501,""1"":-0.006128854521223581,""2"":0.0018701798374404777}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,validation_person_weighted,3,3,True,-0.0005811949019353483,0.006386651355227703,"{""0"":0.006709099239586902,""1"":-0.005189682011725594,""2"":-0.0032630019336673532}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,-0.003101228722613388,0.004273286213980495,"{""0"":-0.004844910273394287,""1"":-0.006226969222656309,""2"":0.0017681933282104323}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,validation,3,3,True,0.002892565074389286,0.006653104106965359,"{""0"":0.007214040384482812,""1"":-0.004768848231548772,""2"":0.006232503070233819}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,development_evaluation,3,3,True,-0.0006765519734039568,0.0013510357185537955,"{""0"":0.0007043239595597717,""1"":-0.001995626365913883,""2"":-0.000738353513857759}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,0.0035484551050395754,0.007925800950194415,"{""0"":0.00996520323604122,""1"":-0.00531123104435538,""2"":0.0059913931234328865}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,-0.003063723158370002,0.002616506834648923,"{""0"":-0.0010536748816045716,""1"":-0.006022176962640069,""2"":-0.0021153176308653654}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,validation,3,3,True,0.0033695755328219668,0.00546765908030009,"{""0"":-0.002885405157714682,""1"":0.00575429522765486,""2"":0.007239836528525723}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,development_evaluation,3,3,True,0.0003118223686738493,0.002112195103580258,"{""0"":0.0024221928186103914,""1"":-0.0018021926719939962,""2"":0.0003154669594051529}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,validation_person_weighted,3,3,True,0.002727164711114801,0.005988031254564163,"{""0"":-0.004137647378347709,""1"":0.006875311307941778,""2"":0.005443830203750333}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,-0.0006870767202999025,0.0012982996598024956,"{""0"":0.0007372181913612996,""1"":-0.0009941068966850541,""2"":-0.001804341455575953}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,validation,3,3,True,0.004461616848007148,0.002440693048678107,"{""0"":0.007114660072940038,""1"":0.0039585050926859155,""2"":0.0023116853783954894}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.0006374104386234573,0.0008530392575153898,"{""0"":0.0007551115969939848,""1"":-0.00026836741184965707,""2"":0.0014254871307260442}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,0.003433609881263844,0.0002839375851085715,"{""0"":0.0031313941262871015,""1"":0.0036948076325833967,""2"":0.0034746278849210332}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,0.0022557566336683377,0.0026794096412412496,"{""0"":-0.0005068912046500285,""1"":0.002430818261013379,""2"":0.004843342844641663}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,validation,3,3,True,-0.0032579337952365526,0.0042020403220668434,"{""0"":-0.0003978281273475104,""1"":-0.008082392253831339,""2"":-0.0012935810045308083}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,development_evaluation,3,3,True,0.0015772716754262062,0.0026017697497049516,"{""0"":0.0018972991661856398,""1"":0.004004223842915933,""2"":-0.001169707982822954}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,-0.0036404079118895947,0.006429175273069141,"{""0"":0.00024993096815217886,""1"":-0.01106127294614051,""2"":-0.00010988175768045227}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,-0.0003095850752179441,0.0021106184388232363,"{""0"":-0.0002245154711395525,""1"":0.0017572123787298333,""2"":-0.002461452133244113}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,validation,3,3,True,0.007188261848055803,0.004414966670036068,"{""0"":0.007476563155548899,""1"":0.011452012334829842,""2"":0.002636210053788668}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,development_evaluation,3,3,True,-0.00023264946677511075,0.0038364522268459055,"{""0"":-0.0019171004028309957,""1"":0.004157862132878387,""2"":-0.0029387101303727237}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,validation_person_weighted,3,3,True,0.012672994695098527,0.005807226069251684,"{""0"":0.018181676975629335,""1"":0.013229950773223642,""2"":0.006607356336442605}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,development_evaluation_person_weighted,3,3,True,0.00023329818363434138,0.003952462981518834,"{""0"":-0.0009863572051194147,""1"":0.004651838806257413,""2"":-0.0029655870502349746}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,validation,3,3,True,0.016876358785994434,0.01577749466241075,"{""0"":0.03101192959042809,""1"":0.01976189274703688,""2"":-0.00014474597948166412}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,development_evaluation,3,3,True,0.012144289779585593,0.010131431736657407,"{""0"":0.023826520021444253,""1"":0.005764628962636742,""2"":0.006841720354675784}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,0.01350549576496037,0.01574145845617738,"{""0"":0.028368816032361854,""1"":0.015135005384610878,""2"":-0.0029873341220916227}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,0.01035914748230756,0.013799820323072204,"{""0"":0.0242824189457449,""1"":-0.003313816341946163,""2"":0.01010883984312394}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,validation,3,3,True,0.0016103800230743426,0.0008896379466448327,"{""0"":0.0011444781672995674,""1"":0.0010504518481347924,""2"":0.002636210053788668}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,development_evaluation,3,3,True,-0.0035148755739213464,0.003831046924782737,"{""0"":-0.007601371856135408,""1"":-4.544735255906929e-06,""2"":-0.0029387101303727237}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,validation_person_weighted,3,3,True,0.0014751967994548105,0.005804850296567395,"{""0"":0.002643014569825297,""1"":-0.00482478050790347,""2"":0.006607356336442605}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,development_evaluation_person_weighted,3,3,True,-0.003520218305896846,0.004328615867287839,"{""0"":-0.008099417643710916,""1"":0.0005043497762553528,""2"":-0.0029655870502349746}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,pooled,validation,3,3,True,0.0003774345325693318,0.008648943005476367,"{""0"":0.010236633326604183,""1"":-0.0031732651339546614,""2"":-0.005931064594941526}"
E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation,3,3,True,0.0018116753309191935,0.016902721039187912,"{""0"":0.01736100495276749,""1"":-0.01617894463661851,""2"":0.0042529656766086}"
