seed,comparison,left,right,role,target,audit_budget,selector,split,left_value,right_value,left_candidate,right_candidate,left_evidence_audit_budget,right_evidence_audit_budget,left_minus_right,signed_gain_left_minus_right
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,primary,development_evaluation_person_weighted,0.6721236961190401,0.6731100533241595,mlp_1,mlp_0,120,120,-0.0009863572051194147,0.0009863572051194147
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,validation,1.2482646458131634,1.2172527162227353,mlp_0,logistic,120,120,0.03101192959042809,-0.03101192959042809
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,development_evaluation,1.230163078164449,1.2063365581430048,mlp_0,logistic,120,120,0.023826520021444253,-0.023826520021444253
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,validation_person_weighted,1.2568039204852501,1.2284351044528883,mlp_0,logistic,120,120,0.028368816032361854,-0.028368816032361854
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,1.212260526629277,1.187978107683532,mlp_0,logistic,120,120,0.0242824189457449,-0.0242824189457449
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,validation,0.6531150072785548,0.6519705291112552,catchup,catchup,120,120,0.0011444781672995674,-0.0011444781672995674
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,development_evaluation,0.6601121424332013,0.6677135142893367,catchup,catchup,120,120,-0.007601371856135408,0.007601371856135408
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,validation_person_weighted,0.6537004458637422,0.6510574312939169,catchup,catchup,120,120,0.002643014569825297,-0.002643014569825297
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,120,pooled,development_evaluation_person_weighted,0.6608655612686152,0.6689649789123261,catchup,catchup,120,120,-0.008099417643710916,0.008099417643710916
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,pooled,validation,1.21004844544999,1.1998118121233858,catchup,catchup,120,120,0.010236633326604183,-0.010236633326604183
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation,1.2101468107168447,1.1927858057640772,catchup,catchup,120,120,0.01736100495276749,-0.01736100495276749
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,pooled,validation_person_weighted,1.224391707162241,1.2130470252857746,catchup,catchup,120,120,0.011344681876466423,-0.011344681876466423
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,120,pooled,development_evaluation_person_weighted,1.1930496379934576,1.1702304818071427,catchup,catchup,120,120,0.022819156186314915,-0.022819156186314915
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,primary,validation,0.6668631978169091,0.6593866346613602,mlp_1,mlp_0,360,360,0.007476563155548899,-0.007476563155548899
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,primary,development_evaluation,0.6696069975803753,0.6715240979832063,mlp_1,mlp_0,360,360,-0.0019171004028309957,0.0019171004028309957
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,primary,validation_person_weighted,0.6720162950141548,0.6538346180385255,mlp_1,mlp_0,360,360,0.018181676975629335,-0.018181676975629335
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,primary,development_evaluation_person_weighted,0.6721236961190401,0.6731100533241595,mlp_1,mlp_0,360,360,-0.0009863572051194147,0.0009863572051194147
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,primary,validation,1.2482646458131634,1.2172527162227353,mlp_0,logistic,360,360,0.03101192959042809,-0.03101192959042809
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,primary,development_evaluation,1.230163078164449,1.2063365581430048,mlp_0,logistic,360,360,0.023826520021444253,-0.023826520021444253
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,primary,validation_person_weighted,1.2568039204852501,1.2284351044528883,mlp_0,logistic,360,360,0.028368816032361854,-0.028368816032361854
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,RAC1P,360,primary,development_evaluation_person_weighted,1.212260526629277,1.187978107683532,mlp_0,logistic,360,360,0.0242824189457449,-0.0242824189457449
0,E_minus_S,E_rho0p1_C,S_rho0p1_C,audit,SEX,360,pooled,validation,0.6531150072785548,0.6519705291112552,catchup,catchup,360,360,0.0011444781672995674,-0.0011444781672995674
