unit,seed,stage,point,diagnostic_scope,coefficients,protection_available,raw_protection_definition,protection_absence_reason,cosine_zero_policy,source_loss,reconstruction_mse,preservation_loss,normalized_adversary_ce,source_raw_mapper_l2,teacher_raw_mapper_l2,reconstruction_raw_mapper_l2,protection_raw_mapper_l2,teacher_reconstruction_raw_dot,teacher_reconstruction_raw_cosine,teacher_protection_raw_dot,teacher_protection_raw_cosine,source_protection_raw_dot,source_protection_raw_cosine,source_applied_mapper_l2,teacher_applied_mapper_l2,reconstruction_applied_mapper_l2,protection_applied_mapper_l2,teacher_reconstruction_applied_dot,teacher_reconstruction_applied_cosine,teacher_protection_applied_dot,teacher_protection_applied_cosine,source_protection_applied_dot,source_protection_applied_cosine,training_state_unchanged,torch_rng_unchanged,optimizer_steps,preservation_nonmapper_gradients_all_absent,source_coefficient,reconstruction_coefficient,preservation_coefficient,protection_coefficient,base_mapper_l2,protection_mapper_l2,applied_protection_mapper_l2,preservation_mapper_l2,applied_preservation_mapper_l2,protection_observer_basis,hypothetical_preobserver_warmup,diagnostic_observer_state_sha256
R_rho0,1,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.365849107503891,1.0667486190795898,0.012478144839406013,0.9300244450569153,0.185069739818573,0.14818882942199707,0.07859901338815689,0.3465190827846527,0.0010895748855546117,0.09354584928923837,0.0026562344282865524,0.05172777256678779,0.007294922601431608,0.11375175814740426,0.185069739818573,0.14818882942199707,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.185069739818573,0.034651908278465274,0.0,0.14818882942199707,0.14818882942199707,actual current observers,False,550aa993170761f57710837a4bdbb6d8075a7398873a93224a80bec9bd426321
R_rho0,1,C,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.35120734572410583,1.0670493841171265,0.009204070083796978,0.8379167318344116,0.2701861560344696,0.13953033089637756,0.07939204573631287,0.9911701083183289,0.0005819533835165203,0.05253425533817699,0.010141600854694843,0.0733313522596397,-0.0008994229137897491,-0.0033585565005351536,0.2701861560344696,0.13953033089637756,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.2701861560344696,0.09911701083183289,0.0,0.13953033089637756,0.13953033089637756,actual current observers,False,3c2a5c02f331230a0b8863e1ba6e22e1790ae425d287ebe19ae13e79cd6feb4c
R_rho0,1,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.365849107503891,1.0667486190795898,0.012478144839406013,0.9300244450569153,0.185069739818573,0.14818882942199707,0.07859901338815689,0.3465190827846527,0.0010895748855546117,0.09354584928923837,0.0026562344282865524,0.05172777256678779,0.007294922601431608,0.11375175814740426,0.185069739818573,0.14818882942199707,0.0,0.03465191647410393,0.0,,-0.00026562344282865524,-0.05172776033248228,-0.0007294922834262252,-0.11375173487419422,True,True,0,True,1.0,0.0,1.0,-0.1,0.185069739818573,0.034651908278465274,0.03465191647410393,0.14818882942199707,0.14818882942199707,actual current observers,False,550aa993170761f57710837a4bdbb6d8075a7398873a93224a80bec9bd426321
R_rho0,1,D,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.35054996609687805,1.0671405792236328,0.009376432746648788,0.8442424535751343,0.2597086727619171,0.14228393137454987,0.07914162427186966,0.8794728517532349,0.001370466547086835,0.12170477650575469,0.021185141056776047,0.16929848263544828,0.01548435352742672,0.06779289614980959,0.2597086727619171,0.14228393137454987,0.0,0.0879472941160202,0.0,,-0.0021185139194130898,-0.169298450539512,-0.0015484353061765432,-0.06779288721926623,True,True,0,True,1.0,0.0,1.0,-0.1,0.2597086727619171,0.08794728517532349,0.0879472941160202,0.14228393137454987,0.14228393137454987,actual current observers,False,0a0865cc39316bcc6d77d9ac3129aa09e5d248fb4a300a35bd2a4904b010e187
R_rho0,2,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.7162373065948486,0.986204206943512,1.6932809067247328e-15,1.375321865081787,0.28108012676239014,3.8309252659018966e-08,0.09315593540668488,0.052847426384687424,3.251639790757821e-10,0.09111465153264638,9.140098400362007e-11,0.04514642327282319,-0.0002193513500969857,-0.014766797815101729,0.28108012676239014,3.8309252659018966e-08,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.28108012676239014,0.0052847426384687425,0.0,3.8309252659018966e-08,3.8309252659018966e-08,disposable original initialization,True,2bbf69d3625d3fe8f25e63b97e565ff5d9ea0c21e0014a3e29d2f5e0270fc129
R_rho0,2,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3848450481891632,0.9859821796417236,0.011250540614128113,1.375300645828247,0.17373743653297424,0.13623954355716705,0.0870513767004013,0.055817559361457825,0.0008893738267943263,0.07499037421383775,-4.3662214011419564e-05,-0.005741584108034274,0.0005175465485081077,0.05336852063880179,0.17373743653297424,0.13623954355716705,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.17373743653297424,0.005581755936145783,0.0,0.13623954355716705,0.13623954355716705,disposable original initialization,True,2bbf69d3625d3fe8f25e63b97e565ff5d9ea0c21e0014a3e29d2f5e0270fc129
R_rho0,2,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3848450481891632,0.9859821796417236,0.011250540614128113,0.8528016805648804,0.17373743653297424,0.13623954355716705,0.0870513767004013,0.23215621709823608,0.0008893738267943263,0.07499037421383775,0.00037278796662576497,0.011786324305670783,-0.00042080681305378675,-0.010432995855696655,0.17373743653297424,0.13623954355716705,0.0,0.02321561984717846,0.0,,-3.727881994564086e-05,-0.011786332612652575,4.208071914035827e-05,0.010433006073127655,True,True,0,True,1.0,0.0,1.0,-0.1,0.17373743653297424,0.02321562170982361,0.02321561984717846,0.13623954355716705,0.13623954355716705,actual current observers,False,9384a433fbc1107b7e26f81d28d20a845345d1181eabc4014d78f34090164952
R_rho0,2,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3848450481891632,0.9859821796417236,0.011250540614128113,0.8528016805648804,0.17373743653297424,0.13623954355716705,0.0870513767004013,0.23215621709823608,0.0008893738267943263,0.07499037421383775,0.00037278796662576497,0.011786324305670783,-0.00042080681305378675,-0.010432995855696655,0.17373743653297424,0.13623954355716705,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.17373743653297424,0.02321562170982361,0.0,0.13623954355716705,0.13623954355716705,actual current observers,False,9384a433fbc1107b7e26f81d28d20a845345d1181eabc4014d78f34090164952
R_rho0,2,C,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.37430596351623535,0.9870216846466064,0.00858032051473856,0.7852858901023865,0.2736351788043976,0.11647732555866241,0.08896715939044952,0.7440689206123352,0.00013294830569066107,0.012829557941175391,-0.00402242224663496,-0.04641230131348194,-0.004741719923913479,-0.023288998000681592,0.2736351788043976,0.11647732555866241,0.0,0.0,0.0,,0.0,,0.0,,True,True,0,True,1.0,0.0,1.0,0.0,0.2736351788043976,0.07440689206123352,0.0,0.11647732555866241,0.11647732555866241,actual current observers,False,5029c8b34a9e7f671df37722e57e75800ade0994d7cf48e0c6acab672ca902ae
R_rho0,2,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3848450481891632,0.9859821796417236,0.011250540614128113,0.8528016805648804,0.17373743653297424,0.13623954355716705,0.0870513767004013,0.23215621709823608,0.0008893738267943263,0.07499037421383775,0.00037278796662576497,0.011786324305670783,-0.00042080681305378675,-0.010432995855696655,0.17373743653297424,0.13623954355716705,0.0,0.02321561984717846,0.0,,-3.727881994564086e-05,-0.011786332612652575,4.208071914035827e-05,0.010433006073127655,True,True,0,True,1.0,0.0,1.0,-0.1,0.17373743653297424,0.02321562170982361,0.02321561984717846,0.13623954355716705,0.13623954355716705,actual current observers,False,9384a433fbc1107b7e26f81d28d20a845345d1181eabc4014d78f34090164952
R_rho0,2,D,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.0,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3755771219730377,0.9871058464050293,0.00914081186056137,0.7755335569381714,0.2841135859489441,0.13107797503471375,0.08941739052534103,0.7161211967468262,0.0013625884894281626,0.11625536410375244,0.0025019687600433826,0.026654198667631433,0.004369053058326244,0.021473794292044417,0.2841135859489441,0.13107797503471375,0.0,0.07161212712526321,0.0,,-0.00025019689928740263,-0.026654198374920272,-0.0004369053931441158,-0.021473796349233472,True,True,0,True,1.0,0.0,1.0,-0.1,0.2841135859489441,0.07161211967468262,0.07161212712526321,0.13107797503471375,0.13107797503471375,actual current observers,False,25ab9ac592247873b4cf60aedbdd4a38e022cd4fdd21121fc8108cc90e8053b5
E_rho0p1,0,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.6965600848197937,0.980240523815155,0.5543379187583923,1.3740801811218262,0.3163543939590454,0.9182758927345276,0.08660498261451721,0.06335291266441345,0.004643094725906849,0.05838368220981885,0.012898195534944534,0.2217119935512801,-0.0020154397934675217,-0.10056095099598605,0.3163543939590454,0.9182758927345276,0.008660498075187206,0.0,0.0004643095307983458,0.05838369078470625,0.0,,0.0,,True,True,0,True,1.0,0.1,1.0,0.0,0.3162907063961029,0.006335291266441345,0.0,0.9182758927345276,0.9182758927345276,disposable original initialization,True,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
E_rho0p1,0,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3676149845123291,0.4061500132083893,0.035569265484809875,1.3653075695037842,0.3086405396461487,0.2418016642332077,0.6590918898582458,0.06585292518138885,0.005156589671969414,0.03235618583927957,0.0026141004636883736,0.16416777700900884,0.0005609818617813289,0.02760074334994148,0.3086405396461487,0.2418016642332077,0.06590919196605682,0.0,0.0005156590486876667,0.03235618948954118,0.0,,0.0,,True,True,0,True,1.0,0.1,1.0,0.0,0.3210933804512024,0.0065852925181388855,0.0,0.2418016642332077,0.2418016642332077,disposable original initialization,True,54a70f9f7e480640cb1c6cd2db163d92648326678747e8b91cba46317608d9b4
E_rho0p1,0,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3676149845123291,0.4061500132083893,0.035569265484809875,0.9325140714645386,0.3086405396461487,0.2418016642332077,0.6590918898582458,0.7523635029792786,0.005156589671969414,0.03235618583927957,0.008514718152582645,0.046804032409197525,0.0006149479886516929,0.0026482421638907164,0.3086405396461487,0.2418016642332077,0.06590919196605682,0.07523635029792786,0.0005156590486876667,0.03235618948954118,-0.000851471908390522,-0.04680403752852751,-6.14947421126999e-05,-0.0026482397198745538,True,True,0,True,1.0,0.1,1.0,-0.1,0.3210933804512024,0.07523635029792786,0.07523635029792786,0.2418016642332077,0.2418016642332077,actual current observers,False,24dcf92b8ad8d430248cad7ac9ef7afe882fc709a967228f3501d6fbe1124371
E_rho0p1,0,C,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3676149845123291,0.4061500132083893,0.035569265484809875,0.9325140714645386,0.3086405396461487,0.2418016642332077,0.6590918898582458,0.7523635029792786,0.005156589671969414,0.03235618583927957,0.008514718152582645,0.046804032409197525,0.0006149479886516929,0.0026482421638907164,0.3086405396461487,0.2418016642332077,0.06590919196605682,0.0,0.0005156590486876667,0.03235618948954118,0.0,,0.0,,True,True,0,True,1.0,0.1,1.0,0.0,0.3210933804512024,0.07523635029792786,0.0,0.2418016642332077,0.2418016642332077,actual current observers,False,24dcf92b8ad8d430248cad7ac9ef7afe882fc709a967228f3501d6fbe1124371
E_rho0p1,0,C,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3424486219882965,0.31186774373054504,0.025206660851836205,0.8824078440666199,0.5136526823043823,0.15445493161678314,1.5968290567398071,1.9181544780731201,0.03205299749970436,0.1299596231949011,0.02033812925219536,0.06864764505986942,0.021631641313433647,0.02195514616055311,0.5136526823043823,0.15445493161678314,0.15968289971351624,0.0,0.003205300075933337,0.12995964126213044,0.0,,0.0,,True,True,0,True,1.0,0.1,1.0,0.0,0.546929121017456,0.19181544780731202,0.0,0.15445493161678314,0.15445493161678314,actual current observers,False,8b6514b44108ac4013cfc728eb55c22ac6acf2db4ed721f853e9bf55936f993b
E_rho0p1,0,D,shared_fork,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3676149845123291,0.4061500132083893,0.035569265484809875,0.9325140714645386,0.3086405396461487,0.2418016642332077,0.6590918898582458,0.7523635029792786,0.005156589671969414,0.03235618583927957,0.008514718152582645,0.046804032409197525,0.0006149479886516929,0.0026482421638907164,0.3086405396461487,0.2418016642332077,0.06590919196605682,0.07523635029792786,0.0005156590486876667,0.03235618948954118,-0.000851471908390522,-0.04680403752852751,-6.14947421126999e-05,-0.0026482397198745538,True,True,0,True,1.0,0.1,1.0,-0.1,0.3210933804512024,0.07523635029792786,0.07523635029792786,0.2418016642332077,0.2418016642332077,actual current observers,False,24dcf92b8ad8d430248cad7ac9ef7afe882fc709a967228f3501d6fbe1124371
E_rho0p1,0,D,final,,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.3441542685031891,0.3194255232810974,0.025202054530382156,0.8795038461685181,0.5064165592193604,0.16277338564395905,2.6747446060180664,1.4631839990615845,0.12763799726963043,0.29316644724207047,0.01883179135620594,0.07906955486283669,0.04660937190055847,0.06290228314165144,0.5064165592193604,0.16277338564395905,0.2674744725227356,0.14631839096546173,0.012763801962137222,0.2931664855148802,-0.001883178949356079,-0.07906955187359463,-0.004660937003791332,-0.06290228447150027,True,True,0,True,1.0,0.1,1.0,-0.1,0.5841469168663025,0.14631839990615844,0.14631839096546173,0.16277338564395905,0.16277338564395905,actual current observers,False,855961f584940609cf0c75988c0c5326b9f85b25722e3a6133708d5737b2c89b
E_rho0p1,1,shared,initialization,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.7023024559020996,1.0667866468429565,0.5797746181488037,1.3523070812225342,0.28667011857032776,1.0656931400299072,0.08062081784009933,0.042661238461732864,0.01780080981552601,0.20718599270213076,-0.003081050468608737,-0.06776932861506824,0.0026137661188840866,0.21372279204293185,0.28667011857032776,1.0656931400299072,0.008062081411480904,0.0,0.0017800810746848583,0.20718601311547566,0.0,,0.0,,True,True,0,True,1.0,0.1,1.0,0.0,0.2865167558193207,0.004266123846173287,0.0,1.0656931400299072,1.0656931400299072,disposable original initialization,True,461a93d1af3d235cfdb1a278b996a814d1fa027de682e23dae6fc3211ef2158a
E_rho0p1,1,shared,after_base_warmup,shared-stage diagnostic,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":0.0}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.361931174993515,0.45404449105262756,0.037955109030008316,1.3518966436386108,0.3360133469104767,0.27247360348701477,0.6734761595726013,0.048811137676239014,0.0006903540343046188,0.0037620555591997935,-0.003033439628779888,-0.2280825136134936,0.0008233768166974187,0.050202249293285164,0.3360133469104767,0.27247360348701477,0.06734761595726013,0.0,6.903568282723427e-05,0.003762070784810546,0.0,,0.0,,True,True,0,True,1.0,0.1,1.0,0.0,0.34443119168281555,0.004881113767623901,0.0,0.27247360348701477,0.27247360348701477,disposable original initialization,True,461a93d1af3d235cfdb1a278b996a814d1fa027de682e23dae6fc3211ef2158a
E_rho0p1,1,shared,shared_fork,D-objective hypothetical at frozen fork; no shared-stage update,"{""source"":1.0,""teacher"":1.0,""reconstruction"":0.1,""protection"":-0.1}",True,positive mean prior-entropy-normalized adversary CE,,None if either vector has zero norm,0.361931174993515,0.45404449105262756,0.037955109030008316,0.9541836380958557,0.3360133469104767,0.27247360348701477,0.6734761595726013,1.3123900890350342,0.0006903540343046188,0.0037620555591997935,0.0002725226804614067,0.0007621058135020724,-0.01834326609969139,-0.04159653887463932,0.3360133469104767,0.27247360348701477,0.06734761595726013,0.13123901188373566,6.903568282723427e-05,0.003762070784810546,-2.725230297073722e-05,-0.0007621067728572144,0.0018343266565352678,0.041596538986014876,True,True,0,True,1.0,0.1,1.0,-0.1,0.34443119168281555,0.13123900890350343,0.13123901188373566,0.27247360348701477,0.27247360348701477,actual current observers,False,115352c0f77a1442c8f4eda173edb7f9439c6bdecf590dffd81e6ef62e7ba2a9
