seed,release,target,split,audit_budget,saved_loss,saved_candidate,fresh_loss,fresh_candidate,catchup_loss,catchup_candidate,pooled_loss,pooled_candidate
0,R_rho0_C,SEX,validation_person_weighted,120,0.6981296561659528,saved_adversary,0.6447036723694908,mlp_1,0.6734824807969984,catchup,0.6447036723694908,mlp_1
0,R_rho0_C,SEX,validation_person_weighted,360,0.6981296561659528,saved_adversary,0.6447036723694908,mlp_1,0.6734824807969984,catchup,0.6447036723694908,mlp_1
0,R_rho0_C,SEX,development_evaluation_person_weighted,120,0.7024592769893283,saved_adversary,0.6594938738654994,mlp_1,0.6744669372712839,catchup,0.6594938738654994,mlp_1
0,R_rho0_C,SEX,development_evaluation_person_weighted,360,0.7024592769893283,saved_adversary,0.6594938738654994,mlp_1,0.6744669372712839,catchup,0.6594938738654994,mlp_1
0,R_rho0_C,RAC1P,validation,120,1.2364671793754598,saved_adversary,1.2198284939391515,mlp_0,1.233499662277253,catchup,1.2198284939391515,mlp_0
0,R_rho0_C,RAC1P,validation,360,1.2364671793754598,saved_adversary,1.2198284939391515,mlp_0,1.233499662277253,catchup,1.2198284939391515,mlp_0
0,R_rho0_C,RAC1P,development_evaluation,120,1.2425525349510909,saved_adversary,1.2112627761453876,mlp_0,1.231045961051272,catchup,1.2112627761453876,mlp_0
0,R_rho0_C,RAC1P,development_evaluation,360,1.2425525349510909,saved_adversary,1.2112627761453876,mlp_0,1.231045961051272,catchup,1.2112627761453876,mlp_0
0,R_rho0_C,RAC1P,validation_person_weighted,120,1.25034675154735,saved_adversary,1.2258098467763239,mlp_0,1.2366826225764078,catchup,1.2258098467763239,mlp_0
0,R_rho0_C,RAC1P,validation_person_weighted,360,1.25034675154735,saved_adversary,1.2258098467763239,mlp_0,1.2366826225764078,catchup,1.2258098467763239,mlp_0
0,R_rho0_C,RAC1P,development_evaluation_person_weighted,120,1.2322249107741465,saved_adversary,1.1896768625735001,mlp_0,1.2153079643713447,catchup,1.1896768625735001,mlp_0
0,R_rho0_C,RAC1P,development_evaluation_person_weighted,360,1.2322249107741465,saved_adversary,1.1896768625735001,mlp_0,1.2153079643713447,catchup,1.1896768625735001,mlp_0
0,R_rho0_D,SEX,validation,120,0.6984593448304665,saved_adversary,0.6508017174272097,mlp_1,0.6708370197017551,catchup,0.6508017174272097,mlp_1
0,R_rho0_D,SEX,validation,360,0.6984593448304665,saved_adversary,0.6508017174272097,mlp_1,0.6708370197017551,catchup,0.6508017174272097,mlp_1
0,R_rho0_D,SEX,development_evaluation,120,0.7073304721334965,saved_adversary,0.6621468168983895,mlp_1,0.6827390646037342,catchup,0.6621468168983895,mlp_1
0,R_rho0_D,SEX,development_evaluation,360,0.7073304721334965,saved_adversary,0.6621468168983895,mlp_1,0.6827390646037342,catchup,0.6621468168983895,mlp_1
0,R_rho0_D,SEX,validation_person_weighted,120,0.6956548780893143,saved_adversary,0.6451370785284208,mlp_1,0.6729321002840215,catchup,0.6451370785284208,mlp_1
0,R_rho0_D,SEX,validation_person_weighted,360,0.6956548780893143,saved_adversary,0.6451370785284208,mlp_1,0.6729321002840215,catchup,0.6451370785284208,mlp_1
0,R_rho0_D,SEX,development_evaluation_person_weighted,120,0.7002058363897663,saved_adversary,0.6601873303406322,mlp_1,0.6799148875958988,catchup,0.6601873303406322,mlp_1
0,R_rho0_D,SEX,development_evaluation_person_weighted,360,0.7002058363897663,saved_adversary,0.6601873303406322,mlp_1,0.6799148875958988,catchup,0.6601873303406322,mlp_1
0,R_rho0_D,RAC1P,validation,120,1.2362432563635009,saved_adversary,1.2201643562588627,mlp_0,1.2334737691893245,catchup,1.2201643562588627,mlp_0
0,R_rho0_D,RAC1P,validation,360,1.2362432563635009,saved_adversary,1.2201643562588627,mlp_0,1.2334737691893245,catchup,1.2201643562588627,mlp_0
0,R_rho0_D,RAC1P,development_evaluation,120,1.242877803952943,saved_adversary,1.2110992722313567,mlp_0,1.2321228967424598,catchup,1.2110992722313567,mlp_0
0,R_rho0_D,RAC1P,development_evaluation,360,1.242877803952943,saved_adversary,1.2110992722313567,mlp_0,1.2321228967424598,catchup,1.2110992722313567,mlp_0
0,R_rho0_D,RAC1P,validation_person_weighted,120,1.2515572067707368,saved_adversary,1.226074066244829,mlp_0,1.236995488717444,catchup,1.226074066244829,mlp_0
0,R_rho0_D,RAC1P,validation_person_weighted,360,1.2515572067707368,saved_adversary,1.226074066244829,mlp_0,1.236995488717444,catchup,1.226074066244829,mlp_0
0,R_rho0_D,RAC1P,development_evaluation_person_weighted,120,1.22860211191803,saved_adversary,1.1900187123716666,mlp_0,1.215782595813667,catchup,1.1900187123716666,mlp_0
0,R_rho0_D,RAC1P,development_evaluation_person_weighted,360,1.22860211191803,saved_adversary,1.1900187123716666,mlp_0,1.215782595813667,catchup,1.1900187123716666,mlp_0
0,E_rho0p1_C,SEX,validation,120,0.6677749797917965,saved_adversary,0.6668631978169091,mlp_1,0.6531150072785548,catchup,0.6531150072785548,catchup
0,E_rho0p1_C,SEX,validation,360,0.6677749797917965,saved_adversary,0.6668631978169091,mlp_1,0.6531150072785548,catchup,0.6531150072785548,catchup
0,E_rho0p1_C,SEX,development_evaluation,120,0.6757199661521301,saved_adversary,0.6696069975803753,mlp_1,0.6601121424332013,catchup,0.6601121424332013,catchup
0,E_rho0p1_C,SEX,development_evaluation,360,0.6757199661521301,saved_adversary,0.6696069975803753,mlp_1,0.6601121424332013,catchup,0.6601121424332013,catchup
0,E_rho0p1_C,SEX,validation_person_weighted,120,0.6628831835565883,saved_adversary,0.6720162950141548,mlp_1,0.6537004458637422,catchup,0.6537004458637422,catchup
0,E_rho0p1_C,SEX,validation_person_weighted,360,0.6628831835565883,saved_adversary,0.6720162950141548,mlp_1,0.6537004458637422,catchup,0.6537004458637422,catchup
0,E_rho0p1_C,SEX,development_evaluation_person_weighted,120,0.6741189453583516,saved_adversary,0.6721236961190401,mlp_1,0.6608655612686152,catchup,0.6608655612686152,catchup
0,E_rho0p1_C,SEX,development_evaluation_person_weighted,360,0.6741189453583516,saved_adversary,0.6721236961190401,mlp_1,0.6608655612686152,catchup,0.6608655612686152,catchup
