comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,primary,validation_person_weighted,3,3,True,0.0018208074462463901,0.0021581787125811392,"{""0"":0.0009416025664500394,""1"":0.004279811886724216,""2"":0.00024100788556491448}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,primary,validation_person_weighted,3,3,True,-0.0012257049251487295,0.004002883030751907,"{""0"":-0.0019007213981161453,""1"":0.003071770120387618,""2"":-0.004848163497717661}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,primary,development_evaluation_person_weighted,3,3,True,0.006865071364175024,0.0016311050547818517,"{""0"":0.008530395221929665,""1"":0.006794332027382888,""2"":0.0052704868432125185}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,120,primary,development_evaluation_person_weighted,3,3,True,0.00566689915383134,0.004124040472261146,"{""0"":0.009246103167969255,""1"":0.0065975331265502035,""2"":0.00115706116697456}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,primary,validation,3,3,True,0.001520701299357885,0.0012243562809825773,"{""0"":0.001198091136750623,""1"":0.0004899533973514725,""2"":0.0028740593639715595}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,primary,validation,3,3,True,-0.002575444625333286,0.0015625226569300813,"{""0"":-0.000860916285644775,""1"":-0.002946117094956957,""2"":-0.003919300495398126}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,primary,development_evaluation,3,3,True,0.0007400622402270093,0.000908066942308609,"{""0"":0.0011668181388542198,""1"":-0.0003027704239166873,""2"":0.0013561390057434952}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,primary,development_evaluation,3,3,True,-0.003617912647887911,0.002619297593578448,"{""0"":-0.0022077262519675234,""1"":-0.002005841494685967,""2"":-0.006640170197010242}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,0.0008547671008910148,0.003181815592132748,"{""0"":-0.001342592614409055,""1"":-0.0005965840556863,""2"":0.004503477972768399}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,-0.0010572064967205492,0.0009828928768296041,"{""0"":-0.00104598363043662,""1"":-7.99731085521227e-05,""2"":-0.0020456627511729053}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,-0.002785672508147282,0.0008660630762559779,"{""0"":-0.0017969109159543528,""1"":-0.0034097766152061393,""2"":-0.0031503299932813533}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,-0.0062490369616374775,0.00024057802371374521,"{""0"":-0.00610659256398427,""1"":-0.006113716233504762,""2"":-0.0065268020874234}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,120,pooled,validation,3,3,True,0.0046851043998613244,0.0023902801078939094,"{""0"":0.0063719088435408855,""1"":0.0057336474919195135,""2"":0.0019497568641235752}"
