seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,753,78240.0,0.9663854805725971,0.7505906645224055,0.8449271961290467,0.8977819737707311,True,True,,665,True
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2229,255901.0,0.9018214074974307,0.988732128856461,0.9432790798433707,0.897781973770731,True,True,,1383,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,validation,0,981,981.0,0.32875335120643434,728,728.0,0.9532967032967034,0.7074413863404689,0.8121708601521358,0.8824889576949559,True,True,,665,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,validation,1,2003,2003.0,0.6712466487935657,2256,2256.0,0.8727836879432624,0.9830254618072891,0.9246301948814276,0.8824889576949559,True,True,,1383,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,development_evaluation,0,972,972.0,0.32595573440643866,754,754.0,0.9628647214854111,0.7469135802469136,0.8412514484356894,0.9014331634011015,True,True,,665,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,development_evaluation,1,2010,2010.0,0.6740442655935613,2228,2228.0,0.8895870736086176,0.9860696517412936,0.9353468617272298,0.9014331634011016,True,True,,1383,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,validation_person_weighted,0,981,112512.0,0.3229484198742788,728,82025.0,0.9658153002133496,0.7041115614334471,0.8144568899489557,0.8778193589983092,True,True,,665,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,validation_person_weighted,1,2003,235878.0,0.6770515801257212,2256,266365.0,0.8750173633923376,0.9881124988341431,0.9281323980622925,0.8778193589983093,True,True,,1383,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,development_evaluation_person_weighted,0,972,100734.0,0.3014715344719744,754,77371.0,0.9774463300202918,0.7507494986796911,0.84922938715926,0.9004451760831891,True,True,,665,True
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,development_evaluation_person_weighted,1,2010,233407.0,0.6985284655280256,2228,256770.0,0.9022159909646765,0.9925237889180701,0.9452177478747473,0.9004451760831891,True,True,,1383,True
