seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,split,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc,prior_log_loss,prior_relative_attribute_gain
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2275,709]","[263229.0,85161.0]","[0.7555584259020064,0.24444157409799364]",True,True,"[true,true]",0.5074442436959433,1e-12,0.7654582508108728,0.5801795456498682,0.5801795456498682,0.7110079854074935,0.7110079854074935,0.7110079854074935,,
0,transfer,C_bottleneck,public_coverage,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1531,517]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2199,783]","[244261.0,89880.0]","[0.7310117585091324,0.26898824149086764]",True,True,"[true,true]",0.5177683130565426,1e-12,0.7480404978736521,0.578134599339974,0.578134599339974,0.7276754316959946,0.7276754316959946,0.7276754316959946,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,validation,2984,2,"[0,1]",False,2984.0,"[2275,709]","[2275.0,709.0]","[0.7623994638069705,0.23760053619302948]",True,True,"[true,true]",0.4865768344118285,1e-12,0.7855227882037533,0.5942912940374153,0.5942912940374153,0.7226541018924658,0.7226541018924658,0.7226541018924658,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[2199,783]","[2199.0,783.0]","[0.7374245472837022,0.2625754527162978]",True,True,"[true,true]",0.5127069158146346,1e-12,0.7538564721663313,0.583922681678715,0.583922681678715,0.727308709345999,0.7273087093459989,0.7273087093459989,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,validation_person_weighted,2984,2,"[0,1]",True,348390.0,"[2275,709]","[263229.0,85161.0]","[0.7555584259020064,0.24444157409799364]",True,True,"[true,true]",0.5068380712947835,1e-12,0.7731823531100204,0.5897473628316966,0.5897473628316966,0.7024511222931282,0.7024511222931282,0.7024511222931282,,
0,transfer,C_bottleneck,public_coverage,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1531,517]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[2199,783]","[244261.0,89880.0]","[0.7310117585091324,0.26898824149086764]",True,True,"[true,true]",0.5223642424499851,1e-12,0.7406753436423545,0.5708607905435886,0.5708607905435886,0.7227209256502235,0.7227209256502234,0.7227209256502234,,
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6678949649210971,1e-12,0.5966499162479062,0.5961145584854242,0.5961145584854242,0.6287924612754605,0.6287924612754605,0.6287924612754605,0.6928643880691588,0.02496942314806172
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6708699144433939,1e-12,0.5865191146881288,0.5859329417188299,0.5859329417188299,0.6210638960720898,0.6210638960720898,0.6210638960720898,0.692902232269579,0.02203231782618509
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6603691060595078,1e-12,0.6121337605881036,0.6113227233384222,0.6113227233384222,0.6450994603711391,0.6450994603711391,0.6450994603711391,0.6924901233433353,0.032121017283827435
0,audit,C_bottleneck,SEX,logistic,logistic,E_pca,False,False,True,False,False,False,2993,"[1512,1481]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6724429718487012,1e-12,0.5790519571079275,0.5781360540331075,0.5781360540331075,0.6164470931254311,0.6164470931254312,0.6164470931254312,0.6927840063478669,0.02034103449916569
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6609727152673243,1e-12,0.6040201005025125,0.60248992901325,0.60248992901325,0.6421741557178577,0.6421741557178577,0.6421741557178577,0.6928643880691588,0.03189167280183458
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6576278039702348,1e-12,0.5972501676727029,0.5956082030152636,0.5956082030152636,0.6453945378060464,0.6453945378060464,0.6453945378060464,0.692902232269579,0.03527442829934424
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6539015064496084,1e-12,0.6090707208746157,0.6064886794405153,0.6064886794405153,0.6506498770989206,0.6506498770989206,0.6506498770989206,0.6924901233433353,0.038588616893726835
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,development_evaluation_person_weighted,2982,2,"[0,1]",True,334141.0,"[1534,1448]","[173797.0,160344.0]","[0.520130723257547,0.47986927674245305]",True,True,"[true,true]",0.6595301396315033,1e-12,0.5926659703538326,0.5901840375545839,0.5901840375545839,0.6394932156723416,0.6394932156723416,0.6394932156723416,0.6927840063478669,0.033253866716363545
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,validation,2985,2,"[0,1]",False,2985.0,"[1541,1444]","[1541.0,1444.0]","[0.5162479061976549,0.4837520938023451]",True,True,"[true,true]",0.6605919890471658,1e-12,0.5899497487437186,0.5901701596797417,0.5901701596797417,0.6438014222516227,0.6438014222516227,0.6438014222516227,0.6928643880691588,0.03227239902199308
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,development_evaluation,2982,2,"[0,1]",False,2982.0,"[1534,1448]","[1534.0,1448.0]","[0.5144198524480215,0.48558014755197854]",True,True,"[true,true]",0.6580935582593361,1e-12,0.5928906773977196,0.5928615290973658,0.5928615290973658,0.6423903491395766,0.6423903491395766,0.6423903491395766,0.692902232269579,0.0348086740102429
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,validation_person_weighted,2985,2,"[0,1]",True,339532.0,"[1541,1444]","[181421.0,158111.0]","[0.5343266614045216,0.4656733385954785]",True,True,"[true,true]",0.6532968733295258,1e-12,0.598774195068506,0.59962185437393,0.59962185437393,0.6556913328638477,0.6556913328638477,0.6556913328638477,0.6924901233433353,0.039193250013809466
