seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,selected_epoch,selected_optimizer_steps,optimizer_steps,boosting_iterations,training_row_exposures,row_exposure_min,row_exposure_max,initialization_seed,schedule_seed,schedule_hash,restart_index,restart_seed_offset,fit_runtime_seconds,fallback_reason,warnings,parameters,checkpoint_criterion,selection,audit_kind,provided_attacker_fit_rows,provided_attacker_fit_support,preprocessing,preprocessing_fit_rows,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256
0,audit,C_bottleneck,RAC1P,saved_adversary,saved_adversary,E_pca,False,False,True,False,False,True,0,,,False,0,0,0,,0,,,,,,,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,unchanged saved adversary; no fitting or validation selection,saved,2993,"[1704,173,17,0,4,461,22,424,188]",identity; direct mapper16 coordinates; no mean/scale fitted,0,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102
0,transfer,D_protected,same_residence,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[500,1548]",True,False,,,20,,,,,,,,,,0.0036059169797226787,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,same_residence,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[500,1548]",True,False,40,320,320,,81920,40,40,1250000,1950000,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,,,0.08707350003533065,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,commute_over20,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[997,1051]",True,False,,,11,,,,,,,,,,0.0030815410427749157,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,commute_over20,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[997,1051]",True,False,10,80,320,,81920,40,40,1250001,1950001,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,,,0.09432812500745058,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,income_binary,logistic,logistic,E_pca,False,True,True,True,False,False,2048,"[1652,396]",True,False,,,17,,,,,,,,,,0.0031965419184416533,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,income_binary,mlp,mlp,E_pca,False,False,True,False,False,False,2048,"[1652,396]",True,False,20,160,320,,81920,40,40,1250002,1950002,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,,,0.08275304199196398,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,civilian_at_work,logistic,logistic,E_pca,False,False,True,False,False,False,2048,"[665,1383]",True,False,,,16,,,,,,,,,,0.0031053751008585095,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,civilian_at_work,mlp,mlp,E_pca,False,True,True,True,False,False,2048,"[665,1383]",True,False,15,120,320,,81920,40,40,1250003,1950003,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,,,0.08254091697745025,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",,"minimum validation log loss, then earliest epoch",,,,,,,,,,,,,,,,,,,,
0,transfer,D_protected,public_coverage,logistic,logistic,E_pca,False,False,True,True,False,False,2048,"[1531,517]",True,False,,,19,,,,,,,,,,0.0029825420351698995,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",,one fixed configuration; validation does not alter fitting,,,,,,,,,,,,,,,,,,,,
