seed,role,release,target,candidate_id,family,parent,erased,selected,selected_within_family,auc_selected,independent_selected,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,reused_reference,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,total_optimizer_steps,total_training_row_exposures,validation_auroc,validation_coverage_complete
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,80,960,0.6799565372927172,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,85,1020,0.6859028004764937,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,90,1080,0.6901610839399938,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,95,1140,0.6901214724418598,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,100,1200,0.6928092122802969,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,105,1260,0.6957152526456134,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,110,1320,0.6990680618179199,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,115,1380,0.7016913908816704,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_0,mlp,E_pca,False,False,False,False,False,False,2993,"[1512,1481]",True,False,120,1440,0.706215461522368,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,0,0,0.6934189543709572,False,1440,359160,,
0,audit,C_bottleneck,SEX,mlp_1,mlp,E_pca,False,True,True,False,True,False,2993,"[1512,1481]",True,False,5,60,0.6725015879716776,False,1440,359160,,
