interface,endpoint,weight,common_fresh_additional,transport_all_additional,difference_transport_minus_fresh
spectral_M025,AB/RAC1P,unweighted,0.0556709106753526,0.0522237021730417,-0.0034472085023108945
spectral_M025,AB/RAC1P,person_weighted,0.049488395704391,0.0468708349901531,-0.002617560714237903
spectral_M1,A/SEX,unweighted,0.028008370099322,0.0230480487000006,-0.004960321399321399
spectral_M1,A/SEX,person_weighted,0.0241208084817649,0.0207142918604084,-0.0034065166213564993
spectral_M1,AB/SEX,unweighted,0.0247111666418642,0.018593286916715,-0.006117879725149201
spectral_M1,AB/SEX,person_weighted,0.0213846556913837,0.0170657985094717,-0.004318857181911998
spectral_M1,A/RAC1P,unweighted,0.0650442156829427,0.0632247982007068,-0.0018194174822359077
spectral_M1,A/RAC1P,person_weighted,0.0583877161773865,0.0568998214176585,-0.0014878947597279993
spectral_M1,AB/RAC1P,unweighted,0.0540647054085283,0.0506174969062174,-0.0034472085023109014
spectral_M1,AB/RAC1P,person_weighted,0.0485100456734925,0.0458924849592545,-0.002617560714238
spectral_S0,A/SEX,unweighted,0.0345964345260778,0.0296361131267564,-0.0049603213993214025
spectral_S0,A/SEX,person_weighted,0.0327238681210482,0.0293173514996917,-0.0034065166213565028
spectral_S0,AB/SEX,unweighted,0.0316918645436224,0.0255739848184732,-0.006117879725149197
spectral_S0,AB/SEX,person_weighted,0.0306219823688054,0.0263031251868934,-0.004318857181911998
spectral_S0,A/RAC1P,unweighted,0.0758473142331754,0.0740278967509395,-0.0018194174822358938
spectral_S0,A/RAC1P,person_weighted,0.070456944318656,0.068969049558928,-0.0014878947597279923
spectral_S0,AB/RAC1P,unweighted,0.0653706738760959,0.061923465373785,-0.0034472085023108945
spectral_S0,AB/RAC1P,person_weighted,0.0592551539123558,0.0566375931981179,-0.002617560714237903
