mode,weight,target,withholding_source,target_residence_gain,source_residence_gain_at_p1,matching_probability,identifiable_in_unit_interval,target_additional/A/SEX,source_additional_at_matched_p/A/SEX,target_better_at_matched_p/A/SEX,target_additional/AB/SEX,source_additional_at_matched_p/AB/SEX,target_better_at_matched_p/AB/SEX,target_additional/A/RAC1P,source_additional_at_matched_p/A/RAC1P,target_better_at_matched_p/A/RAC1P,target_additional/AB/RAC1P,source_additional_at_matched_p/AB/RAC1P,target_better_at_matched_p/AB/RAC1P
A,unweighted,J,spectral_S0,0.020400947471806246,0.03276160215639945,0.6227090901847501,True,-0.0028871170540351702,0.016809195834516722,True,0.0011591790034980627,0.015922108799358244,True,0.007719554047375128,0.04142618018333555,True,0.005942860771323232,0.032122224219566696,True
A,unweighted,J,A0,0.020400947471806246,0.030585772951640222,0.6670077458582653,True,-0.0028871170540351702,0.01689365128068216,True,0.0011591790034980627,0.014910232903669196,True,0.007719554047375128,0.04043704818661283,True,0.005942860771323232,0.032099509244271046,True
A,unweighted,J,E,0.020400947471806246,0.027869400703409486,0.7320195970095057,True,-0.0028871170540351702,0.008746491646893785,True,0.0011591790034980627,0.006528256533307544,True,0.007719554047375128,0.042289339972989164,True,0.005942860771323232,0.03607426164156361,True
A,person_weighted,J,spectral_C1,0.017699408660289278,0.026205015002290853,0.6754206650422443,True,-0.004870281350072822,0.008020353431373731,True,0.00032954957512820217,0.008338182055804038,True,0.00946823498310713,0.020042180023435146,True,0.0046507379171773534,0.013035323412258866,True
A,person_weighted,J,spectral_S0,0.017699408660289278,0.02958591874105624,0.5982375877930027,True,-0.004870281350072822,0.015530461868082015,True,0.00032954957512820217,0.015851534020994974,True,0.00946823498310713,0.03815993610991279,True,0.0046507379171773534,0.029190894579673658,True
A,person_weighted,J,A0,0.017699408660289278,0.0280677212995624,0.6305965657627228,True,-0.004870281350072822,0.014328433864710905,True,0.00032954957512820217,0.013983194031996705,True,0.00946823498310713,0.036802001886309756,True,0.0046507379171773534,0.02859943818750346,True
A,person_weighted,J,E,0.017699408660289278,0.024021381176691524,0.7368189418460003,True,-0.004870281350072822,0.008664014754295199,True,0.00032954957512820217,0.007707997254058365,True,0.00946823498310713,0.03978058167401516,True,0.0046507379171773534,0.03245816307146103,True
B,unweighted,J,spectral_C1,0.018885336173653105,0.028201474185656474,0.6696577650277006,True,-0.0009493921823414755,0.008075675430377351,True,0.001714265136538374,0.005812623831129953,True,0.007608397306181663,0.030322617210180265,True,0.00746798838784396,0.02688502559355038,True
B,unweighted,J,spectral_S0,0.018885336173653105,0.03035137373961235,0.6222234398901481,True,-0.0009493921823414755,0.01844028425470399,True,0.001714265136538374,0.015912732805448866,True,0.007608397306181663,0.046061892564202414,True,0.00746798838784396,0.038530231634795034,True
B,unweighted,J,A0,0.018885336173653105,0.02888031986092928,0.6539171402738554,True,-0.0009493921823414755,0.018020517409448714,True,0.001714265136538374,0.01642467240600051,True,0.007608397306181663,0.04271242808596647,True,0.00746798838784396,0.03502533440958899,True
B,unweighted,J,E,0.018885336173653105,0.02630639060007574,0.7178991774568545,True,-0.0009493921823414755,0.011766084206332031,True,0.001714265136538374,0.011332840971343995,True,0.007608397306181663,0.045146796169366184,True,0.00746798838784396,0.03856491445429673,True
B,person_weighted,J,spectral_C1,0.017115676366541287,0.025263259866576862,0.6774927882203049,True,-0.003280554784618751,0.007529655175776067,True,0.0003337155038998785,0.006274058675539922,True,0.005495333625150665,0.026908034994324495,True,0.006353842636497679,0.02397059486152801,True
B,person_weighted,J,spectral_S0,0.017115676366541287,0.026279044022177345,0.6513051369789962,True,-0.003280554784618751,0.019094541634368106,True,0.0003337155038998785,0.01713136055282532,True,0.005495333625150665,0.044919896270288806,True,0.006353842636497679,0.036888355396060814,True
B,person_weighted,J,A0,0.017115676366541287,0.026578214166797308,0.6439739050610463,True,-0.003280554784618751,0.016115368378190813,True,0.0003337155038998785,0.015523648863281933,True,0.005495333625150665,0.03906878182074025,True,0.006353842636497679,0.03240390739718806,True
B,person_weighted,J,E,0.017115676366541287,0.02193491234578628,0.7802938118341388,True,-0.003280554784618751,0.013135848225396428,True,0.0003337155038998785,0.012491637344921891,True,0.005495333625150665,0.04558772549273411,True,0.006353842636497679,0.03817298701788676,True
A,unweighted,spectral_L1,spectral_C1,0.029093152792246113,0.028157190949755107,1.033240597194556,False,0.014406304065234847,,,0.013995130400277852,,,0.04305725637963437,,,0.0368489570251426,,
A,unweighted,spectral_L1,spectral_S0,0.029093152792246113,0.03276160215639945,0.8880259473684877,True,0.014406304065234847,0.023971068177309717,True,0.013995130400277852,0.02270602111566944,True,0.04305725637963437,0.05907657922939557,True,0.0368489570251426,0.04580849877380234,True
A,person_weighted,spectral_L1,spectral_C1,0.026352215133798852,0.026205015002290853,1.0056172504192473,False,0.015445379376552515,,,0.01634155744664007,,,0.04248975578633517,,,0.03398003353863065,,
A,person_weighted,spectral_L1,spectral_S0,0.026352215133798852,0.02958591874105624,0.8907012611114221,True,0.015445379376552515,0.023122923490273707,True,0.01634155744664007,0.023600959938238065,True,0.04248975578633517,0.056815392263167605,True,0.03398003353863065,0.04346160646810166,True
B,unweighted,spectral_L1,spectral_C1,0.028491173569185624,0.028201474185656474,1.0102724907790988,False,0.014883362284074197,,,0.014606126003035708,,,0.05897563221645616,,,0.04806265311967796,,
B,unweighted,spectral_L1,spectral_S0,0.028491173569185624,0.03035137373961235,0.9387111704931189,True,0.014883362284074197,0.02781975044208406,True,0.014606126003035708,0.024006585223122302,True,0.05897563221645616,0.06949081360821836,True,0.04806265311967796,0.05812824866201593,True
B,person_weighted,spectral_L1,spectral_C1,0.025362636498925464,0.025263259866576862,1.003933642486102,False,0.016092946775700806,,,0.016137274094781433,,,0.05557395496023203,,,0.043043295815042855,,
B,person_weighted,spectral_L1,spectral_S0,0.025362636498925464,0.026279044022177345,0.9651278211460619,True,0.016092946775700806,0.028294991574670716,True,0.016137274094781433,0.02538587790095857,True,0.05557395496023203,0.06656394852732299,True,0.043043295815042855,0.05466251691825651,True
