family,left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,one_sided_upper_95_percentile,degenerate,adjusted_low,adjusted_high,critical_value,one_sided_critical_value,one_sided_upper_95_simultaneous
F1_primary,spectral_C1,spectral_L2,utility/same_residence,unweighted,0.0005912756752317986,0.0012402442140621028,0.0009137335930380353,-0.00038015078140474223,0.00044950015270558036,-0.0002819666936810489,0.0014878233149130157,0.001345008941851115,False,-0.0007258073037213563,0.0019083586541849534,2.9301057430693107,2.7252098204913002,0.0018162579056973868
F1_primary,spectral_C1,spectral_L2,utility/same_residence,person_weighted,0.00017392101238557683,0.0005589476588934716,0.0002240589605572163,-0.0002612435822939574,0.00052886253848305,-0.0008419794318686836,0.0011888307628416398,0.0010237041034742618,False,-0.0013757021489178218,0.0017235441736889753,2.9301057430693107,2.7252098204913002,0.0016151823959495422
F1_primary,spectral_C1,spectral_L2,recovery/A/SEX,unweighted,-0.0025795412798358167,-0.001982148161728578,-0.005079579756451211,-0.0006768959213276603,0.0010569129045089733,-0.004701231871623546,-0.0005790040315566884,-0.0008652499316412836,False,-0.005676407851261627,0.0005173252915899929,2.9301057430693107,2.7252098204913002,0.00030076814693602225
F1_primary,spectral_C1,spectral_L2,recovery/A/SEX,person_weighted,-0.003976163721524688,-0.001119478154300163,-0.010406246852379345,-0.0004027661578945539,0.001262850277173624,-0.006393473824437291,-0.0013878073767023865,-0.0018485562665865255,False,-0.007676448571307792,-0.00027587887174158367,2.9301057430693107,2.7252098204913002,-0.0005346317443609694
F1_primary,spectral_C1,spectral_L2,recovery/AB/SEX,unweighted,-0.004719499897425421,-0.0058134676264951085,-0.0059775692552117565,-0.002367462810569397,0.0011328678303452616,-0.0069321607933873755,-0.002541256403074001,-0.0028733236258415814,False,-0.008038922433258544,-0.0014000773615922982,2.9301057430693107,2.7252098204913002,-0.0016321973608498398
F1_primary,spectral_C1,spectral_L2,recovery/AB/SEX,person_weighted,-0.00474707105760042,-0.005599415017960716,-0.007977332886600838,-0.0006644652682397077,0.0013514101437422823,-0.007400322029617012,-0.001969444658263529,-0.002459841775302471,False,-0.00870684568102181,-0.0007872964341790311,2.9301057430693107,2.7252098204913002,-0.0010641948623623882
F1_primary,spectral_C1,spectral_L2,recovery/A/RAC1P,unweighted,-0.007409851146524593,-0.00539875971307556,-0.00737984451786821,-0.00945094920863001,0.0011849239974449075,-0.009728444788223772,-0.00505174440184828,-0.005469669959587885,False,-0.010881803756538562,-0.0039378985365106246,2.9301057430693107,2.7252098204913002,-0.004180684632151923
F1_primary,spectral_C1,spectral_L2,recovery/A/RAC1P,person_weighted,-0.008995350122373597,-0.005088694151319115,-0.00915830332100643,-0.012739052894795246,0.0014071023308330414,-0.011797681711973042,-0.006247577256344681,-0.006618409754222426,False,-0.013118308743033706,-0.004872391501713488,2.9301057430693107,2.7252098204913002,-0.005160701031951194
F1_primary,spectral_C1,spectral_L2,recovery/AB/RAC1P,unweighted,-0.003024518148549269,0.00038885173015217045,-0.003866696740296577,-0.0055957094355034015,0.0007569960105399006,-0.004531386449254423,-0.001488032327510045,-0.0017369054474162537,False,-0.005242596506512787,-0.0008064397905857513,2.9301057430693107,2.7252098204913002,-0.0009615451865531977
F1_primary,spectral_C1,spectral_L2,recovery/AB/RAC1P,person_weighted,-0.003663778979854676,-0.0004377468147465785,-0.003424529240801902,-0.007129060884015548,0.0008957760369920575,-0.005390480300660322,-0.0018850003389281934,-0.002169550442854916,False,-0.006288497490348971,-0.001039060469360381,2.9301057430693107,2.7252098204913002,-0.0012226013268831423
