mode,scope,budget,weight,interface,residence_gain_vs_H,residence_gain_low,residence_gain_high,absolute/A/SEX,H_baseline/A/SEX,additional/A/SEX,absolute/AB/SEX,H_baseline/AB/SEX,additional/AB/SEX,absolute/A/RAC1P,H_baseline/A/RAC1P,additional/A/RAC1P,absolute/AB/RAC1P,H_baseline/AB/RAC1P,additional/AB/RAC1P,absolute/B/SEX,H_baseline/B/SEX,additional/B/SEX,absolute/B/RAC1P,H_baseline/B/RAC1P,additional/B/RAC1P
B,transport_all,360,person_weighted,spectral_S0,0.026279044022177345,0.01918735041113194,0.033369013889848295,0.0379184190411939,0.008601067541502158,0.029317351499691738,0.037680773952710724,0.011377648765817282,0.026303125186893442,0.08740026642001357,0.01843121686108552,0.06896904955892805,0.08856084362234586,0.03192325042422799,0.05663759319811786,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_M025,0.026592605757757126,0.019902702044711118,0.03316959438395739,0.02994388157984203,0.008601067541502158,0.021342814038339875,0.030061605230768795,0.011377648765817282,0.018683956464951513,0.07876943229488044,0.01843121686108552,0.06033821543379492,0.0787940854143812,0.03192325042422799,0.0468708349901532,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_M1,0.02672446884849422,0.020356977557071648,0.03313514509191806,0.02931535940191052,0.008601067541502158,0.020714291860408365,0.028443447275289,0.011377648765817282,0.01706579850947172,0.075331038278744,0.01843121686108552,0.05689982141765848,0.07781573538348258,0.03192325042422799,0.04589248495925458,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_L025,0.026196326934104196,0.018902646573688252,0.03304106403965764,0.03104050567851586,0.008601067541502158,0.022439438137013705,0.031675027727824746,0.011377648765817282,0.020297378962007465,0.08027935141769853,0.01843121686108552,0.061848134556613005,0.0828860698213894,0.03192325042422799,0.0509628193971614,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_L1,0.025362636498925464,0.018497164871642668,0.031987591489535214,0.024694014317202962,0.008601067541502158,0.016092946775700806,0.027514922860598715,0.011377648765817282,0.016137274094781433,0.07400517182131755,0.01843121686108552,0.05557395496023203,0.07496654623927085,0.03192325042422799,0.043043295815042855,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_C025,0.026419526250189673,0.01937330283479836,0.033269880815417624,0.0281632786717884,0.008601067541502158,0.019562211130286243,0.029212719735008743,0.011377648765817282,0.01783507096919146,0.07239182388683342,0.01843121686108552,0.0539606070257479,0.07695389264405185,0.03192325042422799,0.045030642219823856,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_C1,0.025263259866576862,0.018446759739534687,0.0318705081562136,0.01971506802489564,0.008601067541502158,0.011114000483393482,0.020638350554276385,0.011377648765817282,0.009260701788459103,0.05814829645540679,0.01843121686108552,0.039717079594321275,0.06730457887275065,0.03192325042422799,0.03538132844852266,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
B,transport_all,360,person_weighted,spectral_L2,0.025437180878962445,0.018745560537367676,0.03205866049933594,0.023691231746420325,0.008601067541502158,0.015090164204918167,0.025385421611876808,0.011377648765817282,0.014007772846059526,0.06714364657778038,0.01843121686108552,0.04871242971669486,0.07096835785260532,0.03192325042422799,0.03904510742837732,-0.00017115333208154993,-0.00017115333208154993,0.0,0.021856285524503808,0.021856285524503808,0.0
A,kernel_expanded_catchup,360,unweighted,H,0.0,0.0,0.0,0.008254734303405831,0.008254734303405831,0.0,0.01122834051612053,0.01122834051612053,0.0,0.015643432418732287,0.015643432418732287,0.0,0.03012264100398219,0.03012264100398219,0.0,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,E,0.027869400703409486,0.023290657423553494,0.03251914004015145,0.020203173501790034,0.008254734303405831,0.011948439198384203,0.020146485002930998,0.01122834051612053,0.008918144486810468,0.07341420815445349,0.015643432418732287,0.0577707757357212,0.0794030998727564,0.03012264100398219,0.049280458868774205,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,A0,0.030585772951640222,0.026075419640765794,0.03510711856529628,0.03358225318992855,0.008254734303405831,0.02532751888652272,0.03358225318992855,0.01122834051612053,0.02235391267380802,0.07626798803701956,0.015643432418732287,0.06062455561828728,0.07824728339920256,0.03012264100398219,0.048124642395220366,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,L025,0.018925491341784045,0.016118176967227237,0.021690111806332044,0.008873594385529156,0.008254734303405831,0.0006188600821233244,0.01708973185220266,0.01122834051612053,0.00586139133608213,0.02475910006427336,0.015643432418732287,0.009115667645541073,0.03912133882365887,0.03012264100398219,0.008998697819676677,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,L20,0.019132971051941006,0.016068096613431337,0.022170863046144625,0.0008003867887818586,0.008254734303405831,-0.007454347514623973,0.018775791209754752,0.01122834051612053,0.007547450693634222,0.01908809014145536,0.015643432418732287,0.0034446577227230726,0.04252581144633751,0.03012264100398219,0.01240317044235532,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,J,0.020400947471806246,0.017535627064587597,0.02348808288065702,0.005367617249370661,0.008254734303405831,-0.0028871170540351702,0.012387519519618593,0.01122834051612053,0.0011591790034980627,0.023362986466107415,0.015643432418732287,0.007719554047375128,0.036065501775305424,0.03012264100398219,0.005942860771323232,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_S0,0.03276160215639945,0.02780325934818135,0.03775962987565685,0.035248391694097915,0.008254734303405831,0.026993657390692084,0.03679743698560414,0.01122834051612053,0.02556909646948361,0.08216916784848956,0.015643432418732287,0.06652573542975727,0.08170728096810481,0.03012264100398219,0.05158463996412262,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
A,kernel_expanded_catchup,360,unweighted,spectral_M025,0.028813893722980564,0.02465505107999672,0.032779235671317346,0.02742898657537303,0.008254734303405831,0.019174252271967198,0.02939521420038339,0.01122834051612053,0.01816687368426286,0.07111116838133179,0.015643432418732287,0.055467735962599504,0.07214193662431088,0.03012264100398219,0.04201929562032869,0.00041339611809521043,0.00041339611809521043,0.0,0.020644234138668605,0.020644234138668605,0.0
