mode,condition,seed,weight,residence_gain_vs_H,residence_loss,pca32_residence_loss,best_bank_residence_loss,half_headroom_pass,source_excess_income_binary,source_excess_civilian_at_work,source_excess_public_coverage,source_allowance_pass
A,spectral_L025,2,person_weighted,0.03337779807610369,0.49374486445921445,0.48628121473696917,0.5037730745855304,True,0.012847843153743654,0.010486652633238724,0.007921571829084484,False
A,spectral_L1,0,unweighted,0.027176614980296665,0.5165716591255464,0.5003832056376404,0.5164956842414223,False,0.010666316014265043,0.0025161699378544178,0.005791310668137817,False
A,spectral_L1,0,person_weighted,0.02509020378307253,0.4990317618412406,0.4845925136468352,0.49930324019597977,False,0.010015685074977965,0.0018943012560406758,0.005533935488115205,False
A,spectral_L1,1,unweighted,0.02674236485194914,0.5164732187879223,0.49937202910128053,0.5290456778070517,False,0.011538433570229212,0.013584509172257453,0.00648179690056766,False
A,spectral_L1,1,person_weighted,0.023059126732241808,0.49721736906603803,0.48282756933708343,0.5095792472930558,False,0.010518982401748644,0.010785342444130708,0.007117011386177929,False
A,spectral_L1,2,unweighted,0.03336047854449253,0.5144060315557668,0.5014214436967052,0.5224158226702662,False,0.013435529498031118,0.012576622167478402,0.0074968031684421454,False
A,spectral_L1,2,person_weighted,0.030907314886082227,0.4962153476492359,0.48628121473696917,0.5037730745855304,False,0.013295260138940668,0.011695397356304371,0.007921571829084484,False
A,spectral_C025,0,unweighted,0.02926549548647195,0.5144827786193711,0.5003832056376404,0.5164956842414223,False,0.008930443735151561,0.0024607413545624235,0.005791310668137817,True
A,spectral_C025,0,person_weighted,0.028133298285397124,0.495988667338916,0.4845925136468352,0.49930324019597977,False,0.00994241837043347,0.0022440454077831684,0.005533935488115205,True
A,spectral_C025,1,unweighted,0.028470867534972744,0.5147447161048987,0.49937202910128053,0.5290456778070517,False,0.008844447132971056,0.013635179170096046,0.00648179690056766,False
A,spectral_C025,1,person_weighted,0.024056420223024955,0.4962200755752549,0.48282756933708343,0.5095792472930558,False,0.008527988948742182,0.010609190603247332,0.007117011386177929,False
A,spectral_C025,2,unweighted,0.03565691095608492,0.5121095991441744,0.5014214436967052,0.5224158226702662,False,0.014518917434173717,0.01125158849887925,0.0074968031684421454,False
A,spectral_C025,2,person_weighted,0.03273752907485217,0.494385133460466,0.48628121473696917,0.5037730745855304,True,0.013846324238984409,0.01068245355769698,0.007921571829084484,False
A,spectral_C1,0,unweighted,0.024180095449831795,0.5195681786560112,0.5003832056376404,0.5164956842414223,False,0.011904902925220617,0.0034141049317637506,0.005791310668137817,False
A,spectral_C1,0,person_weighted,0.02497559669677296,0.49914636892754016,0.4845925136468352,0.49930324019597977,False,0.011540968723829703,0.002556026398109812,0.005533935488115205,False
A,spectral_C1,1,unweighted,0.02608413419969191,0.5171314494401795,0.49937202910128053,0.5290456778070517,False,0.011956707099196495,0.01229004551552404,0.00648179690056766,False
A,spectral_C1,1,person_weighted,0.021799722038473857,0.498476773759806,0.48282756933708343,0.5095792472930558,False,0.010547249807876469,0.008260940631318436,0.007117011386177929,False
A,spectral_C1,2,unweighted,0.03420734319974161,0.5135591669005177,0.5014214436967052,0.5224158226702662,False,0.01400899801881128,0.011407632285467262,0.0074968031684421454,False
A,spectral_C1,2,person_weighted,0.031839726271625735,0.4952829362636924,0.48628121473696917,0.5037730745855304,False,0.012498129070024178,0.00958973175994432,0.007921571829084484,False
A,spectral_L2,0,unweighted,0.02346360838434214,0.5202846657215009,0.5003832056376404,0.5164956842414223,False,0.0122326589192297,0.004000058471067991,0.005791310668137817,False
A,spectral_L2,0,person_weighted,0.024441626121139093,0.49968033950317403,0.4845925136468352,0.49930324019597977,False,0.011421360546976622,0.004778474101882313,0.005533935488115205,False
A,spectral_L2,1,unweighted,0.028654445326325884,0.5145611383135456,0.49937202910128053,0.5290456778070517,False,0.012962051986337209,0.012874026045640974,0.00648179690056766,False
A,spectral_L2,1,person_weighted,0.02270695461383182,0.497569541184448,0.48282756933708343,0.5095792472930558,False,0.012682309330489028,0.009905162623990382,0.007117011386177929,False
A,spectral_L2,2,unweighted,0.03277240368408085,0.5149941064161785,0.5014214436967052,0.5224158226702662,False,0.013012785081073341,0.012719782549971914,0.0074968031684421454,False
A,spectral_L2,2,person_weighted,0.030304853692876166,0.496817808842442,0.48628121473696917,0.5037730745855304,False,0.01240023907505683,0.010545483902915431,0.007921571829084484,False
B,H,0,unweighted,0.0,0.543167035440499,0.5023152323020558,0.5229011915563391,False,-0.006331966396306288,-0.005711723673137936,-0.004641033835220187,True
B,H,0,person_weighted,0.0,0.5226624393800507,0.4862819636501566,0.5055070918984559,False,-0.007660773008569988,-0.0057178563181800035,-0.004448557076482285,True
B,H,1,unweighted,0.0,0.5420826078867294,0.5018166121519154,0.528971550013074,False,0.0006912202228318565,-0.002258410626752305,-0.00531500017019465,True
B,H,1,person_weighted,0.0,0.5209505742653505,0.48708809737077435,0.5112066753757144,False,-0.0026854913974783123,-0.0024244525895554814,-0.004584058848469241,True
B,H,2,unweighted,0.0,0.5454502368762705,0.5010528039666508,0.5213934708300845,False,-0.0026670380178649977,-0.0053359099439238555,-0.002309216102091116,True
B,H,2,person_weighted,0.0,0.5244879635215046,0.48411397765274866,0.5031477112267765,False,-0.003409594045463371,-0.004260431779757379,-0.0018739719958760226,True
B,E,0,unweighted,0.020895143976799035,0.5222718914637,0.5023152323020558,0.5229011915563391,False,-0.005936118583660277,-0.001332053503143471,-0.004641033835220187,True
B,E,0,person_weighted,0.01705497347744589,0.5056074659026049,0.4862819636501566,0.5055070918984559,False,-0.0075062949289426695,-0.00020019694377870767,-0.004448557076482285,True
B,E,1,unweighted,0.02623571795748747,0.5158468899292419,0.5018166121519154,0.528971550013074,False,0.0017519397497253175,-0.003990354414323771,-0.00531500017019465,True
B,E,1,person_weighted,0.02098234273676214,0.4999682315285884,0.48708809737077435,0.5112066753757144,False,-0.0014397148483576427,-0.00199161483793614,-0.004584058848469241,True
B,E,2,unweighted,0.03178830986594072,0.5136619270103298,0.5010528039666508,0.5213934708300845,False,0.0011283907235244972,-0.0013478115713037586,-0.002309216102091116,True
B,E,2,person_weighted,0.027767420823150812,0.4967205426983538,0.48411397765274866,0.5031477112267765,False,6.495419452873241e-05,-0.0014197767051723487,-0.0018739719958760226,True
B,A0,0,unweighted,0.028525142604407527,0.5146418928360915,0.5023152323020558,0.5229011915563391,False,-0.0180234766530189,-0.011519535236572509,-0.004641033835220187,True
B,A0,0,person_weighted,0.027639204973753106,0.49502323440629764,0.4862819636501566,0.5055070918984559,True,-0.01854803841658781,-0.007744428370045242,-0.004448557076482285,True
B,A0,1,unweighted,0.022262556900268016,0.5198200509864613,0.5018166121519154,0.528971550013074,False,-0.007367703428193595,-0.014042994260627162,-0.00531500017019465,True
B,A0,1,person_weighted,0.020020419295692538,0.500930154969658,0.48708809737077435,0.5112066753757144,False,-0.009443063013971575,-0.01021332606329195,-0.004584058848469241,True
B,A0,2,unweighted,0.03585326007811229,0.5095969767981582,0.5010528039666508,0.5213934708300845,True,-0.009719703330870577,-0.014109442719703102,-0.002309216102091116,True
B,A0,2,person_weighted,0.03207501823094627,0.49241294529055835,0.48411397765274866,0.5031477112267765,True,-0.010613055810006933,-0.012601001318105487,-0.0018739719958760226,True
B,L025,0,unweighted,0.015550171077859831,0.5276168643626392,0.5023152323020558,0.5229011915563391,False,-0.015228227567661679,-0.011596792378285925,-0.004641033835220187,True
B,L025,0,person_weighted,0.014119304736235905,0.5085431346438148,0.4862819636501566,0.5055070918984559,False,-0.015538541434510833,-0.008341180451647612,-0.004448557076482285,True
B,L025,1,unweighted,0.014314919220738465,0.5277676886659909,0.5018166121519154,0.528971550013074,False,-0.007163610662447695,-0.013932155192640683,-0.00531500017019465,True
B,L025,1,person_weighted,0.012433670390460838,0.5085169038748897,0.48708809737077435,0.5112066753757144,False,-0.008914861448047096,-0.009956936907492553,-0.004584058848469241,True
B,L025,2,unweighted,0.022524723171797656,0.5229255137044728,0.5010528039666508,0.5213934708300845,False,-0.011471925890780887,-0.013880435084275333,-0.002309216102091116,True
B,L025,2,person_weighted,0.02134288750559954,0.5031450760159051,0.48411397765274866,0.5031477112267765,False,-0.01214321124630563,-0.011831131349220037,-0.0018739719958760226,True
B,L20,0,unweighted,0.020651833350949,0.52251520208955,0.5023152323020558,0.5229011915563391,False,-0.015944634148010395,-0.010582039957768297,-0.004641033835220187,True
B,L20,0,person_weighted,0.018420884647359803,0.5042415547326909,0.4862819636501566,0.5055070918984559,False,-0.016137155133606085,-0.008008147439377222,-0.004448557076482285,True
B,L20,1,unweighted,0.015612152903129894,0.5264704549835995,0.5018166121519154,0.528971550013074,False,-0.0062221964730441726,-0.012429183267496091,-0.00531500017019465,True
B,L20,1,person_weighted,0.012456574296783374,0.5084939999685671,0.48708809737077435,0.5112066753757144,False,-0.00802720416417635,-0.009142616957871164,-0.004584058848469241,True
B,L20,2,unweighted,0.018130270591311115,0.5273199662849594,0.5010528039666508,0.5213934708300845,False,-0.010635199999834699,-0.011792379850025902,-0.002309216102091116,True
B,L20,2,person_weighted,0.01660932404309523,0.5078786394784094,0.48411397765274866,0.5031477112267765,False,-0.01087305375131642,-0.010202695885807578,-0.0018739719958760226,True
B,J,0,unweighted,0.013386306892118505,0.5297807285483805,0.5023152323020558,0.5229011915563391,False,-0.016476009770042932,-0.01060023335337501,-0.004641033835220187,True
B,J,0,person_weighted,0.011126996453417415,0.5115354429266333,0.4862819636501566,0.5055070918984559,False,-0.01723645782846478,-0.007453087092978261,-0.004448557076482285,True
B,J,1,unweighted,0.025779064888313052,0.5163035429984163,0.5018166121519154,0.528971550013074,False,-0.0057115181029875894,-0.01153065667081965,-0.00531500017019465,True
B,J,1,person_weighted,0.02385578709002445,0.49709478717532607,0.48708809737077435,0.5112066753757144,True,-0.008014101304716525,-0.007956006086426937,-0.004584058848469241,True
B,J,2,unweighted,0.017490636740527754,0.5279596001357427,0.5010528039666508,0.5213934708300845,False,-0.010468195474061692,-0.012817620747423542,-0.002309216102091116,True
B,J,2,person_weighted,0.01636424555618199,0.5081237179653226,0.48411397765274866,0.5031477112267765,False,-0.010890613048021691,-0.011153209437147538,-0.0018739719958760226,True
B,spectral_S0,0,unweighted,0.030400257206359638,0.5127667782341394,0.5023152323020558,0.5229011915563391,False,-0.012031265480049735,-0.003988401207260905,-0.004641033835220187,True
