mode,scope,seed,condition,endpoint,weight,selected_minus_routed_H_selected
B,transport_all,1,spectral_S0,AB/SEX,person_weighted,-0.02577178035591221
B,transport_all,1,spectral_S0,AB/RAC1P,unweighted,-0.06853173818213887
B,transport_all,1,spectral_S0,AB/RAC1P,person_weighted,-0.06323468365174745
B,transport_all,1,spectral_M025,A/SEX,unweighted,-0.018397826688297148
B,transport_all,1,spectral_M025,A/SEX,person_weighted,-0.01992338010178396
B,transport_all,1,spectral_M025,A/RAC1P,unweighted,-0.06766756018821685
B,transport_all,1,spectral_M025,A/RAC1P,person_weighted,-0.060595446684039045
B,transport_all,1,spectral_M025,AB/SEX,unweighted,-0.01460457235952517
B,transport_all,1,spectral_M025,AB/SEX,person_weighted,-0.015346442302367369
B,transport_all,1,spectral_M025,AB/RAC1P,unweighted,-0.05576846519714129
B,transport_all,1,spectral_M025,AB/RAC1P,person_weighted,-0.050318886944661134
B,transport_all,1,spectral_M1,A/SEX,unweighted,-0.017983489114401063
B,transport_all,1,spectral_M1,A/SEX,person_weighted,-0.017668282830126447
B,transport_all,1,spectral_M1,A/RAC1P,unweighted,-0.06709932280831499
B,transport_all,1,spectral_M1,A/RAC1P,person_weighted,-0.06133636646858531
B,transport_all,1,spectral_M1,AB/SEX,unweighted,-0.013600727415314595
B,transport_all,1,spectral_M1,AB/SEX,person_weighted,-0.013075992495779398
B,transport_all,1,spectral_M1,AB/RAC1P,unweighted,-0.05520022781723943
B,transport_all,1,spectral_M1,AB/RAC1P,person_weighted,-0.0510598067292074
B,transport_all,1,spectral_L025,A/SEX,unweighted,-0.01743424633971069
B,transport_all,1,spectral_L025,A/SEX,person_weighted,-0.02008402457654901
B,transport_all,1,spectral_L025,A/RAC1P,unweighted,-0.06747453330356357
B,transport_all,1,spectral_L025,A/RAC1P,person_weighted,-0.06383298874985477
B,transport_all,1,spectral_L025,AB/SEX,unweighted,-0.01590544322006715
B,transport_all,1,spectral_L025,AB/SEX,person_weighted,-0.019431134443605225
B,transport_all,1,spectral_L025,AB/RAC1P,unweighted,-0.060784533198225965
B,transport_all,1,spectral_L025,AB/RAC1P,person_weighted,-0.057686209183127835
B,transport_all,1,spectral_L1,A/SEX,unweighted,-0.008985596253636818
B,transport_all,1,spectral_L1,A/SEX,person_weighted,-0.011761883999553024
B,transport_all,1,spectral_L1,A/RAC1P,unweighted,-0.05916073639360575
