seed,condition,kind,endpoint,budget,scope,weight,candidate_id,candidate_path,value,pass,status,reason
0,H,audit,A/commute_over20,360,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/commute_over20/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/commute_over20,360,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/commute_over20/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/commute_over20,360,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/commute_over20/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/commute_over20,360,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/commute_over20/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/commute_over20,360,expanded_catchup,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/commute_over20/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/commute_over20,360,expanded_catchup,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/commute_over20/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/SEX,360,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/SEX,360,standard_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/SEX,360,expanded_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/SEX,360,expanded_independent,PWGTP,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/fresh/nested360/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/SEX,360,expanded_catchup,unweighted,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/saved_start/nested360/catchup,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/SEX,360,expanded_catchup,PWGTP,catchup,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/SEX/saved_start/nested360/catchup,,,unavailable,No unused eligible households; no new outcome scored
