left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,degenerate,adjusted_low,adjusted_high,family,critical_value
spectral_C1,spectral_L2,recovery/A/SEX,person_weighted,-0.003976163721524713,-0.0011194781543001839,-0.010406246852379383,-0.00040276615789457126,0.0012628502771736229,-0.006393473824437307,-0.0013878073767023115,False,-0.00767644857130792,-0.00027587887174150517,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/AB/SEX,unweighted,-0.00471949989742541,-0.005813467626495147,-0.005977569255211826,-0.0023674628105692583,0.0011328678303452581,-0.006932160793387377,-0.0025412564030739514,False,-0.008038922433258619,-0.0014000773615922024,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/AB/SEX,person_weighted,-0.004747071057600402,-0.005599415017960716,-0.007977332886600883,-0.0006644652682396071,0.0013514101437422802,-0.007400322029617077,-0.001969444658263513,False,-0.0087068456810219,-0.0007872964341789053,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/A/RAC1P,unweighted,-0.007409851146524515,-0.005398759713075393,-0.007379844517868238,-0.009450949208629912,0.0011849239974449065,-0.00972844478822382,-0.005051744401848271,False,-0.010881803756538579,-0.003937898536510451,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/A/RAC1P,person_weighted,-0.008995350122373662,-0.005088694151319205,-0.009158303321006235,-0.012739052894795544,0.0014071023308330401,-0.011797681711973028,-0.00624757725634462,False,-0.013118308743033883,-0.004872391501713441,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/AB/RAC1P,unweighted,-0.003024518148549403,0.00038885173015160146,-0.003866696740296535,-0.005595709435503277,0.0007569960105398968,-0.004531386449254012,-0.0014880323275099712,False,-0.005242596506512977,-0.0008064397905858294,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/AB/RAC1P,person_weighted,-0.0036637789798546717,-0.00043774681474662014,-0.0034245292408018324,-0.007129060884015562,0.00089577603699205,-0.005390480300660173,-0.0018850003389281056,False,-0.006288497490349021,-0.0010390604693603224,F1_primary,2.930105743069395
J,L025,utility/same_residence,unweighted,-0.001422065016854379,0.0021638641857421037,-0.011464145667574144,0.005034086431268903,0.0007374490364122797,-0.0029125613863578174,3.9195699302110745e-05,False,-0.003651948494589963,0.0008078184608812055,F2_neural_replication,3.023779770035448
J,L025,utility/same_residence,person_weighted,-0.0011503888224421537,0.0029923082828170466,-0.011422116699563722,0.004978641949420215,0.000915606433427928,-0.0029692431138425204,0.0006162138625586523,False,-0.003918981033155833,0.0016182033882715257,F2_neural_replication,3.023779770035448
J,L025,recovery/A/SEX,unweighted,-0.0019012822322902862,-0.005670668424712402,0.0,-3.3178272158457256e-05,0.001126130503126344,-0.004116236084520006,0.0001338875668264066,False,-0.005306452866063567,0.0015038884014829945,F2_neural_replication,3.023779770035448
J,L025,recovery/A/SEX,person_weighted,-0.0027526229655917374,-0.006272921273630112,0.0,-0.0019849476231450997,0.0013284633124913943,-0.005466299122189649,-0.0002949569986140718,False,-0.006769603455137491,0.0012643575239540163,F2_neural_replication,3.023779770035448
J,L025,recovery/AB/SEX,unweighted,-0.004288332098357462,-0.004774482080695135,-3.516557414751792e-05,-0.00805534864022973,0.0014248486709938064,-0.007130084195170095,-0.00147233805932686,False,-0.008596760685070426,2.0096488355503435e-05,F2_neural_replication,3.023779770035448
J,L025,recovery/AB/SEX,person_weighted,-0.002959770239194615,-0.0028411807431538635,0.0020330387444465227,-0.008071168718876504,0.0016379147092440772,-0.006249340222237415,0.00013599126743221403,False,-0.007912463602050349,0.0019929231236611193,F2_neural_replication,3.023779770035448
J,L025,recovery/A/RAC1P,unweighted,-0.001741524207470351,-0.004715418106652693,-0.004633620508274854,0.004124465992516493,0.0013955705635168361,-0.0045078814347710916,0.0008895064586691187,False,-0.005961422245089528,0.0024783738301488254,F2_neural_replication,3.023779770035448
J,L025,recovery/A/RAC1P,person_weighted,-0.0028703019369521517,-0.005624689991746808,-0.007181598982200926,0.004195383163091277,0.0015866760813039672,-0.006121039293825094,9.965943652750138e-05,False,-0.007668060973198206,0.0019274570992939026,F2_neural_replication,3.023779770035448
